______________ADSL_________,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
__,,__,__,__,__,__,__,__,__,__,__,___,___,,,,,,,,,,,,
_____,,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,,,,,,,,,,,,,
__,1_14_,1_28_,2_25_,3_11_,3_25_,4_11_,4_22_,5_6_,5_20_,6_3_,6_17_,7_1_,7_15_,7_29_,8_12_,8_26_,9_9_,9_23_,10_7_,10_21_,11_4_,11_18_,12_2_,12_16_,12_30_
_______,"582,263 ","633,097 ","672,247 ","685,422 ","685,422 ","717,053 ","730,449 ","749,558 ","765,707 ","787,033 ","788,148 ","799,874 ","845,254 ","891,392 ","908,298 ",,,,,,,,,,
_______,"350,232 ","361,808 ","381,928 ","383,688 ","383,688 ","417,194 ","438,782 ","488,518 ","498,793 ","504,995 ","518,681 ","524,664 ","535,936 ","537,792 ","540,655 ",,,,,,,,,,
_______,"311,120 ","321,224 ","334,072 ","333,124 ","333,124 ","348,409 ","361,481 ","366,752 ","376,264 ","381,279 ","400,488 ","412,642 ","427,361 ","438,036 ","443,562 ",,,,,,,,,,
_______,"493,818 ","514,120 ","558,011 ","577,030 ","577,030 ","608,469 ","624,903 ","638,880 ","654,324 ","672,112 ","689,043 ","704,900 ","730,222 ","749,227 ","768,904 ",,,,,,,,,,
_______,"207,981 ","211,272 ","227,709 ","234,132 ","234,132 ","236,990 ","243,509 ","248,253 ","254,267 ","257,043 ","264,998 ","273,307 ","286,156 ","292,408 ","300,557 ",,,,,,,,,,
_______,"208,630 ","215,385 ","235,944 ","244,039 ","244,039 ","256,669 ","263,464 ","270,854 ","277,674 ","284,727 ","292,386 ","300,009 ","311,835 ","321,090 ","330,140 ",,,,,,,,,,
_______,84.81%,81.21%,83.01%,84.19%,84.19%,84.86%,85.55%,85.23%,85.45%,85.40%,87.43%,88.13%,86.39%,84.05%,84.65%,,,,,,,,,,
_______,59.38%,58.39%,59.62%,61.02%,61.02%,56.81%,55.50%,50.82%,50.98%,50.90%,51.09%,52.09%,53.39%,54.37%,55.59%,,,,,,,,,,
_______,67.06%,67.05%,70.63%,73.26%,73.26%,73.67%,72.88%,73.85%,73.80%,74.68%,73.01%,72.70%,72.97%,73.30%,74.43%,,,,,,,,,,
