BLOCK CLAIM LIABILITY REPORT - Output Tab,,,,
The Millennium-2000 Sample Life Insurance Company,,,,
Arvind,,,,
Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,
,,,,
Incurred Month,Desc,Values,,
Weighted, NCCO for ExpPeriod ,69.45120812,,
Trended, IBNR for ExpPeriod ,520362.6615,,
Aug-1998, CompFac for Lag35 ,1,,
Sep-1998, CompFac for Lag34 ,1,,
Oct-1998, CompFac for Lag33 ,1,,
Nov-1998, CompFac for Lag32 ,1,,
Dec-1998, CompFac for Lag31 ,1,,
Jan-1999, CompFac for Lag30 ,1,,
Feb-1999, CompFac for Lag29 ,1,,
Mar-1999, CompFac for Lag28 ,1,,
Apr-1999, CompFac for Lag27 ,1,,
May-1999, CompFac for Lag26 ,1,,
Jun-1999, CompFac for Lag25 ,1,,
Jul-1999, CompFac for Lag24 ,1,,
Aug-1999, CompFac for Lag23 ,1,,
Sep-1999, CompFac for Lag22 ,1,,
Oct-1999, CompFac for Lag21 ,1,,
Nov-1999, CompFac for Lag20 ,1,,
Dec-1999, CompFac for Lag19 ,1,,
Jan-2000, CompFac for Lag18 ,1,,
Feb-2000, CompFac for Lag17 ,1,,
Mar-2000, CompFac for Lag16 ,1,,
Apr-2000, CompFac for Lag15 ,0.99965,,
May-2000, CompFac for Lag14 ,0.99874,,
Jun-2000, CompFac for Lag13 ,0.99492,,
Jul-2000, CompFac for Lag12 ,0.99492,,
Aug-2000, CompFac for Lag11 ,0.99492,,
Sep-2000, CompFac for Lag10 ,0.99492,,
Oct-2000, CompFac for Lag9 ,0.99332,,
Nov-2000, CompFac for Lag8 ,0.99184,,
Dec-2000, CompFac for Lag7 ,0.99062,,
Jan-2001, CompFac for Lag6 ,0.98427,,
Feb-2001, CompFac for Lag5 ,0.95502,,
Mar-2001, CompFac for Lag4 ,0.9232,,
Apr-2001, CompFac for Lag3 ,0.8931,,
May-2001, CompFac for Lag2 ,0.82329,,
Jun-2001, CompFac for Lag1 ,0.53696,,
Jul-2001, CompFac for Lag0 ,0.05227,,
,,,,
