BLOCK CLAIM LIABILITY REPORT- Block Exposure,,,,,,,,,,,
The Millennium-2000 Sample Life Insurance Company,,,,,,,,,,,
Arvind,,,,,,,,,,,
Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,,,
,,,,,,,,,,,
(A),(B),(C),(D),(E),(F),(G),(H),(I),(J),(K),(L)
Inforce Month,Lives,Changes In Exposure - No Aging Full Month Credit,,,,Exposure (Partial Month Adjustment),,,Graphical Representation of Aging,Valuation Date Remaining Inforce,Persistency to Valuation Date
,,Issued,Lapsed,Gain / (Loss),Inforce,Without Aging,With Aging,Average Aging Factor,,,
Aug-1998," 1,333.00 ", 93.12 , -   ,  ," 2,341.96 "," 2,341.96 "," 2,576.16 ", 1.1000 ,*********," 1,449.45 ",61.89%
Sep-1998," 1,378.33 ", 80.82 , -   , (0.00)," 2,422.78 "," 2,421.61 "," 2,663.77 ", 1.1000 ,**********," 1,484.59 ",61.28%
Oct-1998," 1,411.68 ", 72.03 , 63.25 , -   ," 2,431.56 "," 2,480.19 "," 2,728.21 ", 1.1000 ,**********," 1,521.48 ",62.57%
Nov-1998," 1,438.87 ", 101.90 , 33.38 , -   ," 2,500.08 "," 2,527.96 "," 2,780.75 ", 1.1000 ,**********," 1,556.62 ",62.26%
Dec-1998," 1,462.52 ", 75.55 , 40.41 , -   ," 2,535.22 "," 2,569.51 "," 2,826.46 ", 1.1000 ,**********," 1,579.46 ",62.30%
Jan-1999," 1,466.97 ", 42.17 , 56.22 , -   ," 2,521.17 "," 2,577.33 "," 2,835.06 ", 1.1000 ,**********," 1,586.49 ",62.93%
Feb-1999," 1,457.43 ", 47.44 , 28.11 , -   ," 2,540.49 "," 2,560.57 "," 2,816.63 ", 1.1000 ,**********," 1,607.57 ",63.28%
Mar-1999," 1,464.13 ", 36.90 , 47.44 , -   ," 2,529.95 "," 2,572.34 "," 2,829.58 ", 1.1000 ,*********," 1,623.38 ",64.17%
Apr-1999," 1,505.93 ", 121.23 , 91.36 , -   ," 2,559.82 "," 2,645.79 "," 2,910.37 ", 1.1000 ,**********," 1,676.09 ",65.48%
May-1999," 1,487.13 ", 59.74 , 73.79 , (0.00)," 2,545.76 "," 2,612.75 "," 2,874.03 ", 1.1000 ,**********," 1,704.20 ",66.94%
Jun-1999," 1,470.00 ", 36.90 , 50.95 , -   ," 2,531.71 "," 2,582.66 "," 2,840.92 ", 1.1000 ,**********," 1,720.01 ",67.94%
Jul-1999," 1,464.55 ", 43.92 , 61.49 , -   ," 2,514.14 "," 2,573.08 "," 2,830.39 ", 1.1000 ,**********," 1,734.07 ",68.97%
Aug-1999," 1,530.48 ", 187.99 , 47.44 , 0.00 ," 2,654.69 "," 2,688.92 "," 2,957.81 ", 1.1000 ,*********," 1,858.81 ",70.02%
