FILTRONIC COMTEK LTD P.C.B PARTS LIST,,,,,,,,
TYPE CODE:       CA894,,,, COMPILED BY: ,A.HARBOTTLE,,(Stamp),
DESCRIPTION:     Apollo LNA,,,, APPROVED BY:      ,,,,
OPERATING TEMP:  -40°C TO +55°C,,,, PROD ENG: ,,,,
DRAWING No.:     0231324V1,,,, ISSUE:1, DATE:20 Nov 2002 17:48,,,
,,,,,,,,
ITEM,QTY,COMPONENT DESCRIPTION,FILTRONIC    PART No.,PCB IDENT,APPROVED MANUFACTURER,PART No.,APPROVED MANUFACTURER,PART No.
1,1,"Taclam/Neltec , 0.5oz cu, 0.8mm thick",023-1324-1,A1,,,,
2,2,CAP-10pF-1206-+/-5%-50V(MIN)-LOW_ESR,568-0241,C1-2,TEKELEC,501R18L100JVE,,
3,50,CAP-10pF-0603-5%-50V-COG,568-0134,"C3, C5, C7, C11, C15-16, C18, C27, C31-32, C34, C36, C39, C46, C50, C52-54, C56, C66, C82-83, C85, C89-90, C95, C98, C108, C110, C114-117, C119, C121-126, C129, C135-141, C148-149",KYOCERA,06035A100JAT2A,PHILIPS,0603CG100J9B***
4,12,CAP-33nF-0805-10%-50V-X7R,568-0072,"C4, C6, C8, C12, C33, C37-38, C48-49, C51, C67-68",KYOCERA,08055C333KAT2A,PHILIPS,08052R333K9B***
5,8,CAP-10pF-1206-5%-50V-COG,568-0087,"C9, C13, C25-26, C30, C45, C91-92",KYOCERA,12065A100JAT2A,PHILIPS,1206CG100J9B***
6,20,CAP-100nF-0805-10%-50V-X7R,568-0040,"C10, C17, C19-20, C24, C35, C44, C55, C75, C84, C96, C99-105, C147, C150",KYOCERA,08055C104KAT2A,PHILIPS,08052R104K9B***
7,3,CAP-330nF-1206-10%-50V-X7R,568-0218,"C14, C120, C146",KYOCERA,12065C334KAT2A,PHILIPS,12062R334K9B***
8,10,CAP-10nF-0603-10%-50V-X7R,568-0163,"C21-23, C57, C69-70, C109, C132, C144, C157",KYOCERA,06035C103KAT2A,PHILIPS,06032R103K9B***
9,2,CAP-1.2pF-1206-+/-0.1pF-50V-COG,568-0246,C28-29,SYFER,1206J0501P20BCT,AVX,12065A1R2BAT4A
10,27,,COMPONENTS NOT FITTED,"C40-43, C62-63, C76, C160, C164, C167, D10, J1, L11-12, L19, R64, R77, R80, R82-83, R85, R88, R94, R97-99, V1",,,,
