Month,Total DR's Productive & Non-Productive,Total Non-Productive DR's,Non-Productive %,Productive DR's,Productive %,Documentation,Marketing Requirement Change,Initial Release,Design Review,Obsolete Part,DFM Improvement,Cost Reduction,Fix Supplier Problem,Reliability,Secondary DR,ACT,Logic / Concept Error,FBOM Error,Certifications,Tolerance Analysis,DQT,Spare Part Req,Mfg Process Mismatch,Planned Process Change Notice,Service Other,Process Escape Other,Technology Upgrade,Requirement Error,Mfg Process Change Notice,Mfg Process Failure,Signal Quality Verification,Tool Failure,Month,Total Activity,Marketing Requirements Change %,Initial Release %
Jul-01,71,39,55%,32,45%,17,3,3,1,1,8,1,5,5,,0,2,2,5,,,2,2,0,0,0,,,22,,0,0,Jul-01,79,4%,4%
Aug-01,58,34,59%,24,41%,8,6,5,2,6,5,4,6,2,2,1,1,2,1,1,,1,4,,3,1,3,,6,,,,Aug-01,70,9%,7%
Sep-01,35,29,83%,6,17%,10,6,6,,3,,1,6,1,3,,2,1,,1,,1,3,,,,,2,2,,,,Sep-01,48,13%,13%
Oct-01,45,34,76%,11,24%,12,8,10,2,1,4,2,4,1,1,,5,4,2,,1,1,1,,,,3,,1,1,,,Oct-01,64,13%,16%
Nov-01,73,54,74%,19,26%,15,20,11,1,7,3,3,10,5,3,2,3,3,,1,1,1,1,,4,4,4,1,2,,,,Nov-01,105,19%,10%
Dec-01,49,34,69%,15,31%,13,6,9,,4,4,4,8,4,1,1,1,2,,1,,,1,1,1,,2,,1,,,,Dec-01,64,9%,14%
Jan-02,51,37,73%,14,27%,16,7,2,2,4,6,1,2,1,1,2,1,2,2,3,,,2,1,1,1,1,,2,,,,Jan-02,60,12%,3%
Feb-02,38,24,63%,14,37%,6,6,7,3,5,7,2,4,1,3,3,1,2,,,,1,,,1,,,,,,,,Feb-02,52,12%,13%
Mar-02,70,52,74%,18,26%,17,17,17,9,6,5,6,7,3,1,3,2,3,3,2,,2,,,,1,1,1,,,,,Mar-02,106,16%,16%
Apr-02,45,30,67%,15,33%,7,8,5,4,3,4,8,1,7,5,1,3,,,,1,1,,,,1,,,,,,,Apr-02,59,14%,8%
May-02,73,52,71%,21,29%,11,11,10,12,9,4,8,5,3,2,1,2,1,2,1,4,1,2,2,1,,,1,,2,,,May-02,95,12%,11%
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,,
Grand Total,608,419,69%,189,31%,57,49,41,30,27,26,25,19,15,12,10,9,8,7,6,5,5,4,3,3,3,2,2,2,2,0,0,Grand Total,802,6%,5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
