EQUIPMENT DATASHEET,,,,,,,,,,,,,,,,,
,Common Name:,,,,,,,,,,,,,,,,
,Location Name:,,,,,,,,,,,,,,,,
Cabinet Summary,,,,,* Equipment Vendor =,Ericsson Lucent,,,,,,,,,,,
,Cabinet Type,Equipment Vendor *,Indoor/ Outdoor,Total QTY,,Nokia Nortel,,,,,,,,,,,
,{cabinet_summary[1]/@type},{cabinet_summary[1]/@vendor},{cabinet_summary[1]/@indoor},{cabinet_summary[1]/@quantity},,Siemens,,,,,,,,,,,
,{cabinet_summary[2]/@type},{cabinet_summary[2]/@vendor},{cabinet_summary[2]/@indoor},{cabinet_summary[2]/@quantity},,,,,,,,,Total Number of BTS cabinets:,4,,,
,{cabinet_summary[3]/@type},{cabinet_summary[3]/@vendor},{cabinet_summary[3]/@indoor},{cabinet_summary[3]/@quantity},,,,,,,,,Total Number of adjunct boxes:,5,,,
,,,,,,,,,,,,,,,,,
Equipment Listing,,,Type  = GSM / TDMA / UMTS / Power Plant / Battery / Service Cab / BBU / FIF / Microwave / Non-Cingular / Misc,,,,,,,,,,,,,,
,,,|,Equipment Frame Dimensions,,,,,,,,,,,,,
,,Equipment Description,Type,Height,,,,Width,,,,Depth,,,,Comments,
,1,{equipment[1]/@description},{equipment[1]/@type},{equipment[1]/height/@feet},Ft.,{equipment[1]/height/@inches},In.,{equipment[1]/width/@feet},Ft.,{equipment[1]/width/@inches},In.,{equipment[1]/depth/@feet},Ft.,{equipment[1]/depth/@inches},In.,{equipment[1]/@comment},
,2,{equipment[2]/@description},{equipment[2]/@type},{equipment[2]/height/@feet},Ft.,{equipment[2]/height/@inches},In.,{equipment[2]/width/@feet},Ft.,{equipment[2]/width/@inches},In.,{equipment[2]/depth/@feet},Ft.,{equipment[2]/depth/@inches},In.,{equipment[2]/@comment},
,3,{equipment[3]/@description},{equipment[3]/@type},{equipment[3]/height/@feet},Ft.,{equipment[3]/height/@inches},In.,{equipment[3]/width/@feet},Ft.,{equipment[3]/width/@inches},In.,{equipment[3]/depth/@feet},Ft.,{equipment[3]/depth/@inches},In.,{equipment[3]/@comment},
,4,{equipment[4]/@description},{equipment[4]/@type},{equipment[4]/height/@feet},Ft.,{equipment[4]/height/@inches},In.,{equipment[4]/width/@feet},Ft.,{equipment[4]/width/@inches},In.,{equipment[4]/depth/@feet},Ft.,{equipment[4]/depth/@inches},In.,{equipment[4]/@comment},
,5,{equipment[5]/@description},{equipment[5]/@type},{equipment[5]/height/@feet},Ft.,{equipment[5]/height/@inches},In.,{equipment[5]/width/@feet},Ft.,{equipment[5]/width/@inches},In.,{equipment[5]/depth/@feet},Ft.,{equipment[5]/depth/@inches},In.,{equipment[5]/@comment},
,6,{equipment[6]/@description},{equipment[6]/@type},{equipment[6]/height/@feet},Ft.,{equipment[6]/height/@inches},In.,{equipment[6]/width/@feet},Ft.,{equipment[6]/width/@inches},In.,{equipment[6]/depth/@feet},Ft.,{equipment[6]/depth/@inches},In.,{equipment[6]/@comment},
,7,{equipment[7]/@description},{equipment[7]/@type},{equipment[7]/height/@feet},Ft.,{equipment[7]/height/@inches},In.,{equipment[7]/width/@feet},Ft.,{equipment[7]/width/@inches},In.,{equipment[7]/depth/@feet},Ft.,{equipment[7]/depth/@inches},In.,{equipment[7]/@comment},
,8,{equipment[8]/@description},{equipment[8]/@type},{equipment[8]/height/@feet},Ft.,{equipment[8]/height/@inches},In.,{equipment[8]/width/@feet},Ft.,{equipment[8]/width/@inches},In.,{equipment[8]/depth/@feet},Ft.,{equipment[8]/depth/@inches},In.,{equipment[8]/@comment},
,9,{equipment[9]/@description},{equipment[9]/@type},{equipment[9]/height/@feet},Ft.,{equipment[9]/height/@inches},In.,{equipment[9]/width/@feet},Ft.,{equipment[9]/width/@inches},In.,{equipment[9]/depth/@feet},Ft.,{equipment[9]/depth/@inches},In.,{equipment[9]/@comment},
,10,{equipment[10]/@description},{equipment[10]/@type},{equipment[10]/height/@feet},Ft.,{equipment[10]/height/@inches},In.,{equipment[10]/width/@feet},Ft.,{equipment[10]/width/@inches},In.,{equipment[10]/depth/@feet},Ft.,{equipment[10]/depth/@inches},In.,{equipment[10]/@comment},
,11,{equipment[11]/@description},{equipment[11]/@type},{equipment[11]/height/@feet},Ft.,{equipment[11]/height/@inches},In.,{equipment[11]/width/@feet},Ft.,{equipment[11]/width/@inches},In.,{equipment[11]/depth/@feet},Ft.,{equipment[11]/depth/@inches},In.,{equipment[11]/@comment},
,12,{equipment[12]/@description},{equipment[12]/@type},{equipment[12]/height/@feet},Ft.,{equipment[12]/height/@inches},In.,{equipment[12]/width/@feet},Ft.,{equipment[12]/width/@inches},In.,{equipment[12]/depth/@feet},Ft.,{equipment[12]/depth/@inches},In.,{equipment[12]/@comment},
,13,{equipment[13]/@description},{equipment[13]/@type},{equipment[13]/height/@feet},Ft.,{equipment[13]/height/@inches},In.,{equipment[13]/width/@feet},Ft.,{equipment[13]/width/@inches},In.,{equipment[13]/depth/@feet},Ft.,{equipment[13]/depth/@inches},In.,{equipment[13]/@comment},
,14,{equipment[14]/@description},{equipment[14]/@type},{equipment[14]/height/@feet},Ft.,{equipment[14]/height/@inches},In.,{equipment[14]/width/@feet},Ft.,{equipment[14]/width/@inches},In.,{equipment[14]/depth/@feet},Ft.,{equipment[14]/depth/@inches},In.,{equipment[14]/@comment},
