,,,,,,,,,,,,,,,,,,,,,,,
,BMS Cases : Status of Patient Assistance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Start Date:,,,,09/24/2007,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,End Date:,,,,09/28/2007,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY OF PAP CASES TO DATE,,,,,,,,,,,,,,,,,,,,,,
,Activity (Open Cases),,,,,,Cases,,,,,,,,,,,,,,,,
,,,,,,,Current  Week,,,Current  Month,,,Current Year,,,,,,,,,,
,Total # of Case Opend,,,,,,0,,,4,,,103,,,,,,,,,,
,Open - Pending Benefit Investigation,,,,,,0,,,2,,,83,,,,,,,,,,
,Open - Pending Prior Authorization,,,,,,0,,,0,,,0,,,,,,,,,,
,Open - Incomplete,,,,,,0,,,0,,,1,,,,,,,,,,
,Outcomes (Open Cases),,,,,,Cases,,,,,,,,,,,,,,,,
,,,,,,,Current Week,,,Current Month,,,Current Year,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total # of Closed Cases,,,,,,0,,,0,,,19,,,,,,,,,,
,Closed - PAP Approved,,,,,,0,,,3,,,13,,,,,,,,,,
,Closed - PAP Denied,,,,,,0,,,0,,,1,,,,,,,,,,
,Closed - No Longer Eligible,,,,,,0,,,1,,,3,,,,,,,,,,
,Closed - Assistance No Longer Needed,,,,,,0,,,0,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,DETAIL OF CLOSED PAP CASES TO DATE,,,,,,,,,,,,,,,,,,,,,,
,Approved PAP Cases,,,,,,Week To Date,,,,,,Month To Date,,,,,Year To Date,,,,,
,,,,,,,#,,,%,,,#,,,%,,#,,%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Total Cases Approved,,,,,,0,,,0.00%,,,3,,,75.00%,,13,,68.42%,,,
,Approved - No Charges,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Approved - Appeals Denied(Treatment Ongoing),,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Approved - Refund Only (Treatment Not Ongoing),,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
,Approved - Eligibility Appeal,,,,,,0,,,0.00%,,,0,,,0.00%,,0,,0.00%,,,
