Programme,Crayon,Nombre de cycles,taux,Allongement (%),,,,,,,,
,,,,Mesuré,,Prédit RAD,Ecart 0.005,Nbr mesure,15 % BPZ,,,
FSH-PWS1.72,C18,4, 46.4   ,0.70,,0.77,ECART,1,0,,,
FSH-PWS1.72,C06,4, 46.5   ,0.65,,0.75,ECART,1,0,,,
FSH-PWS1.72,C05,4, 47.8   ,0.53,,0.78,ECART,1,0,,,
FSH-PWS1.72,C09,4, 48.3   ,0.48,,0.80,ECART,1,0,,,
FSH-PWS1.72,C07,5, 55.7   ,0.77,,0.99,ECART,1,0,,,
FSH-PWS1.72,C12,5, 56.9   ,0.74,,1.02,ECART,1,0,,,
FSH-PWS1.72,C20,5, 57.8   ,0.82,,1.06,ECART,1,0,,,
FSH-PWS1.72,C13,5, 58.1   ,0.59,,1.05,ECART,1,0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
