Ref  ,Line Item Container,Alias,Xpath  ,Xpath without Instance,Document type and version,HouseShippingInstruction-1.0,Alias prefix,HSI,Code size,0,Code start row,0
10,FALSE,HSI\10_1___lab,/HouseShippingInstruction[1],/HouseShippingInstruction,,,,,,,,
20,FALSE,HSI\10_1\20_1___val,/HouseShippingInstruction[1]/CustomsOriginCode[1],/HouseShippingInstruction/CustomsOriginCode,,,,,,,,
30,FALSE,HSI\10_1\30_1___val,/HouseShippingInstruction[1]/usercbc:GrossWeightMeasure[1],/HouseShippingInstruction/usercbc:GrossWeightMeasure,,,,,,,,
40,FALSE,HSI\10_1\30_1_40___val,/HouseShippingInstruction[1]/usercbc:GrossWeightMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercbc:GrossWeightMeasure/@measureUnitCode,,,,,,,,
50,FALSE,HSI\10_1\50_1___val,/HouseShippingInstruction[1]/usercbc:GrossVolumeMeasure[1],/HouseShippingInstruction/usercbc:GrossVolumeMeasure,,,,,,,,
60,FALSE,HSI\10_1\50_1_60___val,/HouseShippingInstruction[1]/usercbc:GrossVolumeMeasure[1]/@measureUnitCode,/HouseShippingInstruction/usercbc:GrossVolumeMeasure/@measureUnitCode,,,,,,,,
70,FALSE,HSI\10_1\70_1___val,/HouseShippingInstruction[1]/usercbc:DeclaredCustomsValueAmount[1],/HouseShippingInstruction/usercbc:DeclaredCustomsValueAmount,,,,,,,,
80,FALSE,HSI\10_1\70_1_80___val,/HouseShippingInstruction[1]/usercbc:DeclaredCustomsValueAmount[1]/@amountCurrencyID,/HouseShippingInstruction/usercbc:DeclaredCustomsValueAmount/@amountCurrencyID,,,,,,,,
90,FALSE,HSI\10_1\90_1___val,/HouseShippingInstruction[1]/usercbc:DeclaredCarriageValueAmount[1],/HouseShippingInstruction/usercbc:DeclaredCarriageValueAmount,,,,,,,,
100,FALSE,HSI\10_1\90_1_100___val,/HouseShippingInstruction[1]/usercbc:DeclaredCarriageValueAmount[1]/@amountCurrencyID,/HouseShippingInstruction/usercbc:DeclaredCarriageValueAmount/@amountCurrencyID,,,,,,,,
110,FALSE,HSI\10_1\110_1___lab,/HouseShippingInstruction[1]/usercac:Header[1],/HouseShippingInstruction/usercac:Header,,,,,,,,
120,FALSE,HSI\10_1\110_1\120_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:UniqueDocumentNumberID[1],/HouseShippingInstruction/usercac:Header/usercac:UniqueDocumentNumberID,,,,,,,,
130,FALSE,HSI\10_1\110_1\130_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:DTTNAssignedUniqueDocumentNumberID[1],/HouseShippingInstruction/usercac:Header/usercac:DTTNAssignedUniqueDocumentNumberID,,,,,,,,
140,FALSE,HSI\10_1\110_1\140_1___val,/HouseShippingInstruction[1]/usercac:Header[1]/usercac:VersionID[1],/HouseShippingInstruction/usercac:Header/usercac:VersionID,,,,,,,,
