SegmentHead1,A description of the header to the left,Another Segment,Some other description,NOTSUBJECTIVE,
10,Value 10,19,More values c,117,Whatever you want 10
11,Value 11,21,More values d,119,Whatever you want 11
12,Value 12,23,More values c,121,Whatever you want 12
13,Value 13,25,More values d,123,Whatever you want 13
14,Value 14,27,More values c,125,Whatever you want 14
15,Value 15,29,More values d,127,Whatever you want 15
16,Value 16,31,More values c,129,Whatever you want 16
17,Value 17,33,More values d,131,Whatever you want 17
18,Value 18,35,More values c,133,Whatever you want 18
19,Value 19,37,More values d,135,Whatever you want 19
20,Value 20,39,More values c,137,Whatever you want 20
