,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5 Day Rolling,12-Feb,9-Feb,8-Feb,7-Feb,6-Feb,5-Feb,2-Feb,1-Feb,31-Jan,30-Jan,29-Jan,26-Jan,25-Jan,24-Jan,23-Jan,22-Jan,19-Jan,18-Jan,17-Jan,16-Jan,12-Jan,11-Jan,10-Jan,9-Jan,8-Jan,5-Jan,4-Jan,3-Jan,2-Jan,29-Dec,28-Dec,27-Dec,26-Dec,22-Dec,21-Dec,20-Dec,19-Dec,18-Dec,15-Dec,14-Dec,13-Dec,12-Dec,11-Dec,8-Dec,7-Dec,6-Dec,5-Dec,4-Dec,1-Dec,30-Nov,29-Nov,28-Nov,27-Nov,24-Nov,22-Nov,21-Nov,20-Nov,17-Nov,16-Nov,15-Nov,14-Nov,13-Nov,10-Nov,9-Nov,8-Nov,7-Nov,6-Nov,3-Nov,2-Nov,1-Nov,31-Oct,30-Oct,27-Oct,26-Oct,25-Oct,24-Oct,23-Oct,20-Oct,19-Oct,18-Oct,17-Oct,16-Oct,13-Oct,12-Oct,11-Oct,10-Oct,9-Oct,6-Oct,5-Oct,4-Oct,3-Oct,2-Oct,29-Sep,28-Sep,27-Sep,26-Sep,25-Sep,22-Sep,21-Sep,20-Sep,19-Sep,18-Sep,15-Sep,14-Sep,13-Sep,12-Sep,11-Sep,8-Sep,7-Sep,6-Sep,5-Sep,1-Sep,31-Aug,30-Aug,29-Aug,28-Aug,25-Aug,24-Aug,23-Aug,22-Aug,21-Aug,18-Aug,17-Aug,16-Aug,15-Aug,14-Aug,11-Aug,10-Aug,9-Aug,8-Aug,7-Aug,4-Aug,3-Aug,2-Aug,1-Aug,31-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,7-Jul,6-Jul,5-Jul,3-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,16-Jun,15-Jun,14-Jun,13-Jun,12-Jun,9-Jun,8-Jun,7-Jun,6-Jun,5-Jun,2-Jun,1-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EQUITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US Public Total,"(777,594)","(255,924)","(506,831)","(263,236)","20,073 ","228,325 ","(27,600)","(23,706)","(381,378)","158,764 ","140,508 ","41,961 ","371,341 ","(260,943)","(306,106)","(175,634)","(408,285)","376,359 ","301,088 ","1,385 ","704,377 ","(281,015)","627,266 ","23,202,592 ","(512,295)","1,493,676 ","(585,718)","(6,949,840)","(6,784,242)","(9,783,249)","(1,715,895)","(376,954)","12,148,074 ","5,877,183 ","5,539,764 ","1,111,714 ","(1,982,539)","6,241,461 ","10,954,915 ","(1,778,595)","(3,876,185)","(185,975)","(2,503,342)","3,111,084 ","5,657,827 ","316,789 ","(445,004)","2,439,207 ","1,430,964 ","4,863,675 ","(4,052,831)","(610,979)","(4,739,984)","2,451,938 ","3,447,662 ","(4,036,392)","2,110,132 ","239,615 ","323,441 ","96,583 ","978,059 ","2,755,524 ","(5,960,641)","(1,080,892)","(730,246)","8,827 ","(1,148,646)","(2,121,114)","482,076 ","(1,273,503)","4,624,111 ","402,456 ","505,316 ","4,565,418 ","(1,181,454)","(6,119,606)","(317,142)","(524,677)","2,237,183 ","(314,069)","14,057 ","991,687 ","(504,525)","1,797,404 ","18,238 ","9,794,388 ","(3,614,938)","(2,377,568)","(2,809,965)","(1,290,777)","(2,376,400)","(1,195,560)","(1,135,351)","9,698,857 ","3,914,566 ","3,918,572 ","(2,881,590)","(2,237,866)",798 ,"(1,155,094)","(2,692,916)","1,336,731 ","(4,580,252)","(2,380,211)","2,763,413 ","(3,688,822)","(1,721,884)","7,893,794 ","(5,684,810)","(12,699,870)","7,035,974 ","(1,077,720)","3,070,487 ","2,395,380 ","(1,442,726)","817,783 ","2,421,428 ","207,146 ","(1,207,152)","4,627,190 ","828,585 ","5,178,656 ","(6,067,367)","4,350,071 ","(1,864,316)","(4,971,510)","1,700,090 ","(3,502,912)","(18,958,758)","937,231 ","70,574,348 ","(1,421,431)","(1,023,035)","691,411 ","(6,380,943)","154,160 ","(1,661,701)","(1,050,808)","2,605,785 ","337,905 ","(4,842,204)","(8,396,640)","(4,915,301)","(126,988)","(4,475,721)","(3,913,801)","3,199,344 ","(397,334)","1,952,130 ","2,165,361 ","1,198,640 ","4,346,609 ","2,624,169 ","(17,964,124)","(7,020,484)","(3,335,135)","8,451,295 ","3,408,482 ","(459,456)","(1,090,473)","10,334,813 ","2,211,740 ","(2,790,834)","(27,739)","(3,671,063)","(1,717,014)","2,689,088 ","4,102,867 ","1,627,047 ","1,771,451 ","(161,954)","5,990,886 ","2,708,719 ","(1,589,665)","(538,119)","2,894,210 ","(6,029,506)","3,733,292 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
