,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SELF-EMPLOYED,,SINGLE,,,,,,,,,,
€,£,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000","4,726",10.7%,9.9%,7.2%,4.7%,4.2%,4.2%,,,,,
"15,000","9,451",26.4%,24.4%,22.0%,17.8%,13.7%,12.9%,12.9%,12.9%,12.5%,12.1%,11.3%
"20,000","15,751",32.3%,34.5%,26.7%,22.1%,18.0%,17.4%,17.4%,17.4%,15.1%,14.9%,14.2%
"25,000","19,689",36.9%,34.5%,32.0%,26.5%,19.4%,18.9%,18.9%,18.9%,18.7%,18.5%,18.0%
"30,000","23,627",39.8%,37.6%,35.5%,30.6%,23.7%,21.4%,21.4%,21.4%,20.2%,19.6%,19.1%
"40,000","31,503",42.4%,40.3%,38.9%,34.9%,29.5%,27.8%,27.8%,27.8%,26.9%,25.3%,23.7%
"60,000","47,254",45.0%,43.0%,41.9%,38.6%,35.4%,34.2%,34.2%,34.2%,33.6%,32.6%,31.2%
"100,000",,47.1%,45.1%,44.4%,41.6%,40.0%,39.3%,39.3%,39.3%,39.0%,38.3%,37.1%
"120,000",,47.7%,45.6%,45.0%,42.3%,41.2%,40.6%,40.6%,40.6%,40.3%,39.8%,38.7%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SELF-EMPLOYED,,MARRIED ONE INCOME 2 CHILDREN,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000",,4.6%,4.6%,4.6%,4.6%,4.2%,4.2%,,,,,
"15,000",,16.7%,16.0%,13.5%,4.6%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%,3.0%
"20,000",,23.4%,21.3%,17.9%,11.4%,7.2%,6.0%,6.0%,6.0%,3.4%,3.0%,3.0%
"25,000",,25.3%,23.3%,20.5%,14.9%,10.8%,9.8%,9.8%,9.8%,9.3%,8.9%,7.8%
"30,000",,26.6%,24.6%,22.3%,17.2%,13.2%,12.3%,12.3%,12.3%,11.9%,11.6%,10.7%
"40,000",,31.1%,28.8%,25.9%,21.8%,17.9%,17.1%,17.1%,17.1%,16.1%,14.9%,14.3%
"60,000",,37.5%,35.3%,33.3%,29.9%,27.6%,27.1%,27.1%,27.1%,26.4%,25.3%,23.8%
"100,000",,42.6%,40.5%,39.2%,36.3%,35.3%,35.1%,35.1%,35.1%,34.6%,34.0%,32.7%
"120,000",,43.9%,41.8%,40.1%,37.9%,37.3%,37.0%,37.0%,37.0%,36.7%,36.1%,35.0%
,,,,,,,,, , ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SELF-EMPLOYED,,MARRIED 2 INCOMES** 2 CHILDREN,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000",,9.1%,9.1%,9.1%,9.1%,8.4%,8.4%,,,,,
"15,000",,14.0%,13.3%,11.1%,8.6%,5.0%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%
"20,000",,20.8%,18.7%,15.5%,13.2%,9.3%,8.0%,8.0%,8.0%,7.4%,6.9%,5.6%
"25,000",,24.3%,22.3%,19.5%,16.0%,11.8%,10.8%,10.8%,10.8%,10.4%,10.0%,8.9%
"30,000",,25.6%,23.6%,21.3%,19.1%,15.0%,14.2%,14.2%,14.2%,12.5%,12.1%,11.3%
"40,000",,32.3%,29.8%,26.0%,21.4%,17.3%,16.7%,16.7%,16.7%,16.4%,16.2%,15.5%
"60,000",,39.1%,36.9%,34.9%,30.1%,23.7%,21.4%,21.4%,21.4%,20.2%,18.9%,18.4%
"100,000",,44.0%,41.9%,40.7%,37.1%,33.0%,31.6%,31.6%,31.6%,30.9%,29.7%,28.2%
"120,000",,45.0%,43.0%,41.9%,38.6%,35.4%,34.2%,34.2%,34.2%,33.6%,32.5%,31.2%
" *  Average Tax Rates:  Total of Income Tax, Levies and PRSI as a proportion of gross income. This measure includes only the standard ",,,,,,,,,,,,
 employee and personal income tax credits. It does not include the impact of any other allowances or reliefs.,,,,,,,,,,,,
** The Married two-Incomes figures assume that the joint income is divided 65% and 35% between spouses.,,,,,,,,,,,,
