,,,,,,,,,,,,,,,,
,,,BANK NIAGA,,,,,,,,,,,,,
,,,,,,,,,,,Laporan Transaksi,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Account Statement,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kepada Yth / To,,,,,,,,,,,,,,,,
,,,,,,,,,Tanggal Laporan,,,,,,,
,,,,,,,,,,,,,,,,
,PT. SINAR SUMATRA,,,,,,,,,,,:,18 Agustus 2007,,,
,,,,,,,,,Statement Date,,,,,,,
,,,,,,,,,,,,,,,,
,Jl. Wahid Hasyim Blok B-4 No.3,,,,,,,,,,,,,,,
,BINTARO JAYA SEKTOR 7 TANGERANG,,,,,,,,,,,,,,,
,Bali,,,,,,,,,,,,,,,
,15224,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
001-01-42497-00-3 / 0807,,,,,,,,,,,,,,,,
No. Rekening / Account Number,,,,,:,001-01-42497-00-3,,,,,,,,,,
,,,,,,,,,,"Bagi Bank Niaga, Kepuasan nasabah",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nama Produk / Product Name,,,,,:,Current Account,,,,Adalah segalanya.,,,,,,
,,,,,,,,,,,,,,,,
Valuta / Currency,,,,,:,RUPIAH,,,,"For Bank Niaga, customer's satisfaction is",,,,,,
,,,,,,,,,everything.,,,,,,,
,,,,,,,,,,,,,,,,
Aktifitas Rekening untuk periode,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Account Activity for the period of,,,,,:,18 Agustus 2007,,,-,18 Agustus 2007,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tgl.,Uraian Transaksi,,,,,,,,,D/K,Nominal,,Saldo,,,
Date,Description,,,,,,,,,D/C,Amount,,Balance,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SALDO AWAL,,,,,,,,,,,,"988,134,773.52",,C,
,,,,,,,,,,,,,,,,
18/8,Setoran Tunai TESTING KOREKSI UNTUK NCM,,,,,,,,,,C,"75,000,000.00",,"1,063,134,773.52",,C
18/8,Setoran Tunai TESTING UNTUK NCM,,,,,,,,,,C,"10,000,000.00",,"1,073,134,773.52",,C
18/8,Koreksi transaksi kredit TESTING KOREKSI UNTUK NCM,,,,,,,,,,D,"75,000,000.00",,"998,134,773.52",,C
18/8,Koreksi transaksi kredit TESTING KOREKSI UNTUK NCM,,,,,,,,,,C,"75,000,000.00",,"1,073,134,773.52",,C
,SALDO AKHIR,,,,,,,,,,"1,073,134,773.52",,,,C,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Terima kasih atas kepercayaan Anda pada Bank Niaga,,,,,,,,,,,,Halaman / Page :,,1,,
,,,,,,,,,,,,,,,,
Thank you for your confidence in Bank Niaga,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
