,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Example 2,,,,,,,,,,,,,
"Married couple, one income, two children (under the age of six) taxed under PAYE",,,,,,,,,,,,,
Full rate PRSI contributor,,,,,,,,,,,,,
GROSS,PRSI Liability,,Levy Liabilty,, Tax Liability,,Child Benefit,Total,Gain as % of,Total Gain where,Total Gain where,Gain including FIS,
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Increase (a),Gain (b),Net Income (c),FIS applies (d),FIS applies (e),as % of Net Income (f),
,,,,,,,,,,(Per Year),(Per Week),,
€,€,€,€,€,€,€,€,€,%,€,€,%,
"17,500",436,0,0,0,0,0,180,"1,116",5.0,"2,104",40,7.6,
"25,000 (g)",734,734,499,0,0,0,180,"1,179",4.1,"2,115",41,6.9,
"30,000",936,936,600,600,480,0,180,"1,160",3.5,"2,200",42,6.7,
"35,000","1,136","1,136",700,700,"1,480",950,180,"1,210",3.3,"1,210",23,3.3,
"40,000","1,336","1,336",800,800,"2,480","1,950",180,"1,210",3.0,"1,210",23,3.0,
"45,000","1,536","1,536",900,900,"4,360","3,370",180,"1,670",3.9,"1,670",32,3.9,
"50,000","1,615","1,693","1,000","1,000","6,460","5,420",180,"1,642",3.6,"1,642",32,3.6,
"60,000","1,656","1,734","1,200","1,200","10,660","9,520",180,"1,742",3.4,"1,742",34,3.4,
"80,000","1,707","1,789","1,600","1,600","19,060","17,720",180,"1,937",3.1,"1,937",37,3.1,
"100,000","1,737","1,820","2,000","2,000","27,460","25,920",180,"2,137",2.9,"2,137",41,2.9,
"120,000","1,757","1,840","2,400","2,500","35,860","34,120",180,"2,238",2.6,"2,238",43,2.6,
"200,000","1,798","1,886","4,000","4,500","69,460","66,920",180,"2,633",2.0,"2,633",51,2.0,
,,,,,,,,,,,,,
Variations can arise due to rounding,,,,,,,,,,,,,
"(a)  Value during 2007 of the increase in Child Benefit (CB) made in the Budget, which is effective from April, 2007 (i.e. assuming 9 months of CB increase).",,,,,,,,,,,,,
(b) Includes payment of an additional quarter of ECS (€250 per child) in 2007 as compared with 2006,,,,,,,,,,,,,
"(c) Net income includes CB and ECS less deductions of tax, levy and PRSI (where appropriate) and so may be higher than the gross income.",,,,,,,,,,,,,
(d) The last three columns show the total gain where Family Income Supplement (FIS) is taken up in both years.  The gain includes the value during 2007  of the,,,,,,,,,,,,,
"      improvement in FIS made in this Budget which takes effect from January, 2007.",,,,,,,,,,,,,
(e) Gains per week are based on a 52 week year,,,,,,,,,,,,,
"(f) Net income includes CB, ECS and FIS (where relevant) less deductions of tax, levy and PRSI (where appropriate) and so may be higher than the gross income.",,,,,,,,,,,,,
"(g) Recte €24,960",,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
