,Sheet Comment:,Simple tests of WeekNum using basic argument values,,,
,,,,,
,Formula,Expected Result,Comment,Data,
,11,11,week day on Sunday,3/9/08,
,10,10,week day on Monday,3/9/08,
,1,1,valid date,1/1/13,
,43,43,valid date,10/23/08,
,#VALUE!,#VALUE!,Not a valid date,ABCDEF,
,#NUM!,#NUM!,not a valid return type,3/9/08,
,#NUM!,#NUM!,not a valid return type,3/9/08,
,#VALUE!,#VALUE!,malformed date,99/9/2008,
<end>,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
