,機能大分類,機能中分類,重要度(A＞Ｃ),i-mode(c-html),J-SKY(mml),EZweb(hdml),EZweb(xhtml),
,ログイン,●ログイン画面表示,A,○,○,○,○,
,,・認証機能,A,○,○,○,○,
,,・失敗時リトライ画面表示,A,○,○,○,○,
,,・トップメニュー画面へ移行する機能,A,○,○,○,○,
,ログアウト,●ログアウト画面表示,C,×,×,○,×,
,,・ログイン画面へ移行する機能,C,×,×,○,×,
,トップメニュー,●トップメニュー画面表示(wisewalker_show_phone_folder=off),B,○,○,○,○,
,,●トップメニュー画面表示(wisewalker_show_phone_folder=on),A,○,○,○,○,
,,・受信未読画面へ移行する機能,A,○,○,○,○,
,,・受信箱画面へ移行する機能,A,○,○,○,○,
,,・メール作成画面へ移行する機能,A,○,○,○,○,
,,・フォルダ選択画面へ移行する機能(wisewalker_show_phone_folder=on),A,○,○,○,○,
,,・POP受信画面へ移行する機能,A,○,○,○,○,
,,・設定編集画面へ移行する機能,B,○,○,○,○,
,,・ログアウトしログイン画面へ移行する機能,A,○,○,×,○,
,,・ログアウトしログアウト画面へ移行する機能,B,×,×,○,×,
,メール表示,●メール一覧画面表示,A,○,○,○,○,
,,・エントリを選択しメール表示画面へ移行する機能,A,○,○,○,○,
,,・頁選択する機能,A,○,○,×,○,
,,・前画面へ移行する機能,A,○,○,○,○,
,,・表示内容の切り替え(題名を表示/差出人を表示)する機能,A,○,○,×,○,
,,・フォルダ操作画面へ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,A,○,○,○,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,・トップメニューへ移行する機能,A,○,○,○,○,
,,●メールヘッダ表示(EZweb),C,×,×,○,×,
,,・メール表示画面へ移行する機能,C,×,×,○,×,
,,・添付ファイル一覧画面へ移行する機能,C,×,×,○,×,
,,・前画面へ移行する機能,C,×,×,○,×,
,,・頁メールへ移行する機能,C,×,×,○,×,
,,・メール作成(返信)画面へ移行する機能,C,×,×,○,×,
,,・メール作成(全員返信)画面へ移行する機能,C,×,×,○,×,
,,・メール作成(転送)画面へ移行する機能,C,×,×,○,×,
,,・メール作成(編集)画面へ移行する機能,C,×,×,○,×,
,,・メールを削除しメール一覧画面へ移行する機能,C,×,×,○,×,
,,・フォルダ選択(移動)画面へ移行する機能,C,×,×,○,×,
,,・トップメニューへ移行する機能,C,×,×,○,×,
,,●メール表示画面表示,A,○,○,○,○,
,,・MobileCache,A,○,○,○,○,
,,・添付ファイル一覧画面へ移行する機能,A,○,○,×,○,
,,・前画面へ移行する機能,A,○,○,○,○,
,,・前頁へ移行する機能,A,○,○,○,○,
,,・トップ頁へ移行する機能,A,○,○,×,○,
,,・次頁へ移行する機能,A,○,○,○,○,
,,・次メールへ移動する機能,A,×,×,○,×,
