中華電信網路容量及使用現況雙週報表,,,,,,,,,,,,,,
,,,,,,,,,,填表日期：91 年 07 月01日,,,,
,項                         目,單位,分公司,至90年12月累計數,91年預定建設數,建設執行現況(%),91年當月累計設備總量,"當週累計
使用總量",使用率%,備註,91實際累計建設量,累計淨增,,
1,市話交換機門號數(POTS),門,北分,8,253,465 ,1,137,000 ,21.84%,8,312,765 ,6,714,234 ,80.77%,固網(設備總量資料取得截止日期91/07/04，使用總量資料取得截止日期91/06/30),248,300 ,91,300 ,行銷處23445420吳碧芬,
,,,中分,4,082,500 ,79,000 ,46.84%,4,093,500 ,2,876,840 ,70.28%,,37,000 ,15,000 ,,
,,,南分,4,823,946 ,512,300 ,78.12%,4,979,930 ,3,321,086 ,66.69%,,400,200 ,173,300 ,,
2,ISDN BRA,埠,北分,79,129 ,832 ,15.38%,79,257 ,18,428 ,23.25%,,128 ,1,912 ,行銷處23442588周美玉,
,,,中分,23,590 ,340 ,87.06%,23,630 ,3,845 ,16.27%,,296 ,1,024 ,,
,,,南分,41,150 ,1,486 ,95.83%,42,574 ,5,508 ,12.94%,,1,424 ,1,592 ,,
3,ISDN T1-PRA,埠,北分,8,177 ,0 ,0.00%,8,177 ,4,560 ,55.77%,,0 ,2,534 ,,
,,,中分,4,486 ,310 ,51.61%,4,621 ,1,654 ,35.79%,,160 ,260 ,,
,,,南分,5,614 ,0 ,0.00%,5,629 ,1,687 ,29.97%,,15 ,3,262 ,,
4,ISDN E1-PRA,埠,北分,3,445 ,2,670 ,10.49%,3,725 ,700 ,18.79%,,280 ,2,910 ,,
,,,中分,1,260 ,0 ,0.00%,1,260 ,74 ,5.87%,,0 ,650 ,,
,,,南分,4,605 ,980 ,57.04%,4,810 ,249 ,5.18%,,559 ,4,000 ,,
5,長話交換機門號數,門,長通,2,088,000 ,60,000 ,0.00%,2,289,480 ,1,333,260 ,58.23%,固網(資料取得截止日期91/06/30),,,,
6,國際交換機門號數,門,國際,74,840 ,-,-,74,840 ,56,812 ,75.91%,國際(資料取得截止日期91/06/30),,,,
,國際IN交換機門號數,門,國際,30,000 ,-,-,30,000 ,6,997 ,23.32%,,,1,968,000 ,擴充153480,102000,6000,POI四期60000尚未完工,
7,區域ATM寬頻接取網路,套,北分,657,555 ,-,-,726,314 ,640,434 ,88.18%,寬頻(PAMS資料取得截止日期91/07/01),,653,985 ,,
,,,中分,327,445 ,-,-,382,094 ,265,324 ,69.44%,,,322,856 ,,
,,,南分,324,702 ,-,-,383,413 ,299,038 ,77.99%,,,318,770 ,,
8,長途ATM寬頻網路,套,長通,--,-,100.00%,11 ,-,-,全部完工，北區分公司辦理遷裝議價中。,,11 ,,
9,長途10G DWDM SDH網路,部,長通,--,14 ,0.00%,--,--,0.00%,高速 SDH,,,,
10,長途同步數位階層SDH網路,部,長通,480 ,0 ,0.00%,570 ,274 ,48.07%,傳輸骨幹網路(資料取得截止日期91/07/01),,0 ,,
11,區域同步數位階層SDH網路,部,全區,875 ,404 ,54.46%,875 ,608 ,69.49%,,220,0 ,,
12,寬頻上網ADSL設備,路,北分,582,263 ,450,000 ,64.42%,799,874 ,704,900,88.13%,網際網路(資料取得截止日期91/07/01),,915,010 ,須考慮可用數,
,,,中分,350,232 ,250,000 ,64.17%,524,664 ,273,307,52.09%,,,,,
,,,南分,311,120 ,200,000 ,32.51%,412,642 ,300,009,72.70%,,,,,
13,HiNet寬頻接取埠,埠,全區,1,000,000 ,900,000 ,100.00%,1,900,000 ,1,005,116 ,52.90%,,,800,000 ,23444600康崇原科長;23442307徐明山股長,
14,行動電話交換機,門,長通,6,500,000 ,700,000 ,142.86%,7,500,000 ,6,902,561,92.03%,行動(資料取得截止日期91/06/30),,1,597,411 ,,
15,行動電話基地臺,座,長通,5,165 ,1,430 ,63.92%,6,079 ,6,070,99.85%,,,1,876 ,,
16,局間中繼光纜,心公里,北分,235,320 ,21,000 ,60.62%,244,326 ,110,629,45.28%,光纜(資料取得截止日期91/06/28),7,698 ,,,
,,,中分,215,317 ,22,600 ,60.09%,234,656 ,88,555,37.74%,,4,416 ,,,
,,,南分,198,616 ,17,600 ,45.05%,209,555 ,78,669,37.54%,,4,683 ,,,
17,用戶迴路光纜,心公里,北分,223,779 ,18,000 ,79.60%,234,676 ,42,119,17.95%,,5,176 ,,,
,,,中分,195,607 ,37,100 ,50.23%,211,446 ,31,305,14.81%,,5,623 ,,,
,,,南分,134,048 ,28,500 ,36.56%,144,468 ,26,546,18.38%,,1,500 ,,,
18,市話線路,對,北分,13,652,200 ,55,200 ,78.26%,13,705,200 ,7,309,686,53.34%,線路(資料取得截止日期91/06/28),22,400 ,,,
,,,中分,6,472,300 ,59,200 ,65.20%,6,510,900 ,2,968,970,45.60%,,10,500 ,,,
,,,南分,7,902,900 ,75,000 ,45.33%,7,931,600 ,3,632,753,45.80%,,13,100 ,,,
19,國內海纜,Mbps,長通,10,665,-,-,10,665 ,3,600,33.76%,國內海纜(資料取得截止日期91/06/30),,,,
20,國際海纜,Mbps,國際,28,864,-,-,28,864 ,10,506,36.40%,國際海纜(資料取得截止日期91/06/30),,,,
