_______________________,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
__,,__,__,__,__,__,__,__,__,__,__,___,___,,,,,,,,,,,,
_____,,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,,,,,,,,,,,,,
__,1_14_,1_28_,2_25_,3_11_,3_25_,4_11_,4_22_,5_6_,5_20_,6_3_,6_17_,7_1_,7_15_,7_29_,8_12_,8_26_,9_9_,9_23_,10_7_,10_21_,11_4_,11_18_,12_2_,12_16_,12_30_
_______,"235,040 ","235,040 ","243,179 ","243,179 ","236,929 ","236,929 ","241,215 ","240,062 ","240,857 ","241,212 ","244,610 ","244,326 ","248,124 ","252,684 ","254,696 ",,,,,,,,,,
_______,"209,566 ","209,566 ","214,434 ","214,434 ","210,339 ","210,339 ","211,999 ","213,976 ","219,590 ","222,537 ","231,558 ","234,656 ","238,312 ","239,529 ","241,114 ",,,,,,,,,,
_______,"221,353 ","221,353 ","221,949 ","221,949 ","200,116 ","200,116 ","203,163 ","203,561 ","205,147 ","204,620 ","205,660 ","209,555 ","211,274 ","203,096 ","204,822 ",,,,,,,,,,
_______,"97,624","97,624","98,377","98,377","99,552","99,552","101,001","101,331","102,559","108,557","110,634","110,629 ","110,779 ","113,609 ","114,541 ",,,,,,,,,,
_______,"71,722","71,722","73,768","73,768","76,160","76,160","72,631","73,330","81,588","84,546","88,777","88,555 ","90,800 ","91,716 ","91,630 ",,,,,,,,,,
_______,"70,102","70,102","73,768","73,768","73,744","73,744","77,336","80,381","81,192","81,604","80,724","78,669 ","80,066 ","79,178 ","78,072 ",,,,,,,,,,
_______,41.54%,41.54%,40.45%,40.45%,42.02%,42.02%,41.87%,42.21%,42.58%,45.00%,45.23%,45.28%,44.65%,44.96%,44.97%,,,,,,,,,,
_______,34.22%,34.22%,34.40%,34.40%,36.21%,36.21%,34.26%,34.27%,37.15%,37.99%,38.34%,37.74%,38.10%,38.29%,38.00%,,,,,,,,,,
_______,31.67%,31.67%,33.24%,33.24%,36.85%,36.85%,38.07%,39.49%,39.58%,39.88%,39.25%,37.54%,37.90%,38.99%,38.12%,,,,,,,,,,
