QUESTIONID,QUESTION,OP_A,OP_B,OP_C,OP_D,OP_E,ANS,LEVELID_LIST,CATID_LIST,TOPICID_LIST
1,___________,_____________________,_____________________,,,,A,1,1,1
2,___________________________________,_____,_____,,,,B,1,1,1
3,_______________,____,____,,,,B,1,1,1
4,_______________,_________,________,,,,A,1,1,1
5,____________  _____ (   ) ______,_,_ ,_,_,,B,1,1,1
6,_____________________________,_,__,,,,A,1,1,1
7,______________________,_,_  ,,,,B,1,1,1
8,__________________,__,__,,,,A,1,2,1
9,__________________,__,__,,,,B,1,2,1
10,___________________,____,____,,,,B,1,2,1
11,___________________,__,___,,,,A,1,2,1
12,___________________,__,___,,,,B,1,2,1
13,____________________,____,____,,,,A,1,2,1
14,"____________________(  )____ _(  )_____",__ _,___,,,,A,1,2,1
15,______________,____________________,______________,___________________,___________________,,C,1,3,1
16,______________,_____________________,_____________________,_____________________,_____________________,,A,1,3,1
17,______________,_________________,____________________,___________________,,,A,1,3,1
18,______________,__________________,____________________,___________________,,,B,1,3,1
19,_______________,___________,__________,______________,,,A,1,3,1
20,"______________________________________________________________",__________,_______,______,_________________,,D,1,3,1
21,"_____________________________________________________",____________,____,______,_________,,D,1,3,1
22,"__________________   _____________ ____________   _____",__,___,,,,D,1,4,2
23,"__________________ ____________ ____________ __________________",__ ,___,,,,A,1,4,2
24,"_____________________________",___,___,___,___,,C,1,4,2
25,"________________ ______________________",___,___,___,___,,B,1,4,2
26,"_______________________________________________",___,___,___,___,,D,1,4,2
27,"________________________",___,___,___,___,,A,1,4,2
28,________________________________,___________,____________,,,,A,1,4,2
29,________________________________ ,_________,________,,,,B,1,4,2
30,__________________________________,__________,________,,,,A,1,5,2
31,_______________, __________ ,__________,________,__________,,C,1,5,2
32,___________________________________,________,________,,,,A,1,5,2
33,"________________ ________________________",_,__,,,,B,1,5,2
34,"________________________",_____,____,,,,A,1,6,3
35,"__________________________",__,_____,,,,B,1,6,3
36,"______________________________________",________________   ,___________________,___________________,,,C,1,6,3
37,__________________________,__________,__________,,,,A,1,6,3
38,___________________________,_____________,_________,,,,A,1,6,3
39,_______________________________________________________________,__,__,__,,,B,1,6,3
40,_______________ ,____,____,____,,,B,1,7,4
41,_______________,____dz______ung_ ,___ _d______an_,___ _d______ang_,,,A,1,7,4
42,_ta1____________,_,_,_ ,,,A,1,7,4
43,_sok8____________,_  ,_ ,_,,,C,1,7,4
44,_fa1____________,_,_,_,,,B,1,7,4
45,_liu4____________,_,_ ,_   ,,,C,1,7,4
46,_________________,__ts_,__n_,__dz_,__w_,,B,1,7,4
47,__ __ ___ _____________ ,____,____,____,,,C,1,7,4
48,_______________,___________,___________,___________,,,C,1,8,4
49,_____________,_,_,_,_,,B,1,8,4
50,"_____________________ _. __________________________ _. _________________________ _. ______________________________________",_____,_____,_____,,,B,1,8,4
51,______________,_,_,_,,,C,1,8,4
52,______________,_,_,_,,,A,1,8,4
53,______________,_,_,_,,,B,1,8,4
54,___________,___,___,___,,,B,1,8,4
55,______________,_,_,_,,,C,1,8,4
56,______________,_,_,_,,,B,1,8,4
57,______________,_,_,_,,,A,1,8,4
58,________________,____________,____________,____________,____________,,B,1,8,4
59,"___________   __    ______________",_ ,_,_,_,,C,1,9,5
60,"_______________(   )______________",_,_,_,,,A,1,9,5
61,"________________________________(   )____",_,_,_,,,B,1,9,5
62,"__________________________(   )__",_,_,_,,,B,1,9,5
63,"________________(   )____________",_,_,_,,,B,1,9,5
64,"______________________(   )__________ ",_,_, _  ,,,B,1,9,5
65,"________________(   )_________________",_,_,_,,,C,1,9,5
66,"_____________________",____,____,____,,,B,1,10,6
67,_____________________,____,____,____,,,C,1,10,6
68,"_____________________",____,____,____,,,C,1,10,6
69,"________________________ _",____,____,____,,,B,1,10,6
70,"______________________ _",____,____,____,,,C,1,10,6
71,"_____________________",____,____,____,,,C,1,10,6
72,"_____________________",____,____,____,,,B,1,10,6
73,"______________ ________(   )_________",__ ,__,__ ,__,,B,1,10,6
74,"________________________(   )_____________",__,__ ,__,__,,C,1,10,6
75,"__________________ (   )___________",__ ,__,__,__,,A,1,10,6
76,"______________ _______(   )_____________",__ ,__ ,__ ,__,,D,1,10,6
77,___________,________________,______________,_____ ______________,,,A,1,11,7
78,___________,________________,____________________,_________________,,,C,1,11,7
79,___________,______________________,__________________,_____________________,,,A,1,11,7
80,"_____________________________________",___,___,___,___,,_,1,4,8
81,__________________________,__,__,__,,,A,1,12,9
82,_______________________ ,__,__,__,,,B,1,12,9
83,"_______________________________________  ___    ",__,__,_,__,,A,1,12,9
84,"____________  ________________________",_____,_____,_____,_____,,C,1,12,9
85,_________________________,_________,__________ ,________,,,A,1,13,10
86,"______________  ______________________________",_________________,_________________,,,,A,1,13,10
87,"____________     ",______________________,______________________,__________________________,,,A,1,14,10
88,____________ ,_________________,__________________,__________,,,B,1,14,10
89,____________ ,____________,_____________,______________,,,C,1,14,10
90,"__________________   _(   )  ________________",__,__,__,,,A,1,14,10
91,"__________________  _(   )________(   )____",___ ,___,___,,,B,1,14,10
92,"__________________  ______(   ) _______(   )_____", _______,_______,_______,,,A,1,14,10
