BLOCK CLAIM LIABILITY REPORT - Block Claim Liability,,,,,,,,,,,
The Millennium-2000 Sample Life Insurance Company,,,,,,,,,,,
Arvind,,,,,,,,,,,
Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,,,
,,,,,,,,,,,
,CALCULATION OF ESTIMATED INCURRED CLAIMS,,,,,,,,,,
,Completion Factor Method (CFM),,,Projection Method (PM),,,,Blended Method (BM),,,
Incurred Month,Incurred and Reported Claims,Completion Factor,Total Estimated Incurred Claims,Trend Factor,Trended Claim Cost,Exposure,Total Estimated Incurred Claims,Blending Factor,Total Estimated Incurred Claims,Final Completion Factor,Cumulative Estimated Incurred Claims
Aug-1998," 99,219 ", 1.0000 ," 99,219 ", 1.1853 , -   ," 2,576.16 "," 99,219 ", 1.0000 ," 99,219 ", 1.0000 ," 99,219 "
Sep-1998," 99,219 ", 1.0000 ," 99,219 ", 1.1795 , 38.70 ," 2,663.77 "," 103,092 ", 1.0000 ," 99,219 ", 1.0000 ," 198,438 "
Oct-1998," 292,014 ", 1.0000 ," 292,014 ", 1.1738 , 38.15 ," 2,728.21 "," 104,070 ", 1.0000 ," 292,014 ", 1.0000 ," 490,452 "
Nov-1998," 292,014 ", 1.0000 ," 292,014 ", 1.1681 , 62.04 ," 2,780.75 "," 172,510 ", 1.0000 ," 292,014 ", 1.0000 ," 782,466 "
Dec-1998," 109,763 ", 1.0000 ," 109,763 ", 1.1624 , 73.51 ," 2,826.46 "," 207,784 ", 1.0000 ," 109,763 ", 1.0000 ," 892,229 "
Jan-1999," 109,763 ", 1.0000 ," 109,763 ", 1.1569 , 66.61 ," 2,835.06 "," 188,842 ", 1.0000 ," 109,763 ", 1.0000 ," 1,001,992 "
Feb-1999," 164,681 ", 1.0000 ," 164,681 ", 1.1513 , 62.09 ," 2,816.63 "," 174,887 ", 1.0000 ," 164,681 ", 1.0000 ," 1,166,673 "
Mar-1999," 164,681 ", 1.0000 ," 164,681 ", 1.1456 , 61.86 ," 2,829.58 "," 175,051 ", 1.0000 ," 164,681 ", 1.0000 ," 1,331,354 "
Apr-1999," 171,773 ", 1.0000 ," 171,773 ", 1.1401 , 61.69 ," 2,910.37 "," 179,541 ", 1.0000 ," 171,773 ", 1.0000 ," 1,503,127 "
May-1999," 171,773 ", 1.0000 ," 171,773 ", 1.1346 , 61.68 ," 2,874.03 "," 177,269 ", 1.0000 ," 171,773 ", 1.0000 ," 1,674,900 "
Jun-1999," 294,045 ", 1.0000 ," 294,045 ", 1.1291 , 61.78 ," 2,840.92 "," 175,519 ", 1.0000 ," 294,045 ", 1.0000 ," 1,968,945 "
Jul-1999," 294,045 ", 1.0000 ," 294,045 ", 1.1236 , 65.96 ," 2,830.39 "," 186,704 ", 1.0000 ," 294,045 ", 1.0000 ," 2,262,990 "
Aug-1999," 111,076 ", 1.0000 ," 111,076 ", 1.1182 , 69.50 ," 2,957.81 "," 205,572 ", 1.0000 ," 111,076 ", 1.0000 ," 2,374,066 "
Sep-1999," 111,076 ", 1.0000 ," 111,076 ", 1.1127 , 69.23 ," 2,973.89 "," 205,888 ", 1.0000 ," 111,076 ", 1.0000 ," 2,485,142 "
Oct-1999," 171,436 ", 1.0000 ," 171,436 ", 1.1073 , 69.11 ," 2,943.35 "," 203,425 ", 1.0000 ," 171,436 ", 1.0000 ," 2,656,578 "
Nov-1999," 171,436 ", 1.0000 ," 171,436 ", 1.1019 , 64.98 ," 3,014.08 "," 195,865 ", 1.0000 ," 171,436 ", 1.0000 ," 2,828,014 "
Dec-1999," 111,538 ", 1.0000 ," 111,538 ", 1.0966 , 60.85 ," 3,018.72 "," 183,701 ", 1.0000 ," 111,538 ", 1.0000 ," 2,939,552 "
Jan-2000," 111,538 ", 1.0000 ," 111,538 ", 1.0913 , 60.67 ," 3,003.32 "," 182,216 ", 1.0000 ," 111,538 ", 1.0000 ," 3,051,090 "
Feb-2000," 211,563 ", 1.0000 ," 211,563 ", 1.0860 , 60.54 ," 3,006.06 "," 181,981 ", 1.0000 ," 211,563 ", 1.0000 ," 3,262,653 "
Mar-2000," 211,563 ", 0.9997 ," 211,637 ", 1.0808 , 61.56 ," 3,001.39 "," 184,753 ", 0.9997 ," 211,628 ", 0.9997 ," 3,474,281 "
Apr-2000," 183,194 ", 0.9987 ," 183,425 ", 1.0755 , 62.61 ," 3,027.80 "," 189,585 ", 0.9987 ," 183,433 ", 0.9987 ," 3,657,714 "
May-2000," 183,194 ", 0.9949 ," 184,129 ", 1.0703 , 62.75 ," 3,053.26 "," 191,585 ", 0.9949 ," 184,167 ", 0.9947 ," 3,841,881 "
Jun-2000," 329,297 ", 0.9949 ," 330,978 ", 1.0652 , 62.79 ," 3,019.49 "," 189,599 ", 0.9949 ," 330,260 ", 0.9971 ," 4,172,141 "
Jul-2000," 329,297 ", 0.9949 ," 330,978 ", 1.0600 , 63.31 ," 3,006.07 "," 190,302 ", 0.9949 ," 330,264 ", 0.9971 ," 4,502,405 "
Aug-2000," 281,510 ", 0.9949 ," 282,947 ", 1.0549 , 63.82 ," 2,987.36 "," 190,662 ", 0.9949 ," 282,479 ", 0.9966 ," 4,784,883 "
Sep-2000," 281,510 ", 0.9933 ," 283,403 ", 1.0498 , 68.67 ," 2,953.34 "," 202,808 ", 0.9933 ," 282,865 ", 0.9952 ," 5,067,748 "
Oct-2000," 183,309 ", 0.9918 ," 184,817 ", 1.0447 , 73.65 ," 2,927.27 "," 215,583 ", 0.9918 ," 185,068 ", 0.9905 ," 5,252,816 "
Nov-2000," 183,309 ", 0.9906 ," 185,045 ", 1.0396 , 74.14 ," 2,897.23 "," 214,786 ", 0.9906 ," 185,324 ", 0.9891 ," 5,438,140 "
Dec-2000," 83,695 ", 0.9843 ," 85,033 ", 1.0346 , 74.84 ," 2,887.18 "," 216,079 ", 0.9843 ," 87,094 ", 0.9610 ," 5,525,234 "
Jan-2001," 83,695 ", 0.9550 ," 87,637 ", 1.0295 , 74.61 ," 2,887.80 "," 215,449 ", 0.9550 ," 93,386 ", 0.8962 ," 5,618,620 "
