,REFDATE (Inc/Paid),LAG0,LAG1,LAG2,LAG3,LAG4,LAG5,LAG6,LAG7,LAG8,LAG9,LAG10,LAG11,LAG12,LAG13,LAG14,LAG15,LAG16,LAG17,LAG18,LAG19,LAG20,LAG21,LAG22,LAG23,LAG24,LAG25,LAG26,LAG27,LAG28,LAG29,LAG30,LAG31,LAG32,LAG33,LAG34,LAG35,
,8/1/98,50333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,9/1/98,50333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,10/1/98,20337,176427,24820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,11/1/98,40479,159677,21428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,12/1/98,15320,109280,64318,8788,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,1/1/99,55099,78962,58105,5540,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,2/1/99,724,73514,100846,2952,6434,1354,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,3/1/99,22541,122603,33881,1847,3742,1210,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,4/1/99,13576,98490,88390,43589,3662,1893,2160,72,4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,5/1/99,33308,90083,107509,13397,3572,3399,492,72,4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,6/1/99,6555,111208,44850,15516,14096,20812,1119,484,5922,-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,7/1/99,57812,73515,57928,10474,13276,141,1010,484,6162,-2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,8/1/99,17973,92380,33087,19224,2579,2463,34006,-80,309,3572,13,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,9/1/99,35600,88108,29728,10188,5698,1709,30681,-80,3589,292,13,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,10/1/99,9177,52091,8840,4870,4827,13323,-7175,1423,384,278,6985,227,240,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,11/1/99,21566,44918,5794,3493,4941,13013,-7298,949,492,213,6942,227,240,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
,12/1/99,9334,90775,92161,12514,4501,3851,655,828,203,3333,581,90,167,0,0,179,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNP
,1/1/00,51587,137822,7018,12343,1008,3609,703,732,127,3206,581,115,142,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IBNR
