,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,약 어),,TT,:,체결(TIGHTENING),,,,,,,,,,,CP,:,클램핑(CLAMPING),,,,,,,,,,CF,:,확인(CONFIRMATION),,,,,,,,,,LB,:,해포(UNBOXING),,,,,,,,,,,DA,:,분해(DISASSEMBLING),,,,,,,,,,,
,,,,조 립 작 업 표 준 서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,:,가조립(PROVIOUS TIGHTENING),,,,,,,,,,,FL,:,주입(FILLING),,,,,,,,,,AD,:,접착(ADHESING),,,,,,,,,,CX,:,청소/세척(CLEANING),,,,,,,,,,,SY,:,대칭(SYMMETRY),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RV,:,리벳팅(RIVETING),,,,,,,,,,,AP,:,도포(APPLICATION),,,,,,,,,,MH,:,운반(MATERIAL HANDLING),,,,,,,,,,RM,:,제거(REMOVAL),,,,,,,,,,,DW,:,난이도계수,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FX,:,고정(FIXING),,,,,,,,,,,LK,:,잠금(LICKING),,,,,,,,,,ST,:,위치결정(SETTING),,,,,,,,,,DT,:,드릴링/태핑(DRILLING/TAPPING),,,,,,,,,,,(DIFFICULT WORK FACTOR),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,:,끼움(FITTING),,,,,,,,,,,AJ,:,조정(ADJUSTING),,,,,,,,,,RU,:,정렬(ROUTING),,,,,,,,,,HM,:,타격(HAMMERING),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD,:,묶음(BINDING),,,,,,,,,,,TC,:,체결력확인(TORQUE CHECK),,,,,,,,,,CN,:,결선(CONNECTING),,,,,,,,,,CT,:,절단(CUTTING),,,,,,,,,,,,,,,,,,,,,,,,
 작업그림,,,,,,,,,,※ 체결력 (kgf·m),,,,,,,,,,,,∼,,,,,,,,,∼,,,,,,,,,∼,,,,,,순번,,약어/코드,,,,,,작        업        내        용,,,,,,,,,,,,,,,,,,,,,치    공    구,,,,,,,,,,,,,공 수,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CP1-008-01,,,,,,②-1개에 ③-1개를 끼움,,,,,,,,,,,,,,,,,,,,,클램프 플라이어,,,,,,,,,,,,,4.00 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,FT4-006-01,,,,,,㉮에 ②-1개를 끼움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23 ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CP1-005-01,,,,,,②-1개에 ③-1개를 클램핑,,,,,,,,,,,,,,,,,,,,,클램프 플라이어,,,,,,,,,,,,,3.61 ,,,,,,,,
