,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_ _),,TT,:,__(TIGHTENING),,,,,,,,,,,CP,:,___(CLAMPING),,,,,,,,,,CF,:,__(CONFIRMATION),,,,,,,,,,LB,:,__(UNBOXING),,,,,,,,,,,DA,:,__(DISASSEMBLING),,,,,,,,,,,,,
,,,,_ _ _ _ _ _ _,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,:,___(PROVIOUS TIGHTENING),,,,,,,,,,,FL,:,__(FILLING),,,,,,,,,,AD,:,__(ADHESING),,,,,,,,,,CX,:,__/__(CLEANING),,,,,,,,,,,SY,:,__(SYMMETRY),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RV,:,___(RIVETING),,,,,,,,,,,AP,:,__(APPLICATION),,,,,,,,,,MH,:,__(MATERIAL HANDLING),,,,,,,,,,RM,:,__(REMOVAL),,,,,,,,,,,DW,:,_____,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FX,:,__(FIXING),,,,,,,,,,,LK,:,__(LICKING),,,,,,,,,,ST,:,____(SETTING),,,,,,,,,,DT,:,___/__(DRILLING/TAPPING),,,,,,,,,,,(DIFFICULT WORK FACTOR),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FT,:,__(FITTING),,,,,,,,,,,AJ,:,__(ADJUSTING),,,,,,,,,,RU,:,__(ROUTING),,,,,,,,,,HM,:,__(HAMMERING),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD,:,__(BINDING),,,,,,,,,,,TC,:,_____(TORQUE CHECK),,,,,,,,,,CN,:,__(CONNECTING),,,,,,,,,,CT,:,__(CUTTING),,,,,,,,,,,,,,,,,,,,,,,,,,
 ____,,,,,,,,,,_ ___ (kgf·m),,,,,,,,,,,,_,,,,_,,123.0,,,_,456.0,,,,,,,,_,,,,,,__,,__/__,,,,,,_        _        _        _,,,,,,,,,,,,,,,,,,,,,_    _    _,,,,,,,,,,,,,_ _,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,CP1-008-01,,,,,,_-1__ _-1__ __,,,,,,,,,,,,,,,,,,,,,___ ____,,,,,,,,,,,,,4.00 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,FT4-006-01,,,,,,__ _-1__ __,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,CP1-005-01,,,,,,_-1__ _-1__ ___,,,,,,,,,,,,,,,,,,,,,___ ____,,,,,,,,,,,,,3.61 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ___,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. __ __ _ __ __,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,,22761-05015,,,,,,___-___ __ __,,,,,,,,,,,,,,,1,,,,___ __,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,,22736-05065,,,,,,__-____ _ ____,,,,,,,,,,,,,,,1,,,,___ (E20/E23),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,,22736-05075,,,,,,__-____ _ ____,,,,,,,,,,,,,,,1,,,,___ (E32),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__,,_      _,,,,,,_          _,,,,,,,,,,,,,,,__,,,,_     _     _     _,,,,,,,,,,,,,,,____,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"___",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,- ___ _____ ____.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,- ____ __ ____ __ ___ ___ ____.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_       _,,,,,,,,_             _ ,,,,,,,,,,,,,,,,,,,______,,,,,,,____,,,,____,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_ _,,,,,,,,___ __,,,,,,,,,,,,,,,,,,,03220-05035,,,,,,,JC-1400,,,,__,,,,10.9 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__,,,,0.0 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"____",, ___ __ ___ __ __ _ __ __,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__,,,2/2,,,,,DR,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,o,,02.06.24,,,PL __ DR __,,,,,,,,,,,,,,__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,n,,01.12.04,,,___ __ ____ __,,,,,,,,,,,,,,__,,,,"____",,___,,,_  _,,,_  _,,,_  _,,,"____",,_   _,,,,,,_   _,,,,,,KGU(UPG),,,,,,,,,,_ _ _ _,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,m,,00.06.09,,,05CV013 __ __ __,,,,,,,,,,,,,,__,,,,,,1996,,,,,,,,,,,,,,,0,,5,,-,,1,,D,,-,,2,,2,,7,,0,,-,,1,,7,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,__,,_  _,,,_    _    _    _,,,,,,,,,,,,,,__,,__,,,,01/16,,,,,,/,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSANGYONG MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SMP-12-022-042002.06.18",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
