0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,PINNACLE CODE ,,,,CD,CF,CE,DB,DA,,,,,CB,,,,CH,,,RG,,,,,,,,,
2,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LH ,RH,,TAIL,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER 
3,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,LH,TH,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
4,COROLLA,AE81 EARLY,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"       ""     SECA",AE81 EARLY,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"       """,AE81 LATE,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CS-X       H/B,AE82**,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SPRINTER,AE86,1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COROLLA,AE91,0/1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SECA       L/B,AE91*,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NOVA,AE91** FX,0/1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WAGON,AE95**,0,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
13,COROLLA,AE100,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"       """,AE100,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
15,COROLLA FX ,AE101,0/1,3DR,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SPRINTER,AE100*,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MR2,AW11,0/1,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MR2,SW20,0/1,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PASEO,EL44,0,2C,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PASEO ,EL53 ,,2C ,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TARAGO,YR21*,1,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TOWN ACE,CR27,3,HV,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"      ""       SBV",KR42,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SPACIA,SR40,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
25,STARLET,EP91,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
26,STARLET,EP91,0,5D,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SUPRA,MA70,0/1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TARAGO,TCR11,0,HL,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ESTIMA IMPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,JAPAN,M,SHAPE,BONNET,FENDER,,DOOR,,,,SLIDE DOOR,,BUMPER,,GRILL/,TRUNK/,LAMP,LAMP,,,,,      RADIATOR,,A/C,RADIATOR,A/C,UPPER,LOWER 
32,,MODEL,,,,R,L,F/R,F/L,R/R,R/L,R,L,F,  R ,MASK,R/GATE,HEAD,HEAD, TAIL,, TAIL,CLEAR,AUTO,MAUAUL,CONDENSOR,FAN,FAN,PANEL,PANEL
33,CELICA,ST160**,0/1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"     """,ST182**,0/1,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"     """,ST202**,0,3D,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CRESSIDA,GX71,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MX73,GX71**,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MX83,GX81 EARLY ,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MX83,GX81 LATE ,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SV21 CAMRY EARLY,SV20 - SV21,0,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SV21 CAMRY LATE,SV21 - SV22,1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CAMRY SCEPTER    ,VCV / SXV,0/1,4D,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CAMRY SCEPTER   ,VCV / SXV,0/1,4V,,,,,,,,,,,,,,,,,,,,,,,,,,
