RR_Definition,UI Section,UI Field Name,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submit_id,,,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,u111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loan_number,General,Loan Number,1,2,3,4,5,6,7,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analysis_date,General,Analysis Date (current date if new loan),5/10/07,5/10/07,5/10/07,5/10/07,5/10/07,5/10/07,5/10/07,3/21/07,3/5/07,2/23/07,3/1/07,3/5/07,2/28/07,2/22/07,3/8/07,3/8/07,3/2/07,3/8/07,3/21/07,3/1/07,3/14/07,3/16/07,3/15/07,2/14/07,3/13/07,3/23/07,3/26/07,3/15/07,2/23/07,2/27/07,2/23/07,2/28/07,2/23/07,2/28/07,2/28/07,2/28/07,2/20/07,2/27/07,2/26/07,3/9/07,3/8/07,3/8/07,3/5/07,3/8/07,3/12/07,3/16/07,3/5/07,2/28/07,2/27/07,3/5/07,2/15/07,3/13/07,3/8/07,3/21/07,3/8/07,3/6/07,2/26/07,3/12/07,3/16/07,3/5/07,3/13/07,3/11/07,2/5/07,2/22/07,2/21/07,3/27/07,3/20/07,3/23/07,3/7/07,3/8/07,2/1/07,2/28/07,3/13/07,2/28/07,3/5/07,3/8/07,3/1/07,2/27/07,3/15/07,3/7/07,3/8/07,3/9/07,3/22/07,3/14/07,3/5/07,2/28/07,3/1/07,3/23/07,2/26/07,3/7/07,2/20/07,3/13/07,10/1/06,10/15/06,11/1/06,12/15/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrower_id,General,Borrower ID (TIN/SSN),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity_type,General,SAE Type,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,SAE,non SAE,non SAE,non SAE,SAE,SAE,non SAE,non SAE,SAE,SAE,SAE,non SAE,SAE,SAE,non SAE,non SAE,SAE,SAE,SAE,SAE,non SAE,SAE,SAE,non SAE,SAE,SAE,non SAE,non SAE,non SAE,SAE,non SAE,SAE,non SAE,SAE,non SAE,SAE,SAE,SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,SAE,non SAE,SAE,non SAE,SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,non SAE,SAE,SAE,non SAE,SAE,SAE,,SAE,SAE,SAE,SAE,SAE,non SAE,non SAE,non SAE,SAE,non SAE,non SAE,non SAE,non SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
approval_date,General,Approval Date,7/21/06,1/9/07,2/27/07,11/27/06,1/29/07,12/31/05,,3/21/07,3/5/07,2/23/07,3/1/07,3/5/07,2/28/07,2/22/07,3/8/07,3/8/07,3/2/07,3/8/07,3/21/07,3/1/07,3/14/07,3/16/07,3/15/07,2/14/07,3/13/07,3/23/07,3/26/07,3/15/07,2/23/07,2/27/07,2/23/07,2/28/07,2/23/07,2/28/07,2/28/07,2/28/07,2/20/07,2/27/07,2/26/07,3/9/07,3/8/07,3/8/07,3/5/07,3/8/07,3/12/07,3/16/07,3/5/07,2/28/07,2/27/07,3/5/07,2/15/07,3/13/07,3/8/07,3/21/07,3/8/07,3/6/07,2/26/07,3/12/07,3/16/07,3/16/07,3/13/07,3/11/07,2/5/07,2/22/07,2/21/07,3/27/07,3/20/07,3/23/07,3/7/07,3/8/07,2/1/07,2/28/07,3/13/07,2/28/07,3/5/07,3/8/07,3/1/07,2/27/07,3/15/07,3/7/07,3/8/07,3/9/07,3/22/07,3/14/07,3/5/07,2/28/07,3/1/07,3/23/07,2/26/07,3/7/07,2/20/07,3/13/07,7/1/04,4/1/04,11/1/03,2/1/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business_line_desc,General,Business Line,CREL - Construction,CREL - Other,CREL - Construction,CREL - Construction,CREL - Construction,CREL - Construction,CREL - Other,MFL,CML - OO,MFL,MFL,MFL,MFL,MFL,CML - Other,CML - Other,CML - OO,CML - Other,MFL,MFL,MFL,MFL,MFL,MFL,CML - OO,CML - Other,CML - Other,MFL,MFL,MFL,MFL,MFL,CML - Other,CML - Other,CML - Other,CML - OO,CML - Other,CML - Other,CML - Other,CML - Other,MFL,MFL,MFL,MFL,MFL,MFL,MFL,,MFL,CML - OO,CML - Other,CML - Other,CML - OO,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,CML - Other,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,MFL,CML - OO,CML - OO,CML - OO,CML - OO,CML - OO,CML - OO,CML - OO,CML - OO,CML - Other,MFL,MFL,MFL,CML - Other,CML - Other,CML - Other,CML - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transaction_desc,General,Transaction Type,Relationship,Relationship,Relationship,Relationship,Relationship,Relationship,Relationship,Non Relationship,Non Relationship,Other,Non Relationship,Express,Express,Non Relationship,Non Relationship,Non Relationship,Other,Non Relationship,Non Relationship,Express,Non Relationship,Express,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Relationship,Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Relationship,Relationship,Relationship,Relationship,Non Relationship,Relationship,Non Relationship,Non Relationship,Express,Express,Non Relationship,Express,Non Relationship,Express,Express,Express,Express,Non Relationship,Express,Non Relationship,Non Relationship,Other,Express,Express,Relationship,Non Relationship,Express,Express,Express,Express,Express,Non Relationship,Non Relationship,Other,Other,Non Relationship,Non Relationship,Other,Express,Relationship,Non Relationship,Non Relationship,Non Relationship,Other,Other,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,Non Relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origination_desc,General,Origination Type,Origination,Origination,Origination,Origination,Origination,Origination,WaMu Refi,Origination,Origination,Origination,Origination,WaMu Refi,Origination,WaMu Refi,Origination,Origination,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,Origination,WaMu Refi,WaMu Refi,Origination,Origination,WaMu Refi,Origination,WaMu Refi,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,WaMu Refi,WaMu Refi,WaMu Refi,Origination,Origination,WaMu Refi,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,Origination,WaMu Refi,Origination,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,WaMu Refi,WaMu Refi,Origination,Origination,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,WaMu Refi,WaMu Refi,Origination,Origination,Origination,Origination,WaMu Refi,Origination,Origination,WaMu Refi,WaMu Refi,,Origination,Origination,Origination,Origination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity_type_desc,Obligor,Entity Type,Limited Partnership,Limited Partnership,Limited Partnership,Limited Partnership,Limited Partnership,Limited Liability Co.,Limited Partnership,Limited Liability Co.,Corporation,Individual,Limited Liability Co.,Trust,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Corporation,Individual,Limited Partnership,Corporation,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Limited Partnership,Limited Liability Co.,Corporation,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Trust,Trust,Trust,Corporation,Corporation,Individual,Limited Liability Co.,Individual,Limited Liability Co.,Limited Liability Co.,Trust,Limited Liability Co.,Trust,Individual,Individual,Individual,Limited Liability Co.,Limited Liability Co.,Trust,Individual,Limited Liability Co.,Individual,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Trust,Individual,Limited Liability Co.,Individual,Limited Liability Co.,Limited Liability Co.,Individual,Limited Liability Co.,Trust,Trust,Limited Liability Co.,Limited Partnership,Limited Liability Co.,Individual,Individual,Trust,Individual,Limited Partnership,Individual,Trust,Individual,Limited Liability Co.,Limited Liability Co.,Limited Partnership,Corporation,Trust,Limited Liability Co.,Limited Liability Co.,Corporation,Individual,Individual,Corporation,Corporation,Limited Liability Co.,Individual,Individual,Trust,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Limited Liability Co.,Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrower_name,Obligor,Borrower Name,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,John Doe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
