The University of Chicago Graduate School of Business,,,,,,,
Employment Statistics:  2005-2006,,,,,,,
,,,,,,,
Top Five Industries - Intern,,,,,,,
"September 11, 2006",,,,,,,
Industry,Percent of Hires,Number of Hires(1),,,,,
Top Five Industries,70.5%,383,,,,,
Financial Services - Investment Banking/Brokerage,29.8%,162,,,,,
Consulting,16.9%,92,,,,,
Financial Services - Investment Management,9.6%,52,,,,,
Technology,7.4%,40,,,,,
Financial Services - Diversified Financial Services,6.8%,37,,,,,
All Others,29.5%,160,,,,,
Total,100.0%,543,,,,,
(1)   Eleven students in the Class of 2007 reported having 2 internships; one student had 3 internships.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
