UNFI,NB,UPC,Long Description,12 UPC,Amy's Category,SCH Category,Pack,Size
20278,033-795,42272-00558,LIS Refried Black Beans,0-42272-00558-1,Beans,,12,15.4 OZ
20279,033-787,42272-00589,LIS Traditional Refried Beas,0-42272-00589-5,Beans,,12,15.4 OZ
20280,033-829,42272-00587,LIS Medium Chili,0-42272-00587-1,Chili,,12,14.7 OZ
20281,033-837,42272-00588,LIS Spicy Chili,0-42272-00588-8,Chili,,12,14.7 OZ
23711,033-811,42272-00583,LIS Lentil Soup,0-42272-00583-3,Soup,,12,14.5 OZ
23712,033-803,42272-00584,LIS Split Pea Soup,0-42272-00584-0,Soup,,12,14.1 OZ
23713,033-654,42272-00585,LIS Minestrone Soup,0-42272-00585-7,Soup,,12,14.1 OZ
23714,033-662,42272-00586,LIS Chunky Tomato Bisque Soup,0-42272-00586-4,Soup,,12,14.5 OZ
DC,DC,42272-00509,Potato Leek Soup,0-42272-00509-3,Soup,,12,14.1 OZ
DC,DC,42272-00539,Corn Chowder Soup,0-42272-00539-0,Soup,,12,14.1 OZ
23718,033-464,42272-00540,Chunky Vegetable Soup,0-42272-00540-6,Soup,,12,14.3 OZ
23719,033-472,42272-00547,Fire Roasted Vegetable Soup,0-42272-00547-5,Soup,,12,14.3 OZ
23722,032-383,42272-00530,Black Bean Chili,0-42272-00530-7,Chili,,12,14.7 OZ
23723,032-805,42272-00514,Alphabet Soup,0-42272-00514-7,Soup,,12,14.1 OZ
DC,DC,42272-00534,Butternut Squash Soup,0-42272-00534-5,Soup,,12,14.1 OZ
23725,032-821,42272-00550,Traditional Refried Beans,0-42272-00550-5,Beans,,12,15.4 OZ
23726,032-847,42272-00552,Refried Beans w Green Chilis,0-42272-00552-9,Beans,,12,15.4 OZ
23727,032-839,42272-00551,Refried Black Beans,0-42272-00551-2,Beans,,12,15.4 OZ
23728,033-563,42272-00400,Medium Salsa,0-42272-00400-3,Salsa,,6,17.5 OZ
23729,033-571,42272-00401,Mild Salsa,0-42272-00401-0,Salsa,,6,17.5 OZ
23730,033-589,42272-00402,Black Bean & Corn Salsa,0-42272-00402-7,Salsa,,12,17.5 OZ
23731,033-233,42272-00580,LIS Butternut Squash Soup,0-42272-00580-2,Soup,,12,14.1 OZ
23732,033-241,42272-00581,LIS Cream of Tomato Soup,0-42272-00581-9,Soup,,12,14.5 OZ
23733,033-258,42272-00582,LIS Lentil Vegetable Soup,0-42272-00582-6,Soup,,12,14.5 OZ
23736,033-548,42272-00403,Spicy Chipotle Salsa,0-42272-00403-4,Salsa,,6,17.5 OZ
23768,033-852,42272-00518,Tuscan Bean Soup,0-42272-00518-2,Soup,,12,14.1 OZ
23769,033-845,42272-00513,Thai Coconut Soup,0-42272-00513-0,Soup,,12,14.1 OZ
DC,DC,42272-00704,Puttanesca Sauce,0-42272-00704-2,Pasta Sauce,,6,24.5 OZ
31396,033-431,42272-00706,Low Sodium Family Marinara Sauce,0-42272-00706-6,Pasta Sauce,,6,24.5 OZ
31538,032-664,42272-00535,Lentil Vegetable Soup,0-42272-00535-2,Soup,,12,14.5 OZ
31539,032-672,42272-00536,Chunky Tomato Bisque Soup,0-42272-00536-9,Soup,,12,14.5 OZ
31540,032-680,42272-00537,Pasta & 3 Bean Soup,0-42272-00537-6,Soup,,12,14.1 OZ
DC,DC,42272-00717,Roasted Garlic Sauce,0-42272-00717-2,Pasta Sauce,,6,24.5 OZ
72761,034-983,42272-00313,Steel-Cut Oats Hot Cereal Bowl,0-42272-00313-6,Cereal,Breakfast,12,9 oz
72762,034-967,42272-00311,Rolled Oats Hot Cereal Bowl,0-42272-00311-2,Cereal,Breakfast,12,9 oz
72763,035-485,42272-00269,Black Bean Tamale Verde,0-42272-00269-6,Tamales,Entrée,12,9 oz
72764,035-493,42272-00278,Cheese Tamale Verde,0-42272-00278-8,Tamales,Entrée,12,9 oz
72765,035-477,42272-00264,LIS - Macaroni & Cheese,0-42272-00264-1,LIS,Entrée,12,9 oz
72766,035-501,42272-00265,LIS - Mexican Casserole Bowl,0-42272-00265-8,Bowls,Entrée,12,9.5 oz
72767,035-535,42272-00259,LIS - Single Serve Spinach Pizza,0-42272-00259-7,LIS,Pizza,12,7.2 oz
72768,035-543,42272-00266,Single Serve Non-Dairy Rice Crust Cheeze Pizza,0-42272-00266-5,Single Serve Pizza,Pizza,12,6 oz
72769,034-959,42272-00310,Multi-Grain Hot Cereal Bowl,0-42272-00310-5,Cereal,Breakfast,12,9 oz
72770,034-991,42272-00263,LIS - Shepherd's Pie,0-42272-00263-4,LIS,Entrée,12,8 oz
72771,035-527,42272-00262,LIS - Indian Mattar Paneer,0-42272-00262-7,LIS,Entrée,12,10 oz
72772,035-519,42272-00268,Mexican Quesadilla Kids Meal,0-42272-00268-9,Kids Meals,Entrée,12,8 oz
72773,034-975,42272-00312,Cream of Rice Hot Cereal Bowl,0-42272-00312-9,Cereal,Breakfast,12,9 oz
73316,033-290,42272-00163,Mexican Casserole Bowl,0-42272-00163-7,Bowls,Entrée,12,9.5 OZ
73318,033-324,42272-00191,Cornmeal Crust 3 Cheese Pizza,0-42272-00191-0,Pizzas,Pizza,8,14.5 OZ
