Kategorie výrobk_:,
,
mlé_né a vaje_né výrobky,1
"maso, uzeniny, ryby",2
nápoje,3
mražené výrobky,4
"ovoce, zelenina",5
pe_ivo,6
"trvanlivé potraviny (konzervy, t_stoviny, ko_ení, káva, _aj apod.)",7
"domácnost, textil",8
"foto a telekomunikace (fotoaparáty, digitální fotoaparáty + p_íslušenství, mobily + p_íslušenství, kamery)",9
"audio (autorádio, discmany, radiomagnetofony, hifi, domácí kino, sluchátka)",10
"televize, video (DVD , videokazety, CD, informatika, tiskárny, klávesnice, herní software, hrací konzole, notebook)",11
"malé elektrospot_ebi_e (roboti, žehli_ky, vysava_e, mixery, sezonní p_ístroje, zubní kartá_ky, depilátory)",12
"velké elektrospot_ebi_e (mikrovlnné trouby, sporáky, pra_ky, ledni_ky, my_ky)",13
dámská móda a obuv,14
"d_tská móda a obuv, ko_árky a jiné d_tské vybavení (hra_ky, dopl_ky)",15
pánská móda a obuv,16
kosmetika a hygiena,17
prací a _istící prost_edky,18
"kultura – knihy, CD (hudba), DVD (filmy)",19
papírnictví,20
pro motoristy (autodopl_ky),21
pro zví_ata,22
"sport, volný _as",23
"zahrada (seka_ky, bazény), pro kutily (veškeré vybavení pro kutily – pily, brusky, rukavice, šroubováky apod)",24
ostatní,25
velikono_ní výrobky,26
,
Kategorie Akcí,
novinka,1
super cena,2
"""jedni_ka"" - najnižšija cena",3
bio,4
program kvality,5
?,6
výrobky carrefour,7
garance nejnižší ceny,8
výrobek fairtrade,9
úv_r bez navýšení,10
úv_r p_l roku bez úroku,11
úv_r 10%,12
speciální úv_r na nábytek,13
úv_r 20x splátka,14
úv_r 1%/ m_síc,15
úv_r - sleva z úv_ru 40%,16
sleva z úroku -50%,17
