,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,6077.76,5622.57,6050.72,6412.90,5574.62,5996.49,5821.85,5852.53,1970.30,1976.40,1976.72,1975.21,5660.80,6181.35,5909.17,5917.17,5772.94,5801.98,5999.23,6036.86,1975.99,1977.38,1985.16,1976.61,5758.30,6030.13,6047.67,6047.54,5835.61,5958.14,6174.76,6507.41,1968.57,1982.57,1981.87,1975.51,5979.22,6112.54,5452.24,5936.40,6071.34,6650.46,1970.98,1971.48,1971.33,1973.41,1973.83,1971.59,5983.00,6196.05,5620.68,5698.24,6216.65,6499.50,1964.96,1965.40,1964.43,1977.69,1970.49,1971.66,5897.95,5956.29,5688.11,5819.88,5914.75,6038.27,1965.37,1968.56,1968.87,1976.76,1982.61,1969.87,5842.87,5569.87,5675.22,5748.34,1969.11,1975.64,1980.13,1968.13,1967.34,1978.85,1973.35,1977.63,6171.34,5863.09,5368.85,5218.27,1963.63,1970.17,1963.68,1967.66,1967.08,1969.36,1968.62,1975.56
,2,5992.44,5507.19,5960.53,6367.76,5569.77,5963.61,5777.80,5767.97,1972.30,1973.68,1973.76,1979.05,5515.87,6097.77,5807.55,5920.80,5754.11,5803.04,5979.39,6026.33,1977.98,1977.99,1988.70,1976.46,5641.47,5918.46,6035.45,6029.91,5807.75,5911.62,6143.53,6456.25,1972.70,1980.70,1979.99,1974.50,5876.28,6072.50,5436.45,5933.27,6025.60,6615.21,1968.21,1973.93,1971.22,1971.47,1976.13,1975.85,5883.98,6157.78,5579.22,5670.06,6173.93,6479.24,1966.93,1968.19,1964.81,1974.98,1968.84,1974.85,5800.51,5907.39,5671.25,5814.16,5924.24,5992.40,1969.65,1967.43,1969.10,1976.03,1985.31,1972.86,5766.59,5468.40,5667.01,5680.91,1970.54,1977.32,1980.03,1966.87,1971.17,1977.95,1973.06,1979.79,6093.53,5794.01,5335.00,5172.41,1964.52,1966.75,1967.56,1967.10,1963.89,1970.88,1971.63,1972.93
,3,5924.45,5503.90,5874.76,6282.13,5527.88,5932.54,5759.35,5740.60,1972.18,1973.26,1979.20,1972.53,5413.99,6002.19,5700.35,5824.26,5721.65,5760.74,5945.57,6009.26,1974.21,1980.49,1986.91,1977.38,5606.58,5830.36,6012.28,6003.76,5793.16,5876.06,6103.75,6435.60,1974.29,1980.68,1980.72,1978.09,5772.82,6007.16,5395.16,5907.83,5995.95,6578.56,1972.56,1972.19,1970.81,1971.61,1972.90,1973.32,5795.82,6110.43,5566.62,5632.84,6168.06,6452.72,1968.61,1970.52,1967.32,1977.72,1970.62,1973.19,5712.68,5838.52,5641.78,5784.80,5887.25,5961.65,1970.83,1966.97,1969.18,1976.08,1982.05,1973.15,5694.36,5366.24,5655.33,5648.34,1970.13,1975.98,1981.83,1966.88,1967.87,1981.03,1970.81,1979.00,6038.82,5722.57,5338.22,5143.03,1962.94,1967.45,1967.86,1966.93,1968.74,1972.78,1970.43,1973.63
,4,5897.97,5463.03,5806.62,6174.85,5504.52,5921.52,5760.57,5708.12,1971.97,1974.60,1974.83,1978.01,5394.88,5995.98,5609.09,5721.30,5687.53,5747.04,5939.53,5967.78,1976.19,1979.36,1988.27,1975.10,5548.24,5754.10,5989.19,5978.24,5757.80,5852.94,6090.99,6409.86,1975.60,1984.01,1983.85,1974.80,5712.54,5984.01,5387.79,5899.69,6005.81,6583.39,1971.01,1968.98,1969.94,1969.29,1972.03,1976.99,5745.11,6047.08,5574.41,5629.96,6139.18,6442.98,1965.89,1969.33,1967.30,1974.60,1972.17,1973.33,5642.51,5767.07,5642.38,5749.17,5863.79,5916.67,1970.18,1968.36,1967.88,1977.39,1985.86,1973.11,5683.77,5277.59,5634.59,5626.44,1973.42,1978.18,1979.18,1970.32,1968.62,1978.16,1974.05,1976.05,5955.74,5652.98,5299.55,5114.09,1963.56,1967.51,1965.51,1966.52,1968.01,1970.53,1966.19,1977.09
,5,5896.15,5449.02,5775.52,6130.82,5505.76,5882.47,5731.15,5697.47,1971.51,1976.26,1979.77,1978.13,5370.44,5975.59,5593.73,5655.47,5669.10,5736.88,5920.45,5992.53,1978.03,1981.78,1986.16,1973.83,5529.96,5746.12,5984.64,5967.41,5756.55,5840.18,6071.78,6397.63,1976.92,1983.42,1982.10,1980.20,5697.11,5906.20,5387.38,5886.44,5966.15,6553.19,1968.98,1976.26,1970.05,1976.69,1975.62,1978.80,5727.67,6004.79,5542.60,5613.06,6112.83,6431.72,1968.98,1972.03,1967.36,1974.13,1972.16,1978.36,5615.64,5698.28,5615.60,5741.18,5858.55,5927.33,1967.95,1967.01,1964.55,1978.05,1986.24,1972.15,5676.69,5235.53,5610.72,5617.78,1966.78,1976.90,1982.70,1971.90,1968.78,1979.46,1973.39,1977.90,5945.44,5576.82,5292.60,5108.50,1968.09,1970.46,1968.64,1969.26,1966.47,1970.29,1969.50,1974.91
,6,5868.21,5437.60,5753.06,6115.73,5489.19,5879.83,5757.67,5687.99,1971.23,1978.79,1976.65,1974.66,5368.77,5954.01,5594.57,5637.88,5652.10,5721.28,5874.22,5967.29,1980.49,1981.02,1986.71,1978.49,5526.18,5737.07,5972.67,5959.44,5739.48,5837.20,6075.09,6388.26,1978.49,1980.33,1985.93,1976.23,5692.29,5821.69,5380.54,5864.65,5982.94,6574.42,1970.46,1973.47,1971.03,1973.49,1974.85,1979.58,5713.36,5924.82,5529.47,5599.17,6098.35,6408.08,1971.09,1971.28,1970.22,1977.70,1975.34,1977.01,5597.50,5630.77,5621.47,5739.96,5829.48,5907.04,1968.19,1966.85,1972.90,1979.52,1984.72,1972.73,5654.30,5220.66,5614.95,5604.10,1969.04,1977.08,1983.67,1972.02,1969.30,1979.49,1974.94,1979.93,5936.70,5519.63,5282.60,5094.95,1965.39,1968.56,1966.90,1968.18,1963.72,1968.42,1971.32,1974.88
,7,5862.93,5404.58,5744.90,6105.02,5469.66,5851.00,5724.87,5682.58,1973.17,1974.95,1980.84,1979.77,5348.64,5929.07,5572.20,5637.34,5619.84,5730.49,5866.17,5928.47,1976.41,1980.28,1984.17,1981.95,5506.56,5722.04,5956.65,5944.46,5729.41,5832.07,6057.08,6378.19,1979.92,1985.82,1981.99,1979.40,5690.37,5755.29,5370.62,5848.23,5945.48,6559.43,1967.35,1973.12,1971.62,1973.89,1971.75,1979.04,5699.99,5829.42,5520.21,5594.40,6085.48,6392.91,1969.96,1972.74,1969.11,1976.89,1972.45,1976.21,5580.94,5587.32,5590.46,5719.60,5824.07,5897.80,1973.45,1971.73,1966.27,1977.77,1986.84,1975.85,5635.19,5201.80,5588.50,5588.67,1974.38,1976.97,1981.38,1968.40,1969.56,1980.65,1976.42,1978.84,5918.82,5490.33,5262.32,5079.51,1968.07,1973.67,1970.03,1969.50,1966.53,1971.73,1973.94,1976.05
,8,5847.82,5414.99,5737.19,6093.10,5454.36,5838.25,5725.84,5671.35,1973.32,1978.41,1977.40,1978.31,5333.92,5925.26,5573.77,5628.62,5654.80,5729.51,5849.67,5938.11,1978.31,1981.49,1988.25,1977.34,5490.48,5718.31,5951.57,5938.36,5725.16,5806.67,6044.64,6368.84,1976.79,1982.97,1982.63,1978.12,5666.27,5729.62,5369.90,5834.68,5938.78,6512.47,1971.10,1970.74,1974.09,1977.08,1974.26,1981.50,5705.08,5811.27,5524.64,5586.81,6073.32,6398.86,1967.18,1972.39,1970.97,1976.90,1975.16,1974.58,5588.24,5594.78,5574.76,5721.84,5825.72,5889.80,1973.39,1972.41,1974.64,1979.54,1986.50,1973.50,5635.47,5203.13,5576.79,5581.17,1970.10,1981.39,1983.66,1968.88,1972.42,1984.25,1975.24,1976.95,5893.56,5489.80,5255.12,5069.83,1966.44,1973.63,1969.45,1969.37,1971.46,1970.89,1972.64,1978.19
,9,5846.76,5397.74,5722.45,6083.59,5463.93,5840.16,5709.19,5657.05,1972.04,1978.96,1982.17,1979.28,5321.42,5906.77,5579.16,5609.03,5626.73,5717.47,5890.78,5916.65,1981.98,1983.91,1988.36,1982.43,5484.60,5702.83,5962.98,5930.65,5718.94,5804.17,6046.70,6365.61,1976.21,1987.48,1982.53,1978.14,5654.10,5735.13,5361.55,5855.20,5949.24,6518.70,1972.80,1972.22,1972.78,1974.66,1974.20,1980.06,5686.51,5809.93,5513.15,5579.96,6071.58,6382.50,1969.96,1972.75,1970.07,1981.09,1975.01,1981.23,5582.06,5577.86,5579.00,5693.25,5815.03,5886.07,1971.94,1966.71,1973.01,1983.95,1990.23,1973.19,5618.71,5190.42,5580.17,5570.52,1974.11,1978.22,1983.94,1968.23,1970.73,1980.59,1976.46,1980.75,5878.27,5482.97,5234.32,5072.44,1969.47,1968.13,1967.78,1968.92,1967.49,1972.10,1968.54,1977.41
,10,5840.97,5393.93,5701.21,6062.13,5436.54,5830.11,5703.52,5620.27,1976.86,1977.31,1978.20,1976.84,5322.18,5898.37,5574.13,5620.87,5612.60,5691.34,5882.27,5929.65,1980.66,1982.96,1991.95,1977.72,5479.57,5699.86,5928.95,5913.23,5708.50,5790.23,6027.10,6318.76,1974.49,1984.48,1985.25,1980.04,5636.66,5718.73,5355.25,5829.08,5908.80,6492.57,1973.22,1974.51,1971.79,1977.45,1976.20,1976.58,5673.07,5792.98,5504.24,5569.10,6060.62,6351.72,1969.96,1976.06,1970.04,1980.31,1977.54,1979.84,5559.25,5582.11,5562.43,5692.39,5806.53,5867.38,1973.68,1967.86,1971.65,1980.39,1988.92,1970.57,5606.44,5184.11,5564.85,5563.64,1972.80,1981.89,1984.85,1965.04,1972.59,1984.09,1975.32,1978.32,5860.05,5466.69,5243.42,5065.66,1968.67,1970.84,1969.49,1971.46,1969.88,1969.38,1973.10,1975.56
