,,, ,,,,, Today's , Previous Day's ,,,,Market,Previous,Change,UNUSED DO NOT DELETE,,,Market,Enron,,,,,,,Previous Day,,,,,, Profit & Loss Summary ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Equity,, Number of  , Number of  ,, Sector ,,Value,Market Value,Market Value,,,,Value,Company Tag,Asset,Hedge,Net,Asset,Hedge,Net,Market, Daily ,,,,, QTD ,,,,,6/30/98,9/30/98,YTD,Gamma,3/31/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Class,Book,Telephone #,Asset,Ticker,Sector,Type,Instrument, Shares/Units , Shares/Units ,Gamma, Beta , Delta ,Per Share,Per Share,Per Share,Do Not Delete,Do Not Delete,Do Not Delete,2/12/01,Name,Sector,Sector,Sector,Index,Index,Index,Value, Asset P&L , Hedge P&L , Valuation P&L , Total P&L ,, Asset P&L ,, Hedge P&L , Valuation P&L , Total P&L , Value , Value ,P&L,Position,Carrying Value,,,Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convertible - Private,Upstream,713-853-7752,0, ,Energy,Convertible,Convertible Debt," 28,571.43 "," 28,571.43 ", -   , 0.30 , 0.80 ," $2,307.45 ","2,307.85 ",(0.41),0 ,0 ,0 , $- , 001:Enron-NA ," $15,822,480 ", $(0)," $15,822,480 ", $- , $- , $- ," $65,938,656 "," $(11,656)"," $11,656 ", $- , $(0), c , $- , * , $- , $- , $- , $- , $- , $- , $- , $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convertible - Private,Upstream,713-853-7752,0, ,Energy,Convertible,Convertible Debt," 28,571.43 "," 28,571.43 ", -   , 0.30 , 0.80 ," $2,307.45 ","2,307.85 ",(0.41),0 ,0 ,0 , $- , 001:Enron-NA ," $15,822,480 ", $(0)," $15,822,480 ", $- , $- , $- ," $65,938,656 "," $(11,656)"," $11,656 ", $- , $(0), c , $- , * , $- , $- , $- , $- , $- , $- , $- , $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Private,Upstream,713-853-7752,Mariner Commodity, ,Energy,Private ,Common Equity, 1.00 , 1.00 , -   , -   , 1.00 ," $(198,815.00)","(222,195.00)","23,380.00 ",0 ,0 ,0 ," $452,009 ", 001:Enron-NA , $- , $- , $- , $- , $- , $- ," $(222,195)"," $23,380 "," $(23,380)", $- , $- ,," $524,486 ", b ," $(524,486)", $- , $- , $- , $- , $- , $- ," $(72,477)",,,Mariner Commodity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Private,Upstream,713-853-7752,Mariner, ,Energy,Private ,Common Equity," 570,000.00 "," 570,000.00 ", -   , 0.30 , 1.00 , $255.89 ,255.94 ,(0.06),0 ,0 ,0 ," $218,053,573 ", 001:Enron-NA ," $43,756,711 ", $(1)," $43,756,710 ", $- , $- , $- ," $145,887,938 "," $(32,236)"," $32,236 ", $- , $0 , a , $- , * , $- , $- , $- , $- , $- , $- , $- ," $217,997,457 ",,,Mariner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Structured Credit-MTM,Upstream,713-853-7752,0, ,Energy,Private,Financing, 1.00 , 1.00 , -   , -   , -   ," $24,219,525.83 "," 24,206,222.69 "," 13,303.14 ",0 ,0 ,0 , $- , 001:Enron-NA , $- , $- , $- , $- , $- , $- ," $24,206,223 "," $13,303 ", $- , $- ," $13,303 ",, $- ,, $- , $- , $- , $- , $- , $- , $- , $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*  Unlike the commodity hedge (b), the equity hedges are incorporated into the market values (a,c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
