,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Market MIDS,,,,,,,,,,,
,,,PJM,,INdiana,,,ADhub,,,Nihub,,,,SOCO,,,ENT,,
,gas,peak,offpeak,ATC,peak,offpeak,ATC,peak,offpeak,ATC,peak,offpeak,ATC,peak,offpeak,ATC,peak,offpeak,ATC,
FG 13,,50.75,40.63,45.43,39.25,29.38,34.06,43.75,35.50,39.42,41.99,31.68,36.57,37.50,,,,,,
HJ 13,,44.63,33.00,38.47,35.63,25.88,30.46,40.18,30.43,35.01,37.33,25.60,31.11,34.38,,,,,,
K 13,,44.80,29.45,36.71,35.75,23.75,29.43,40.55,27.13,33.48,37.35,22.20,29.37,34.75,,,,,,
M 13,0.00,47.68,29.55,37.61,37.65,23.75,29.93,42.35,27.30,33.99,47.68,22.30,33.58,36.65,,,,,,
NQ 13,0.00,56.15,32.18,43.52,44.60,25.75,34.67,49.85,29.08,38.90,56.15,26.38,40.46,40.48,,,,,,
U 13,0.00,46.25,29.83,37.13,35.75,23.63,29.01,41.00,27.48,33.49,46.25,22.48,33.04,35.25,,,,,,
Q4 13,0.00,44.80,33.38,38.67,35.45,25.83,30.29,40.35,30.70,35.17,44.80,24.08,33.68,35.08,,,,,,
Cal 13,0.00,48.05,33.25,40.14,37.98,25.83,31.48,42.83,30.28,36.12,40.13,25.58,32.35,36.99,28.50,32.45,,,,
,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0.00,,,,,,,,,,,,,,,,,0.00,0.00,
,0.00,0.00,,,,,,,,,,,,,,,,,,
Cal 13,3.97,48.05,33.25,40.14,37.98,25.83,31.48,42.83,30.28,36.12,40.13,25.58,32.35,36.99,28.50,32.45,,,,
Cal 14,4.23,48.35,33.80,40.58,38.40,26.45,32.02,43.25,30.80,36.60,40.33,25.90,32.62,38.70,29.50,,,,,
Cal 15,4.36,48.93,34.70,41.35,39.03,27.65,32.97,43.88,31.73,37.41,40.65,26.58,33.16,40.00,31.75,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
