Fixed-Rate Advances,,,
Indications as of 01/31/2014 at 08:38 AM,,,
Term,Advance Rate,CIA Rate,
Prev Overnight,0.002800,,
Overnight,0.002800,,
1 Week,0.002900,,
2 Weeks,0.003000,,
3 Weeks,0.003000,,
1 Month,0.003000,,
2 Months,0.003200,,
3 Months,0.003300,,
4 Months,0.003400,,
5 Months,0.003500,,
6 Months,0.003700,,
7 Months,0.003700,,
8 Months,0.003800,,
9 Months,0.003900,,
10 Months,0.004000,,
11 Months,0.004000,,
1 Year,0.004200,0.002700,
1.5 Years,0.005000,0.003400,
2 Years,0.006400,0.004800,
3 Years,0.010200,0.008600,
4 Years,0.015200,0.013500,
5 Years,0.019200,0.017400,
6 Years,0.023500,0.021700,
7 Years,0.027100,0.025200,
8 Years,0.030300,0.028400,
9 Years,0.032800,0.030900,
10 Years,0.034600,0.032700,
15 Years,0.040900,0.039000,
20 Years,0.043600,0.041700,
