,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MODIFIED RATE PRSI,,SINGLE,,,,,,,,,,
€,£,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000","4,726",6.3%,4.6%,0.7%,0.0%,0.0%,0.0%,,,,,
"15,000","9,451",20.9%,19.1%,16.3%,12.2%,8.1%,6.3%,5.4%,3.8%,1.8%,0.0%,0.0%
"20,000","15,751",26.0%,23.6%,21.4%,16.9%,13.3%,11.9%,11.2%,10.0%,6.6%,5.2%,3.2%
"25,000","19,689",31.0%,28.7%,26.9%,21.5%,15.2%,14.1%,13.6%,12.6%,11.5%,10.4%,8.8%
"30,000","23,627",34.4%,32.1%,30.5%,25.7%,19.9%,17.1%,16.6%,15.8%,13.8%,12.5%,11.1%
"40,000","31,503",38.3%,36.2%,35.0%,30.9%,26.1%,24.0%,23.7%,23.0%,21.6%,19.5%,17.2%
"60,000","47,254",42.3%,40.2%,39.3%,35.9%,32.0%,30.7%,30.5%,30.1%,29.1%,27.8%,25.9%
"100,000",,45.5%,43.4%,42.8%,40.0%,36.8%,36.0%,35.9%,35.7%,35.1%,34.3%,32.8%
"120,000",,46.3%,44.2%,43.7%,41.0%,38.0%,37.3%,37.2%,37.0%,36.6%,35.9%,34.6%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MODIFIED RATE PRSI,,MARRIED ONE INCOME 2  CHILDREN,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000",,0.7%,0.7%,0.7%,0.0%,0.0%,0.0%,,,,,
"15,000",,12.9%,12.3%,7.7%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.0%,0.0%
"20,000",,18.2%,16.3%,12.5%,6.1%,2.8%,2.8%,2.8%,2.8%,0.8%,0.8%,0.8%
"25,000",,20.4%,18.5%,15.4%,9.9%,6.6%,5.0%,4.4%,3.5%,2.9%,2.9%,2.9%
"30,000",,21.8%,19.9%,17.3%,12.4%,9.3%,8.0%,7.5%,6.7%,5.5%,4.5%,2.9%
"40,000",,27.0%,24.6%,22.0%,17.8%,14.4%,13.3%,13.0%,12.4%,10.8%,9.1%,7.7%
"60,000",,34.8%,32.5%,30.7%,27.2%,24.3%,23.6%,23.3%,23.0%,21.9%,20.5%,18.6%
"100,000",,41.0%,38.8%,37.6%,34.7%,32.2%,31.8%,31.6%,31.4%,30.7%,29.9%,28.4%
"120,000",,42.5%,40.4%,39.3%,36.6%,34.1%,33.8%,33.7%,33.5%,32.9%,32.2%,30.9%
,,,,,,,,,,,,
,,,,,,,,,,,,
MODIFIED RATE PRSI,,MARRIED 2 INCOMES** 2 CHILDREN,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"6,000",,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,
"15,000",,10.5%,8.7%,3.6%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"20,000",,14.6%,12.7%,8.9%,6.1%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"25,000",,18.5%,16.6%,13.4%,9.8%,5.3%,3.1%,2.0%,0.5%,0.5%,0.5%,0.0%
"30,000",,20.1%,18.3%,15.6%,13.2%,9.2%,7.3%,6.4%,4.8%,1.5%,0.5%,0.5%
"40,000",,26.0%,23.6%,20.7%,15.9%,12.3%,11.0%,10.3%,9.1%,7.6%,6.3%,4.3%
"60,000",,34.2%,32.0%,30.4%,25.6%,19.8%,17.1%,16.6%,15.8%,13.8%,11.8%,10.4%
"100,000",,40.7%,38.6%,37.6%,33.9%,29.6%,28.0%,27.7%,27.2%,26.1%,24.4%,22.4%
"120,000",,42.3%,40.2%,39.3%,36.0%,32.0%,30.7%,30.5%,30.1%,29.1%,27.7%,25.9%
" *  Average Tax Rates:  Total of Income Tax, Levies and PRSI as a proportion of gross income. This measure includes only the standard ",,,,,,,,,,,,
 employee and personal income tax credits. It does not include the impact of any other allowances or reliefs.,,,,,,,,,,,,
** The Married two-Incomes figures assume that the joint income is divided 65% and 35% between spouses.,,,,,,,,,,,,
,,,,,,,,,,,,
