301. Exposures by Counterparty and Agreement Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counterparty:,COMAC CAPITAL LLP O/B/O COMAC MASTER FUND LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary GCI:,335746476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPER:,161631643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master ID:,99359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD:,ATS99359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal:,Merrill Lynch International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Center Description:,111 ML UK Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date: ,16-Jan-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract ID ,Back Office Number,ProductID,Trade Date ,Effective Date,Maturity Date,Commodity Code,Strike,Contract Rate,Buy/Sell,Ccy1,Notional 1,Ccy2,Notional 2,Initial Margin CCY,Prin Initial Margin Amount,Cpty Initial Margin Amount,Independent Amount CCY,Prin Independent Amount,Cpty Independent Amount,Market Value Ccy,Market Value Amount,Collateral Agreement  Ccy,Market Value Amount in CA Ccy,Market Value Date,Put/Call,Unit,Major Deal,Commodity Type,Price Source,Booking Unit,Link Trade Count,Credit Approval
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agreement:,COMAC MASTE..LIMITED CSA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Agreement Level Amounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,No Positions to Report ,,,,,,,,,,,,,,,,,,,,,,
"Jan 16, 2013",05:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
