Result (expected),Format,Value,Categories
1 Wow,"[<10]#"" Wow""",1,Basic
10,"[<10]#"" Wow""",10,Basic
11,"[<10]#"" Wow""",11,Basic
10,"[>10]#"" Big""",10,Basic
11 Big,"[>10]#"" Big""",11,Basic
12 Big,"[>10]#"" Big""",12,Basic
1 Wow,"[<=10]#"" Wow""",1,Basic
10 Wow,"[<=10]#"" Wow""",10,Basic
11,"[<=10]#"" Wow""",11,Basic
10 Big,"[>=10]#"" Big""",10,Basic
11 Big,"[>=10]#"" Big""",11,Basic
12 Big,"[>=10]#"" Big""",12,Basic
1,"[=10]#"" Wow""",1,Basic
10 Wow,"[=10]#"" Wow""",10,Basic
11,"[=10]#"" Wow""",11,Basic
1 Wow,"[<>10]#"" Wow""",1,Basic
10,"[<>10]#"" Wow""",10,Basic
11 Wow,"[<>10]#"" Wow""",11,Basic
,,,
1 Wow,"[<10]#"" Wow""",1,Spaces
10,"[<10]#"" Wow""",10,Spaces
1 Wow,"[< 10]#"" Wow""",1,Spaces
10,"[< 10]#"" Wow""",10,Spaces
1 Wow,"[<      10]#"" Wow""",1,Spaces
10,"[<      10]#"" Wow""",10,Spaces
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
