Result (expected),Format,Value,Categories
12.34,0.00,12.344,Basic
12.3,0.0,12.344,Basic
012.30,000.00,12.3,Basic
£012.30,£000.00,12.3,Basic
12.3,###.##,12.3,Basic
12.3,#.##,12.3,Basic
$12.3,$###.##,12.3,Basic
$12.3,$#.#,12.34,Basic
$12.30,$###.00,12.3,Basic
-12.3,###.##,-12.3,Basic
-12.3,#.##,-12.3,Basic
-$12.3,$###.##,-12.3,Basic
-$12.3,$#.#,-12.34,Basic
-$12.30,$###.00,-12.3,Basic
,,,
a $12.30 profit,"\a $#.00"" profit""",12.3,EscapedText
¥12.30 after,"¥#.00"" after""",12.3,EscapedText
before ¥12.30,"""before ""¥#.00",12.3,EscapedText
-a $12.30 profit,"\a $#.00"" profit""",-12.3,EscapedText
-¥12.30 after,"¥#.00"" after""",-12.3,EscapedText
-before ¥12.30,"""before ""¥#.00",-12.3,EscapedText
,,,
"1,234,567","#,###",1234567,Commas
"1,234,567","#,##",1234567,Commas
"1,234,567","#,#",1234567,Commas
",1234567",",#",1234567,Commas
"1,234,567.","#,##.#",1234567,Commas
"1,234,567","0,000",1234567,Commas
"1,234,567","0,00",1234567,Commas
"1,234,567","0,0",1234567,Commas
",1234567",",0",1234567,Commas
"1,234,567.0","0,00.0",1234567,Commas
12,"0,0",12,Commas
123,"0,00",123,Commas
"1,234","0,000",1234,Commas
"12,345","0,0000",12345,Commas
"123,456","0,00000",123456,Commas
"1,234,567","0,000000",1234567,Commas
"1,234,567","?,???",1234567,Commas
"1,234,567","?,????",1234567,Commas
"1,234,567","?,?????",1234567,Commas
"1,234,567","?,??????",1234567,Commas
" 1,234,567","?,???????",1234567,Commas
"  1,234,567","?,????????",1234567,Commas
"    1,234,567","?,?????????",1234567,Commas
12,"?,?",12,Commas
123,"?,??",123,Commas
"1,234","?,???",1234,Commas
"12,345","?,????",12345,Commas
"123,456","?,?????",123456,Commas
"1,234,567","?,??????",1234567,Commas
"-1,234,567","#,###",-1234567,Commas
"-1,234,567","#,##",-1234567,Commas
"-1,234,567","#,#",-1234567,Commas
"-,1234567",",#",-1234567,Commas
"-1,234,567.","#,##.#",-1234567,Commas
"-1,234,567","0,000",-1234567,Commas
"-1,234,567","0,00",-1234567,Commas
"-1,234,567","0,0",-1234567,Commas
"-,1234567",",0",-1234567,Commas
"-1,234,567.0","0,00.0",-1234567,Commas
"1,234,567","0,000",1234567,Commas
"1,234,567","0,0000",1234567,Commas
"1,234,567","0,00000",1234567,Commas
"1,234,567","0,000000",1234567,Commas
"01,234,567","0,0000000",1234567,Commas
"001,234,567","0,00000000",1234567,Commas
"0,001,234,567","0,000000000",1234567,Commas
-12,"0,0",-12,Commas
-123,"0,00",-123,Commas
"-1,234","0,000",-1234,Commas
"-12,345","0,0000",-12345,Commas
"-123,456","0,00000",-123456,Commas
"-1,234,567","0,000000",-1234567,Commas
"-1,234,567","?,???",-1234567,Commas
"-1,234,567","?,????",-1234567,Commas
"-1,234,567","?,?????",-1234567,Commas
"-1,234,567","?,??????",-1234567,Commas
"- 1,234,567","?,???????",-1234567,Commas
"-  1,234,567","?,????????",-1234567,Commas
"-    1,234,567","?,?????????",-1234567,Commas
-12,"?,?",-12,Commas
-123,"?,??",-123,Commas
"-1,234","?,???",-1234,Commas
"-12,345","?,????",-12345,Commas
