,,,,,,,,,MIL,Test Pack : MILAN,,,,,,,,,,,,, ,,,,RESULTS,,,,,, ,,,,,,,,,,,,,,,,,
"Type of processon AceTP",Test Pack STARTS AT…,DURATION before next job (minutes),MIL,FKT,LIGHT,COB,TST1,TST2,Test Pack : MILAN,Type,Task Type,Task Name,Market activity,#rec,File / Task,BEFORE,AFTER,COB on pf1,CRONTAB on pf1,SQL Request for ITMM,SQL : ITMM,Result on pf1, ,Process to be scheduled (CRONTAB),Process to be scheduled (with AceTP's scheduler),Process to be launched manually by users,AceTP performance (minutes),COMMs part,CAPTURE (minutes),Create INX from Exec (minutes),How many … What ?,Parameters (expected results), ,COMMENT,,DATE in TEXT,,,,,,,,,populate .trig,BEFORE,AFTER,Prev. YES,Last. YES,
.,15/12/2006 16:02,until 18:48,X,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQL request,16:02,0,,X,,,X,,No,,,START of TEST PACK,,,** Standard **,,,,,,,, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='** Standard **' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','','START of TEST PACK','** Standard **',''",,,,,testpack_COB_snapshot_before,,,,#VALUE!,#VALUE!,#VALUE!, 
SQL request,16:02,0,X,,,X,X,,Yes,,,Tables FOOTPRINTs (begin),,,"TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null )",,,,"echo ""2 16 15 12 * export ORACLE_HOME=/apps/oracle/current/;export PATH=/apps/oracle/current/bin:\$PATH;echo \""exec TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null );\"" | sqlplus acetp/acetp@atpeur90.fr.net.intra >>/apps/tibco/acetppf1/TestPack/logs/COB_20131213.log 2>&1"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_crontab",,"echo ""2 16 15 12 * export ORACLE_HOME=/apps/oracle/current/;export PATH=/apps/oracle/current/bin:\$PATH;echo \""exec TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null );\"" | sqlplus acetp/acetp@atpeur90.fr.net.intra >>/apps/tibco/acetppf1/TestPack/logs/COB_20131213.log 2>&1"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_crontab",, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null )' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','','Tables FOOTPRINTs (begin)','TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null )',''",,,,,testpack_COB_snapshot_before,";echo \""exec TEST_PACK_CTRL ('20131213','ITMM','** RESULT **','','','SQL request//Tables FOOTPRINTs (begin)/TEST_PACK_TABLE_FOOTPRINT ( 'BEGIN', null )//');\"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_COB_snapshot_before.wrk",,,#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:02,3,X,,X,,X,X,Yes,CFT,G56 market exec,DRKW,ME," 1,145 ",g55833,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55833' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','DRKW','g55833',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55833');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:05,15,X,,,,,,Yes,CFT,G56 market exec,UBS,AL," 18,040 ",g55855,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55855' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','UBS','g55855',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55855');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:20,4,X,,X,,,,Yes,CFT,G32 sett conf,CLEARNET,N1," 1,258 ",g3200800,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, , NB rec = 1169 , ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g3200800' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G32 sett conf','CLEARNET','g3200800',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G32 sett conf - g3200800');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:24,3,X,,,,,,Yes,CFT,G56 market exec,KEPLER,ME," 1,774 ",g55845,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55845' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','KEPLER','g55845',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55845');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:27,3,X,,,,,,Yes,CFT,G56 market exec,JPME,ME," 5,170 ",g55836,,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55836' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','JPME','g55836',''",,,,,testpack_COB_snapshot_before,#REF!,,,#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:30,1,X,,,,X,,Yes,MQ,SWIFT, ,, 3 ,f1778487,,,,#VALUE!,,,, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='f1778487' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','SWIFT',' ','f1778487',''",,,,,testpack_COB_snapshot_before,";echo \""exec TEST_PACK_CTRL ('20131213','ITMM','** RESULT **','','','Crontab/SWIFT/ /f1778487/3/');\"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_COB_snapshot_before.wrk",,,#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:31,1,X,,,,,,Yes,MQ,SWIFT, ,, 6 ,f1778520,,,,#VALUE!,,,, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='f1778520' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','SWIFT',' ','f1778520',''",,,,,testpack_COB_snapshot_before,";echo \""exec TEST_PACK_CTRL ('20131213','ITMM','** RESULT **','','','Crontab/SWIFT/ /f1778520/6/');\"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_COB_snapshot_before.wrk",,,#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:32,1,X,,,,X,,Yes,CFT,G56 market exec,MLSUSQ,ME, 1 ,g55844,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55844' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','MLSUSQ','g55844',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55844');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:33,5,X,,X,,,,Yes,CFT,G56 market exec,MLI,ME," 6,318 ",g55863,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55863' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','MLI','g55863',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55863');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,16:38,30,X,,,,,,Yes,CFT,G32 sett conf,PARIBAS-CLIENTS,N1," 14,065 ",g3200835,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, , Nb rec = 19725 , ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g3200835' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G32 sett conf','PARIBAS-CLIENTS','g3200835',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G32 sett conf - g3200835');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,17:08,2,,,,,,,No,CFT,G56 market exec,PROFILO,ME," 3,490 ",G55860,,,,,,,, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='G55860' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','PROFILO','G55860',''",,,,,testpack_COB_snapshot_before,,,,#VALUE!,#VALUE!,#VALUE!, 
Crontab,17:08,15,X,,,,,,Yes,CFT,G56 market exec,SG,ME," 19,806 ",g55867,SP,,,#VALUE!,,,, ,Yes,,,,,,,,#REF!, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='g55867' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','G56 market exec','SG','g55867',''",,,,,testpack_COB_snapshot_before,#REF!,,";echo \""exec statspack.SNAP(6, i_ucomment => 'START G56 market exec - g55867');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
Crontab,17:23,1,X,,X,,,,Yes,MQ,SWIFT, ,, 27 ,f1778532,SP,,,#VALUE!,,,, ,Yes,,,,,,,,, ,, ,20131213,"begin declare LC$br integer;LC$job varchar2(80);begin select max(branch_db_id) into LC$br from Branch where code = 'ITMM'; select max(job_name) into LC$job from task where ACTIVE = 1 and description='f1778532' and branch_db_id=LC$br; update qrtz_triggers set trigger_state='WAITING', NEXT_FIRE_TIME=(to_date('","'20131213','ITMM','SWIFT',' ','f1778532',''",,,,,testpack_COB_snapshot_before,";echo \""exec TEST_PACK_CTRL ('20131213','ITMM','** RESULT **','','','Crontab/SWIFT/ /f1778532/27/');\"" >> /apps/tibco/acetppf1/TestPack/logs/testpack_COB_snapshot_before.wrk",,";echo \""exec statspack.SNAP(6, i_ucomment => 'START SWIFT - f1778532');\""  | sqlplus perfstat/perfstat@atpeur90.fr.net.intra",#VALUE!,#VALUE!,#VALUE!, 
