EXAMPLE 9,,,,,,,,,
"   Married couple, one income, no children  ",,,,,,,,,
Taxed under Schedule D,,,,,,,,,
GROSS,PRSI Liability,,Levy Liability,,Tax Liability,,Total,Total,Gain as % of
INCOME,Existing,Proposed,Existing,Proposed,Existing,Proposed,Gain,Gain,Net Income
,,,,,,,(Per Year),(Per Week) (a),
€,€,€,€,€,€,€,€,€,%
"17,500",525,525,0,0,240,0,240,5,1.4
"25,000 (b)",749,749,499,0,"1,732","1,472",759,15,3.5
"30,000",900,900,600,600,"2,740","2,480",260,5,1.0
"35,000","1,050","1,050",700,700,"3,740","3,480",260,5,0.9
"40,000","1,200","1,200",800,800,"4,740","4,480",260,5,0.8
"45,000","1,350","1,350",900,900,"6,620","5,900",720,14,2.0
"50,000","1,500","1,500","1,000","1,000","8,720","7,950",770,15,2.0
"60,000","1,800","1,800","1,200","1,200","12,920","12,050",870,17,2.0
"80,000","2,400","2,400","1,600","1,600","21,320","20,250","1,070",21,2.0
"100,000","3,000","3,000","2,000","2,000","29,720","28,450","1,270",24,1.9
"120,000","3,600","3,600","2,400","2,500","38,120","36,650","1,371",26,1.8
"200,000","6,000","6,000","4,000","4,500","71,720","69,450","1,771",34,1.5
,,,,,,,,,
Variations can arise due to rounding.,,,,,,,,,
(a) Gains per week are based on a 52 week year,,,,,,,,,
"(b) Recte €24,960",,,,,,,,,
,,,,,,,,,
