Result (expected),Format,Value,Categories
jello,@,jello,Basic
hi,"""hi""",jello,Basic
hI,"""h""""I""",jello,Basic
hi,\h\i,jello,Basic
@jello@,\@@\@,jello,Basic
-jello-,-@-,jello,Basic
-jello,-@,jello,Basic
jello-,@-,jello,Basic
-jello-jello-,-@-@-,jello,Basic
,,,
TRUE,@,TRUE,Boolean
hi,"""hi""",TRUE,Boolean
hI,"""h""""I""",TRUE,Boolean
hi,\h\i,TRUE,Boolean
@TRUE@,\@@\@,TRUE,Boolean
-TRUE-,-@-,TRUE,Boolean
-TRUE,-@,TRUE,Boolean
TRUE-,@-,TRUE,Boolean
-TRUE-TRUE-,-@-@-,TRUE,Boolean
FALSE,@,FALSE,Boolean
hi,"""hi""",FALSE,Boolean
hI,"""h""""I""",FALSE,Boolean
hi,\h\i,FALSE,Boolean
@FALSE@,\@@\@,FALSE,Boolean
-FALSE-,-@-,FALSE,Boolean
-FALSE,-@,FALSE,Boolean
FALSE-,@-,FALSE,Boolean
-FALSE-FALSE-,-@-@-,FALSE,Boolean
