,,,,,,,,
Inventarliste für GALIPLAN Aktien Global AMI*,,,,,,,,
per 27.10.2006,,,,,,,,
,,,,,,,,
,,,,,,,,
Fondsvermögen,,"8,182,539.17",,,,,,
,,,,,,,,
Umlaufende Anteile,,"81,599.00",,,,,,
Anteilwert,,100.28,,,,,,
Aufschlag,,5.00,,,,,,
Ausgabepreis,,105.29,,,,,,
Barvermögen,,"437,118.63",,,,,,
Initial Margin FTK FW,,0.00,,,,,,
Variation Margin FTK FW,,"162,483.60",,,,,,
Variation Margin FTK BW,,"59,112.50",,,,,,
,,,,,,,,
,,,,,,,,
WP-Name,ISIN,Whg.,Anzahl,Bewertungskurs,Volumen in Depotwhg.,Fremdwhg.kurs,Einstandskurs,Buchwert DW
Aktien Inland,,,,,"3,005,922.49",,,
Celesio AG,DE000CLS1001,EUR,500.00,41.1400,"20,570.00",1.0000,42.42,"21,210.26"
E.ON AG ADR,US2687801033,USD,600.00,39.7000,"18,784.75",1.2681,39.74,"18,821.65"
Suess Microtec AG,DE0007226706,EUR,"2,600.00",7.9100,"20,566.00",1.0000,8.09,"21,045.23"
STRATEC Biomedical Systems AG,DE0007289001,EUR,"4,100.00",20.9900,"86,059.00",1.0000,20.27,"83,108.01"
,,,,,,,,
Jungheinrich AG,DE0006219934,EUR,"1,000.00",24.7000,"24,700.00",1.0000,20.59,"20,589.02"
Gildemeister AG,DE0005878003,EUR,"7,900.00",7.8000,"61,620.00",1.0000,7.79,"61,558.79"
Deutsche Börse AG,DE0005810055,EUR,150.00,125.5900,"18,838.50",1.0000,100.97,"15,145.29"
ThyssenKrupp AG,DE0007500001,EUR,"4,800.00",30.1200,"144,576.00",1.0000,21.88,"105,000.79"
Commerzbank AG,DE0008032004,EUR,"1,490.00",27.9500,"41,645.50",1.0000,27.27,"40,625.51"
Salzgitter AG,DE0006202005,EUR,"1,850.00",85.1500,"157,527.50",1.0000,57.45,"106,289.74"
Volkswagen AG St.,DE0007664005,EUR,"1,830.00",78.7000,"144,021.00",1.0000,47.83,"87,521.90"
Deutsche Bank AG,DE0005140008,EUR,"1,150.00",98.5500,"113,332.50",1.0000,88.10,"101,316.48"
BASF AG,DE0005151005,EUR,300.00,68.9200,"20,676.00",1.0000,67.82,"20,345.56"
Lufthansa AG Vz.,DE0008232125,EUR,"8,000.00",17.7000,"141,600.00",1.0000,12.71,"101,714.61"
Leoni AG,DE0005408884,EUR,"2,150.00",29.7700,"64,005.50",1.0000,28.74,"61,797.11"
Hypo Real Estate Hldg. AG,DE0008027707,EUR,420.00,50.1500,"21,063.00",1.0000,49.41,"20,753.73"
Wire Card AG,DE0007472060,EUR,"4,000.00",6.1900,"24,760.00",1.0000,4.85,"19,381.33"
Suedzucker AG St.,DE0007297004,EUR,"1,000.00",19.6300,"19,630.00",1.0000,19.79,"19,792.58"
RWE AG St.-Aktien,DE0007037129,EUR,263.00,77.3800,"20,350.94",1.0000,67.53,"17,759.20"
E.ON AG,DE0007614406,EUR,"1,050.00",93.6900,"98,374.50",1.0000,96.10,"100,902.16"
GEA Group AG,DE0006602006,EUR,"1,500.00",14.0000,"21,000.00",1.0000,13.85,"20,769.36"
Deutz AG,DE0006305006,EUR,"13,600.00",8.0000,"108,800.00",1.0000,7.61,"103,451.03"
Bilfinger Berger AG,DE0005909006,EUR,400.00,49.1900,"19,676.00",1.0000,50.93,"20,373.97"
TUI AG,DE000TUAG000,EUR,"2,400.00",17.2500,"41,400.00",1.0000,17.54,"42,091.77"
Pfleiderer AG,DE0006764749,EUR,850.00,21.1400,"17,969.00",1.0000,23.64,"20,097.82"
,,,,,,,,
Inventarliste für GALIPLAN Aktien Global AMI*,,,,,,,,
per 27.10.2006,,,,,,,,
,,,,,,,,
,,,,,,,,
WP-Name,ISIN,Whg.,Anzahl,Bewertungskurs,Volumen in Depotwhg.,Fremdwhg.kurs,Einstandskurs,Buchwert DW
Grammer AG,DE0005895403,EUR,"5,700.00",23.5400,"134,178.00",1.0000,21.97,"125,210.57"
IKB Dt. Industriebank AG,DE0008063306,EUR,700.00,28.4000,"19,880.00",1.0000,29.06,"20,342.05"
Karstadt Quelle AG,DE0006275001,EUR,"6,750.00",18.7000,"126,225.00",1.0000,17.93,"121,054.48"
Hannover Rückvers. AG,DE0008402215,EUR,"1,870.00",33.0300,"61,766.10",1.0000,32.46,"60,699.74"
Hochtief AG,DE0006070006,EUR,"1,460.00",52.8500,"77,161.00",1.0000,45.50,"66,423.54"
Sixt AG,DE0007231326,EUR,"2,570.00",39.0100,"100,255.70",1.0000,41.04,"105,482.74"
Fresenius Med. Care AG,DE0005785802,EUR,210.00,106.9100,"22,451.10",1.0000,89.99,"18,897.50"
INDUS Holding AG,DE0006200108,EUR,"2,020.00",28.3700,"57,307.40",1.0000,29.27,"59,120.01"
Allianz SE,DE0008404005,EUR,600.00,144.8900,"86,934.00",1.0000,132.86,"79,718.79"
Praktiker Bau- und Hw.-Märkte Holding AG,DE000A0F6MD5,EUR,850.00,25.1800,"21,403.00",1.0000,24.24,"20,607.80"
,,,,,,,,
Heidelb. Druckmaschinen AG,DE0007314007,EUR,650.00,35.5400,"23,101.00",1.0000,31.80,"20,670.17"
AMB Generali Holding AG,DE0008400029,EUR,960.00,106.8500,"102,576.00",1.0000,102.85,"98,738.87"
Rational AG,DE0007010803,EUR,160.00,164.0000,"26,240.00",1.0000,130.75,"20,919.65"
Infineon Techn. AG,DE0006231004,EUR,"4,700.00",9.5300,"44,791.00",1.0000,8.91,"41,888.39"
Fielmann AG,DE0005772206,EUR,560.00,39.5700,"22,159.20",1.0000,36.56,"20,476.35"
MAN AG St.,DE0005937007,EUR,"1,640.00",69.2300,"113,537.20",1.0000,49.73,"81,561.34"
Norddeutsche Affinerie AG,DE0006766504,EUR,"4,800.00",21.5200,"103,296.00",1.0000,21.86,"104,913.82"
Dyckerhoff AG,DE0005591036,EUR,700.00,33.1500,"23,205.00",1.0000,29.99,"20,992.89"
SolarWorld AG,DE0005108401,EUR,760.00,41.6600,"31,661.60",1.0000,50.67,"38,511.63"
H&R WASAG AG,DE0007757007,EUR,"2,740.00",39.9700,"109,517.80",1.0000,29.87,"81,842.69"
ComBOTS AG,DE000CMBT111,EUR,"1,600.00",9.7500,"15,600.00",1.0000,13.02,"20,839.49"
Lanxess AG,DE0005470405,EUR,"3,530.00",35.8700,"126,621.10",1.0000,30.46,"107,528.74"
Bay. Hypo-Vereinsbank AG,DE0008022005,EUR,700.00,35.5700,"24,899.00",1.0000,28.43,"19,903.72"
United Internet AG,DE0005089031,EUR,"4,980.00",11.9700,"59,610.60",1.0000,10.55,"52,545.57"
Aktien Ausland,,,,,"4,979,114.47",,,
AVX Corp.,US0024441075,USD,"1,600.00",16.2200,"20,466.07",1.2681,16.17,"20,418.81"
Capital Trust Inc.,US14052H5063,USD,600.00,46.5300,"22,016.48",1.2681,46.95,"22,236.00"
Double Hull Tankers Inc.,MHY211101040,USD,"1,800.00",14.2500,"20,227.91",1.2681,14.13,"20,068.96"
Ambac Financial Group Inc.,US0231391089,USD,300.00,83.9700,"19,865.94",1.2681,83.06,"19,669.29"
Unumprovident Corp.,US91529Y1064,USD,"1,300.00",20.0800,"20,585.94",1.2681,20.44,"20,970.45"
Reinsurance Group of America Inc.,US7593511097,USD,500.00,57.0500,"22,495.17",1.2681,54.59,"21,543.48"
,,,,,,,,
21st Century Holding Co.,US90136Q1004,USD,"1,200.00",28.1300,"26,620.40",1.2681,22.55,"21,362.13"
Angeion Corp.,US03462H4048,USD,"7,600.00",11.3900,"68,265.45",1.2681,10.41,"62,446.37"
SimpleTech Inc.,US8288231041,USD,"5,900.00",8.5200,"39,641.97",1.2681,8.62,"40,157.68"
AT+S Austr.Tech. + Systemtechnik AG,AT0000969985,EUR,"2,700.00",22.4200,"60,534.00",1.0000,21.98,"59,338.70"
,,,,,,,,
,,,,,,,,
Inventarliste für GALIPLAN Aktien Global AMI*,,,,,,,,
per 27.10.2006,,,,,,,,
,,,,,,,,
,,,,,,,,
WP-Name,ISIN,Whg.,Anzahl,Bewertungskurs,Volumen in Depotwhg.,Fremdwhg.kurs,Einstandskurs,Buchwert DW
Anthracite Capital Inc.,US0370231088,USD,"1,900.00",14.1700,"21,231.81",1.2681,13.83,"20,744.09"
Grupo Simec SA ADR,US4004911065,USD,"1,800.00",17.9000,"25,409.09",1.2681,14.41,"20,469.62"
Gerdau SA ADR,US3737371050,USD,"1,900.00",15.0500,"22,550.37",1.2681,13.83,"20,733.81"
Convergys Corp.,US2124851062,USD,"1,300.00",21.1100,"21,641.89",1.2681,20.85,"21,396.25"
Bowne & Co. Inc.,US1030431050,USD,"1,800.00",15.9000,"22,570.09",1.2681,14.88,"21,135.86"
Nordic Am. Tanker Shipping Ltd.,BMG657731060,USD,800.00,34.4400,"21,727.85",1.2681,34.33,"21,678.81"
,,,,,,,,
Time Warner Inc.,US8873171057,USD,"1,400.00",19.9100,"21,981.78",1.2681,18.53,"20,477.38"
Centerpoint Energy Inc.,US15189T1079,USD,"1,800.00",15.4100,"21,874.53",1.2681,14.38,"20,135.81"
Odyssey Re Holdings Co.,US67612W1080,USD,"2,200.00",35.6500,"61,850.87",1.2681,35.91,"62,037.17"
Datalink Corp.,US2379341041,USD,"2,600.00",9.3200,"19,109.66",1.2681,9.87,"19,961.15"
A.M. Castle & Co.,US1484111018,USD,"1,000.00",32.8200,"25,882.26",1.2681,27.78,"21,603.34"
BCE Inc.,CA05534B7604,USD,"1,000.00",27.9900,"22,073.26",1.2681,27.19,"21,143.27"
Asbury Automotive Group Inc.,US0434361046,USD,"1,300.00",23.8000,"24,399.67",1.2681,19.79,"20,011.83"
Nokia Corp. ADR,US6549022043,USD,"1,400.00",19.7000,"21,749.93",1.2681,19.52,"21,255.57"
Overseas Shipholding Group Inc.,US6903681053,USD,400.00,64.1900,"20,248.41",1.2681,61.34,"19,081.58"
,,,,,,,,
OM Group Inc.,US6708721005,USD,"1,600.00",57.5300,"72,590.20",1.2681,50.04,"62,868.44"
Fortune Management Inc.,USU026281027,EUR,"11,000.00",3.9300,"43,230.00",1.0000,3.78,"41,581.94"
GenTek Inc.,US37245X2036,USD,900.00,33.4900,"23,769.57",1.2681,28.26,"19,778.83"
Caterpillar Inc.,US1491231015,USD,400.00,61.2700,"19,327.31",1.2681,66.35,"20,640.32"
Spartan Motors Inc.,US8468191007,USD,"1,500.00",20.6800,"24,462.76",1.2681,16.94,"19,755.30"
Cash America International Inc.,US14754D1000,USD,700.00,40.1000,"22,136.35",1.2681,36.12,"19,661.72"
Horace Mann Educators Corp.,US4403271046,USD,"2,700.00",20.0000,"42,585.07",1.2681,19.20,"40,309.83"
Pinnacle Airlines Corp.,US7234431077,USD,"3,800.00",8.4600,"25,352.31",1.2681,7.09,"20,950.65"
Top Tankers Inc.,MHY8897Y1077,USD,"4,400.00",6.1800,"21,443.95",1.2681,6.00,"20,536.81"
Delhaize Group SA ADR,US29759W1018,USD,340.00,80.0000,"21,450.26",1.2681,79.43,"21,001.20"
Fuji Photo Film Co. Ltd. ADR,US35958N1072,USD,700.00,37.5500,"20,728.68",1.2681,36.51,"19,874.60"
National Oilwell Varco Inc.,US6370711011,USD,400.00,59.8700,"18,885.69",1.2681,60.57,"18,840.64"
PPL Corp.,US69351T1060,USD,800.00,34.9600,"22,055.91",1.2681,33.84,"21,052.82"
Temple-Inland Inc.,US8798681073,USD,600.00,39.9900,"18,921.97",1.2681,42.04,"19,614.93"
Cia. de Telecom. de Chile ADR,US2044493003,USD,"3,400.00",7.4900,"20,082.80",1.2681,7.13,"18,860.73"
