Document Libraries,SubsiteURL,Y_N,Program Related Content ,Type of Document,Content_Type,Content_Type2
Program Related Content,Development/A406,y,Clinical,Advisory,DevelopmentDrugProjectDocument,DevelopmentStudyContent
Key Presentations,Development/A406/A406,n,Clinical Pharmacology,Competitive Intelligence,,
Team Information,Development/A406/A406B,,Commercial,Data Summaries/Analysis/Reports ,,
Project Management,Development/A406/A406C,,Legal Intellectual Property,External Collaboration,,
Project Team Meetings,Development/A406/A406D,,NonClinical,Forms,,
,Development/A406/A406E,,Outcomes Research,Goals,,
,Development/A406/A406G,,PharmSci,Leadership/Governance,,
,Development/A406/A406H,,Regulatory,Literature,,
,Long Term Storage,,SRM,Minutes and Agendas ,,
,,,Structural Biology,Pfizer Disclosures,,
,,,,Plans,,
,,,,Presentations/Publications/Posters,,
StudyDocLibrary,Project Code,,Study Folders,Project Team,,
A4061001,A406,,Data Management,Rosters/Contact Lists,,
A4061002,A406,,Meetings and Agendas,Stage Gate Documentation,,
A4061003,A406,,Programming,Target Validation,,
A4061004,A406,,Statistics,Timelines,,
A4061006,A406,,Study Closeout,Tracking spreadsheets and logs,,
A4061007,A406,,Study Conduct,,,
A4061008,A406,,Study Startup,,,
A4061013,A406,,,,,
A4061015,A406,,,,,
A4061017,A406,,,,,
A4061018,A406,,,,,
A4061019,A406,,,,,
A4061021,A406,,,,,
A4061022,A406,,,,,
A4061026,A406,,,,,
A4061033,A406,,,,,
A4061036,A406,,,,,
A4061037,A406,,,,,
A4061040,A406,,,,,
A4061043,A406,,,,,
A4061047,A406,,,,,
A4061035,A406A,,,,,
A4061010,A406B,,,,,
A4061041,A406B,,,,,
A4061014,A406C,,,,,
A4061027,A406C,,,,,
A4061016,A406D,,,,,
A4061028,A406D,,,,,
A4061012,A406E,,,,,
A4061023,A406E,,,,,
A4061032,A406E,,,,,
A4061046,A406E,,,,,
A4061011,A406G,,,,,
A4061030,A406G,,,,,
A4061031,A406G,,,,,
A4061038,A406G,,,,,
A4061039,A406G,,,,,
A4061042,A406G,,,,,
A4061048,A406G,,,,,
A4061020,A406H,,,,,
A4061034,A406H,,,,,
