Code Insee,Libellé Commune,Distribution gérée par un GRD de rang 1ou 2,Coefficient Tarif de  proximité ,Code PITD
01004,AMBERIEU EN BUGEY,,"1,75",GD0153
01007,AMBRONAY,,1,GD0153
01008,AMBUTRIX,,1,GD0153
01014,ARBENT,,1,GD0092
01021,ARS SUR FORMANS,,1,GD0136
01024,ATTIGNAT,,1,GD0093
01025,BAGE LA VILLE,,1,GD0096
01026,BAGE LE CHATEL,,"1,75",GD0096
01027,BALAN,,1,  
01030,BEAUREGARD,,"1,75",GD0136
01031,BELLIGNAT,,"1,75",GD0092
01032,BELIGNEUX,,1,  
01033,BELLEGARDE SUR VALSERINE,,"1,75",  
01034,BELLEY,,1,GD0151
01041,BETTANT,,1,GD0153
01043,BEYNOST,,1,  
01047,BLYES,,1,GD0103
01049,LA BOISSE,,1,  
01053,BOURG EN BRESSE,,"1,75",GD0161
01058,BREGNIER CORDON,,1,GD0150
01058,BREGNIER CORDON,,1,  
01060,BRENOD,,1,GD0089
01062,BRESSOLLES,,1,  
01063,BRION,,1,GD0091
01065,BUELLAS,,1,GD0161
01069,CERTINES,,1,GD0161
01071,CESSY,,1,  
01072,CEYZERIAT,,1,GD0161
01074,CHALAMONT,,1,GD0099
01075,CHALEINS,,1,GD0136
01089,CHATEAU GAILLARD,,1,GD0153
01091,CHATILLON EN MICHAILLE,,1,  
01093,CHATILLON SUR CHALARONNE,,1,GD0157
01099,CHAZEY SUR AIN,,1,GD0102
01103,CHEVRY,,1,  
01105,CIVRIEUX,,1,GD0136
01108,COLIGNY,,1,GD0093
01123,CORMORANCHE SUR SAONE,,1,GD0161
01124,CORMOZ,,1,GD0063
01130,CRAS SUR REYSSOUZE,,1,GD0093
01134,CROTTET,,1,GD0210
01135,CROZET,,1,  
01142,DAGNEUX,,"1,75",  
01143,DIVONNE LES BAINS,,1,  
01154,ETREZ,,1,GD0093
01157,FAREINS,,1,GD0136
01159,FEILLENS,,1,GD0096
01160,FERNEY VOLTAIRE,,"1,75",  
01165,FRANCHELEINS,,1,GD0136
01166,FRANS,,1,GD0136
01171,GEOVREISSET,,1,GD0092
01173,GEX,,1,  
01175,GORREVOD,,1,GD0094
01179,GRIEGES,,1,GD0161
01181,GROISSIAT,,1,GD0092
01183,GUEREINS,,1,GD0136
01185,HAUTEVILLE LOMPNES,,1,GD0088
01192,IZERNORE,,1,GD0091
01194,JASSANS RIOTTIER,,"1,75",GD0136
01195,JASSERON,,1,GD0161
01196,JAYAT,,1,GD0093
01199,JUJURIEUX,,1,GD0153
01202,LAGNIEU,,1,GD0101
01205,LANCRANS,,1,  
01213,LEYMENT,,1,GD0152
01224,LOYETTES,,1,GD0103
01229,MALAFRETAZ,,1,GD0093
01231,MANZIAT,,1,GD0095
01232,MARBOZ,,1,GD0093
01237,MARTIGNAT,,1,GD0092
01238,MASSIEUX,,"1,75",GD0136
01243,MESSIMY SUR SAONE,,1,GD0136
01244,MEXIMIEUX,,"1,75",  
01246,MEZERIAT,,1,GD0093
01248,MIONNAY,,1,GD0136
01249,MIRIBEL,,1,GD0100
01254,MONTAGNAT,,1,GD0161
01258,MONTCEAUX,,1,GD0136
01262,MONTLUEL,,1,  
01263,MONTMERLE SUR SAONE,,"1,75",GD0136
01265,MONTREAL LA CLUSE,,1,GD0091
01266,MONTREVEL EN BRESSE,,1,GD0093
01268,MURS ET GELIGNIEUX,,1,GD0149
01269,NANTUA,,1,GD0091
01272,NEUVILLE LES DAMES,,1,GD0093
01275,NEYRON,,"1,75",GD0136
01276,NIEVROZ,,1,  
01281,ORNEX,,"1,75",  
01283,OYONNAX,,"1,75",GD0092
01285,PARCIEUX,,1,GD0136
01288,PERON,,1,  
01289,PERONNAS,,1,GD0161
01290,PEROUGES,,1,  
01294,PEYRIEU,,1,  
01301,POLLIAT,,1,GD0093
01304,PONT D AIN,,1,GD0153
01305,PONT DE VAUX,,1,GD0094
01306,PONT DE VEYLE,,"1,75",GD0161
01307,PORT,,1,GD0091
01313,PREVESSIN MOENS,,1,  
01320,REPLONGES,,1,GD0210
01322,REYRIEUX,,1,GD0136
01323,REYSSOUZE,,1,GD0094
01328,ROMANS,,1,GD0158
01333,ST ANDRE DE CORCY,,1,GD0144
01336,ST ANDRE SUR VIEUX JONC,,1,GD0097
01338,ST BENOIT,,1,GD0150
01339,ST BERNARD,,"1,75",GD0136
01343,ST CYR SUR MENTHON,,1,GD0093
01344,ST DENIS LES BOURG,,1,GD0161
01345,ST DENIS EN BUGEY,,"1,75",GD0153
01347,ST DIDIER DE FORMANS,,1,GD0136
01348,ST DIDIER SUR CHALARONNE,,1,GD0210
01353,STE EUPHEMIE,,1,GD0136
01354,ST GENIS POUILLY,,"1,75",  
01360,ST JEAN DE GONVILLE,,1,  
01363,ST JEAN LE VIEUX,,1,GD0153
01366,STE JULIE,,1,GD0103
01369,ST JUST,,1,GD0161
01370,ST LAURENT SUR SAONE,,"1,75",GD0210
01371,ST MARCEL,,1,GD0144
01373,ST MARTIN DU FRENE,,1,GD0090
01376,ST MAURICE DE BEYNOST,,"1,75",  
01380,ST NIZIER LE BOUCHOUX,,1,GD0063
01384,ST RAMBERT EN BUGEY,,1,GD0153
01385,ST REMY,,1,GD0161
01386,ST SORLIN EN BUGEY,,1,GD0101
01388,ST TRIVIER DE COURTES,,1,GD0205
01390,ST VULBAS,,1,GD0103
01391,SALAVRE,,1,GD0093
01398,SAVIGNEUX,,1,GD0136
01399,SEGNY,,"1,75",  
01401,SERGY,,1,  
01405,SERVAS,,1,GD0097
01418,THIL,,1,  
01419,THOIRY,,1,  
01420,THOISSEY,,"1,75",GD0210
01422,TOSSIAT,,1,GD0161
01424,TRAMOYES,,1,GD0143
01427,TREVOUX,,"1,75",GD0136
01431,VAUX EN BUGEY,,1,GD0101
01432,VERJON,,1,GD0093
01435,VERSONNEX,,1,  
01443,VILLARS LES DOMBES,,1,GD0098
01446,VILLENEUVE,,1,GD0136
01450,VILLIEU LOYES MOLLON,,1,GD0148
01451,VIRIAT,,1,GD0161
01451,VIRIAT,,1,  
01454,VIRIGNIN,,1,GD0151
01457,VONNAS,,1,GD0161
02003,ACY,,1,  
02009,ALAINCOURT,,1,GD0942
02011,AMBLENY,,1,  
02018,ANIZY LE CHATEAU,,1,GD0948
02019,ANNOIS,,1,  
02028,ATHIES SOUS LAON,,1,GD0946
02031,AUBENTON,,1,  
02041,AUTREVILLE,,1,  
02057,BEAUREVOIR,,1,  
02059,BEAUTOR,,"1,75",  
02061,BECQUIGNY,,1,  
02064,BELLEU,,"1,75",  
02071,BERNY RIVIERE,,1,  
02075,BERTHENICOURT,,1,GD0942
02077,BERZY LE SEC,,1,GD0951
02085,BEZU ST GERMAIN,,1,  
02086,BICHANCOURT,,1,  
02089,BILLY SUR AISNE,,1,  
02094,BLESMES,,1,  
02095,BOHAIN EN VERMANDOIS,,1,  
02100,BONY,,1,  
02103,BOUE,,1,  
02110,BRAINE,,1,  
02114,BRASLES,,1,  
02128,BRUYERES ET MONTBERAULT,,1,GD0946
02131,BUCY LE LONG,,1,  
02134,BUIRE,,1,  
02141,LA CAPELLE,,1,  
02143,LE CATELET,,"1,75",  
02157,CHAMBRY,,1,GD0946
02163,CHARLY SUR MARNE,,1,  
02165,CHARMES,,"1,75",  
02167,CHASSEMY,,1,  
02168,CHATEAU THIERRY,,"1,75",  
02173,CHAUNY,,"1,75",  
02186,CHEZY SUR MARNE,,1,  
02187,CHIERRY,,1,  
02190,CHIVRES VAL,,1,  
02191,CHIVY LES ETOUVELLES,,1,GD0946
02196,CLACY ET THIERRET,,1,GD0946
02197,CLAIRFONTAINE,,1,  
02212,CONDREN,,1,  
02224,COURCELLES SUR VESLES,,1,  
02226,COURMELLES,,1,  
02231,COUVRON ET AUMENCOURT,,1,GD0947
02238,CREPY,,1,GD0947
