1,"ROWS(1+ROUND(1,1))",,,,,,,,,,
1,"ROWS(1+ROUND(ROUND(PI(),2),ROWS(SIN(3))))",,,,,,,,,,
4.1,"1+ROUND(ROUND(PI(),2),ROWS(SIN(3)))",55,,,,,,,,,
2.070796327,"AVERAGE(PI(),ROUND(TRUE(),PI()))",,66,,,,,,,,
3.141592654,MAX(MAX(PI())),,,,,,,,,,
3,"COUNT(AVERAGE(pi()),PI(),1+PI())",,,,,,,,,,
3,"ROUND(ROWS(ROUND(PI(),1+PI())),1+PI())+ROWS(ROWS(PI()+1))+1*ROUND(1,1)",,,,,,,,,,
3.141592654,MIN(PI()),,,,,,,,,,
3.141592654,MDETERM(MIN(PI())),,,,,,,,,,
1,COLUMNS(PI()),,,,,,,,,,
$1.05 ,"NPV(2,PI())",,,,,,,,,,
0,"SUMIF(A1,PI())",,,,,,,,,,
1,"COLUMNS(IF(C13,SUMIF(C13,PI()),SIN(1)))",,,,,,,,,,
1,"COLUMNS(SUMIF(A1,PI()))",,,,,,,,,,
1,"COLUMNS(IF(SIN(0),SIN(1),SIN(2)))",,,,,,,,,,
1,MDETERM(ABS(A1)),,,,,,,,,,
1,"ROWS(ROUND(INDEX(C1,1,ROUND(1,1)),PI()))",,,,,,,,,,
1,"INDEX(A1:B2,1,1)",,,,,,,,,,
1,"ROUND(1,1)",,,,,,,,,,
1,"MID(1,1,1)",,,,,,,,,,
2,1+1,,,,,,,,,,
1,"COLUMNS(ROUND(A1,PI()+SIN(1)))",,,,,,,,,,
1,"COLUMNS(ROUND(INDEX(A1,1),PI()))",,,,,,,,,,
55,"OFFSET(A1,2,2)",,,,,,,,,,
66,"OFFSET(INDEX(A1:B2,2,2),2,2)",,,,,,,,,,
#NUM!,"IRR(PI(),0)",,,,,,,,,,
1,"COLUMNS(INDEX(A1:B2,2,2))",,,,,,,,,,
#NUM!,"(1+IRR(SUMIF(D:D,ROW(INDIRECT(MIN(D:D)&"":""&MAX(D:D))),E:E),0))^365-1",,,,,,,,,,
#DIV/0!,"MIRR(PI(),0.01,0.02)",,,,,,,2,a,,
#N/A,"VLOOKUP(1,PI(),1)",,,,,,,3,b,,
0,"SUMPRODUCT(('Sheet1'!C3:C751=Sheet1!F22)*('Sheet1'!D3:D751=Sheet1!G22),'SHEET1'!AF3:AF751)",,,,,,,,,,
0,COUNT(C1:C2),,,,,,,,,,
1,COUNT(C1*1),,,,,,,3,,,
4,"MODE({2.0,3.0,4.0;6.0,5.0,4.0})",,,2,,1,,4,3,8,9
12,"MMULT(I33:I34,J33:K33)",,,2,,0,,5,3,3,9
3,"COLUMNS(SIN({2,3,4}+1)+1)",,,2,,0,,0,7,3,9
4,"ABS(FREQUENCY($E$32:$E$38,$E$32:$E$38))",,,2,,0,,1,,,
0.833333333,"AVERAGE(FREQUENCY($E$32:$E$38,$E$32:$E$38))",,,4,,1,,,0,1,1
8,"COUNT(ABS(FREQUENCY($A1:$A5,$A1:$A5)))",,,4,,0,,,,,
0,"MODE(ABS(FREQUENCY($E$32:$E$38,$E$32:$E$38)))",,,4,,0,,,59,,
5,"ABS(FREQUENCY($E$32:$E$38,$E$32:$E$38)+1)",,,,,0,,,,,
0,"IF(C41,D41,E41)",,,,,,,,a,b,
,,,,,,0.25,,,,,
,,,,,,,,,4,2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Failing cases:,,,,,,,,,,,
