"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
"<jx:forEach items=""${department.staff}"" var=""employee"">",${employee.payment},</jx:forEach>,
Totals:,$[SUM(B3)],,
</jx:forEach>,,,
Department Totals:,,,
,,,
"<jx:forEach items=""${t1}"" var=""item"">",,,
"<jx:if test=""${item.amount > 10}"">",,,
${item.amount},,,
</jx:if>,,,
</jx:forEach>,,,
$[sum(a10)],,,
,,,
Test 'select' attribute,,,
"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
Employees,,,
Name,Payment,Bonus,Total
Bonus Total,,,
"<jx:forEach items=""${department.staff}"" var=""employee"" select=""${employee.payment > 2000}"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
</jx:forEach>,,,
Department Totals:,,,
,,,
Test Aggregator,,,
"<jx:forEach items=""${departments}"" var=""department"">",,,
Department,${department.name},,
Employees,,,
Name,Payment,Bonus,Total
Bonus Total,,,
"<jx:forEach items=""${department.staff}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},
</jx:forEach>,,,
Number of employees:,${count(name):department.staff},Max payment:,${max(payment):department.staff}
</jx:forEach>,,,
Department Totals:,,,
