Employees,,,
Name,Payment,Bonus,Total
"<jx:SQL query=""SELECT d.name depname, e.name empname, age, payment, bonus, birthDate FROM employee e, department d where d.id = e.depid order by age desc"" var=""employee"">",,,
${employee.empname},${employee.payment},${employee.bonus},$[B4*(1+C4)]
</jx:SQL>,,,
Totals:,,,$[SUM(D4)]
SQL grouping test,,,
"<jx:forEach items=""${rm.exec('SELECT d.name depname, e.name empname, age, payment, bonus, birthDate FROM employee e, department d where d.id = e.depid order by age desc')}"" groupBy=""depname"">",,,
Department: ${group.item.depname},,,
Employees,,,
Name,Payment,Bonus,Total
"<jx:forEach items=""${group.items}"" var=""employee"">",,,
${employee.empname},${employee.payment},${employee.bonus},$[B13*(1+C13)]
</jx:forEach>,,,
Totals:,,,$[SUM(D13)]
</jx:forEach>,,,
SQL subqueries test,,,
"<jx:forEach items=""${rm.exec('SELECT d.name, d.id FROM department d')}"" var=""dep"">",,,
Department: ${dep.name},,,
Employees,,,
Name,Payment,Bonus,Total
"<jx:forEach items=""${rm.exec('SELECT name, age, payment, bonus, birthDate FROM employee e where e.depid = ' + dep.id)}"" var=""employee"">",,,
${employee.name},${employee.payment},${employee.bonus},$[B23*(1+C23)]
</jx:forEach>,,,
Totals:,,,$[SUM(D23)]
</jx:forEach>,,,
Grand Total,,,$[SUM(D25)]
