Month  ,Units  ,Formula (Corresponding Units),,
,,Formula,Excel XP,Calc 3.2.1
11,"33,100",32618.20377,32618.20377,32618.20377
12,"47,300",47729.42261,47729.42261,47729.42261
13,"69,000",69841.30086,69841.30086,69841.30086
14,"102,000",102197.0734,102197.0734,102197.0734
15,"150,000",149542.4867,149542.4867,149542.4867
16,"220,000",218821.8762,218821.8762,218821.8762
,,,,
Month ,Formula (Predicted Units) ,,,
,Formula,Excel XP,Calc 3.2.1,
17,320196.7184,320196.7184,320196.7184,
18,468536.0542,468536.0542,468536.0542,
,,,,
From,,,,
http://office.microsoft.com/en-us/excel-help/growth-HP005209108.aspx,,,,
