Sum of Value,Column Labels,,,,
Row Labels,A,B,C,D,Grand Total
A0,0.842630786,,,,0.842630786
A1,1.608668295,,,,1.608668295
A10,1.845165586,,,,1.845165586
A100,1.385524708,,,,1.385524708
A101,1.543219777,,,,1.543219777
A102,6.421156404,,,,6.421156404
A103,2.264009527,,,,2.264009527
A104,1.101340605,,,,1.101340605
A106,2.421203045,,,,2.421203045
A107,3.66943784,,,,3.66943784
A108,3.956935096,,,,3.956935096
A109,0.49852168,,,,0.49852168
A11,2.349892392,,,,2.349892392
A110,2.02536864,,,,2.02536864
A111,0.691631313,,,,0.691631313
A112,2.507588178,,,,2.507588178
A113,4.218532067,,,,4.218532067
A114,3.382594003,,,,3.382594003
A115,3.611745964,,,,3.611745964
A116,2.730433539,,,,2.730433539
A117,1.502621075,,,,1.502621075
A118,2.723848141,,,,2.723848141
A119,3.899666987,,,,3.899666987
A12,2.024389318,,,,2.024389318
A120,2.230744751,,,,2.230744751
A121,1.488294556,,,,1.488294556
A122,3.219675909,,,,3.219675909
A123,0.041831472,,,,0.041831472
A124,3.022453384,,,,3.022453384
A125,1.125165812,,,,1.125165812
A126,1.012717992,,,,1.012717992
A127,4.926940027,,,,4.926940027
A128,2.172178377,,,,2.172178377
A129,0.90128782,,,,0.90128782
A13,5.433310996,,,,5.433310996
A130,1.206953579,,,,1.206953579
A131,2.883737067,,,,2.883737067
A132,1.873384283,,,,1.873384283
A133,3.05076008,,,,3.05076008
A134,2.443256998,,,,2.443256998
A135,2.088388128,,,,2.088388128
A136,3.966672964,,,,3.966672964
A137,1.798902727,,,,1.798902727
A138,2.09340842,,,,2.09340842
A139,2.090029806,,,,2.090029806
A14,0.765759683,,,,0.765759683
A140,2.740179299,,,,2.740179299
A141,2.73385869,,,,2.73385869
A142,1.253038615,,,,1.253038615
A143,3.140716568,,,,3.140716568
A144,3.079635667,,,,3.079635667
A145,3.126126447,,,,3.126126447
A146,4.051269332,,,,4.051269332
A147,2.661855701,,,,2.661855701
A148,2.358280646,,,,2.358280646
A149,2.084751696,,,,2.084751696
A15,1.473922641,,,,1.473922641
A150,5.8125404,,,,5.8125404
A151,3.395725798,,,,3.395725798
A152,1.800135567,,,,1.800135567
A153,2.057393224,,,,2.057393224
A154,1.88018743,,,,1.88018743
A155,0.509770397,,,,0.509770397
A156,3.392204382,,,,3.392204382
A157,3.650119591,,,,3.650119591
A158,2.751255062,,,,2.751255062
