FORMULA TEST DOCUMENT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1 - CELL FORMULAS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1.1 - CONSTANT OPERANDS,,,,,,1.5 - OPERATOR PRECEDENCE,,,,,1.6 - CELL REFERENCE TOKENS,,,,,,,1.9 - FUNCTION TOKENS,,,,
Token,Formula,Is,Must,Ok?,,Formula,Is,Must,Ok?,,Token,Formula,Is,Must,Ok?,,,Token,Formula,Is,Must,Ok?
tInt,=1,1,1,ok,,=7*3+2,23,23,ok,,tRef,=Q7,1,1,ok,1,,tFunc,=ABS(1),1,1,ok
tNum,=1.2345,1.2345,1.2345,ok,,=7*3+(2),23,23,ok,,tRef,=$Q8,2,2,ok,2,,tFuncVar - 1 param,=MIN(1),1,1,ok
tStr,"=""""",,,ok,,=7*(3)+2,23,23,ok,,tRef,=Q$9,3,3,ok,3,,tFuncVar - 30 params,"=MIN(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30)",1,1,ok
tStr,"=""ABC""",ABC,ABC,ok,,=(7)*3+2,23,23,ok,,tRef,=$Q$10,4,4,ok,4,,tFuncVar/tMissing,"=SUM(1,,2)",3,3,ok
tStr,"=""2""",2,2,ok,,=7*(3+2),35,35,ok,,tArea,=Q11:Q12,5,5,ok,5,,tNameX,"=EDATE(DATE(2000,1,1),1)",36557,36557,ok
tBool,=FALSE,FALSE,FALSE,ok,,=(7*3)+2,23,23,ok,,tArea,=Q11:Q12,6,6,ok,6,,tAttrSum,=SUM(1),1,1,ok
tBool,=TRUE,TRUE,TRUE,ok,,=(7*3+2),23,23,ok,,tArea,=Q12:$Q13,7,7,ok,7,,tAttrSum/tRef3d,=SUM(Param:Functions!$G$22),18,18,ok
tErr(NULL),=#NULL!,#NULL!,#NULL!,ok,,=7+3*2,13,13,ok,,tArea,=Q13:Q$14,8,8,ok,8,,tFuncVar(SUM),"=SUM(1,2)",3,3,ok
tErr(DIV/0),=#DIV/0!,#DIV/0!,#DIV/0!,ok,,=7+(3*2),13,13,ok,,tArea,=Q14:$Q$15,9,9,ok,9,,,,,,
tErr(VALUE),=#VALUE!,#VALUE!,#VALUE!,ok,,=(7+3)*2,20,20,ok,,tArea,=$Q15:Q16,10,10,ok,10,,1.10 - PARENTHESES,,,,
tErr(REF),=#REF!,#REF!,#REF!,ok,,=7^3*2,686,686,ok,,tArea,=Q$16:Q17,11,11,ok,11,,Token,Formula,Is,Must,Ok?
tErr(NAME),=#NAME?,#NAME?,#NAME?,ok,,=7^(3*2),117649,117649,ok,,tArea,=$Q$17:Q18,12,12,ok,12,,Constant value,=(1),1,1,ok
tErr(NUM),=#NUM!,#NUM!,#NUM!,ok,,=(7^3)*2,686,686,ok,,tArea,=$Q$18:$Q$19,13,13,ok,13,,Constant array,=({2}),2,2,ok
tErr(N/A),=#N/A,#N/A,#N/A,ok,,=7*3^2,63,63,ok,,tRef3d,=Cell!Q20,14,14,ok,14,,Unary operator (pre),=(+(3)),3,3,ok
tArray,={1},1,1,ok,,=7*(3^2),63,63,ok,,tArea3d,=Cell!$Q$20:$Q$21,15,15,ok,15,,Unary operator (post),=((400)%),4,4,ok
tArray,"={""ABC""}",ABC,ABC,ok,,=(7*3)^2,441,441,ok,,tRef3d,=Param!G21,16,16,ok,,,Binary operator,=((2)+(3)),5,5,ok
tArray,={TRUE},TRUE,TRUE,ok,,=7^3+2,345,345,ok,,tRef3d,=Param!$G$22,17,17,ok,,,"Function, 0 params",=(PI()),3.141592654,3.141592654,ok
tArray,={#VALUE!},#VALUE!,#VALUE!,ok,,=7^(3+2),16807,16807,ok,,tArea3d,=Param!$G$23:$G$24,19,19,ok,,,"Function, 1 param",=(ABS((7))),7,7,ok
,,,,,,=(7^3)+2,345,345,ok,,,,,,,,,"Function, 2 params","=(SUM((3),(5)))",8,8,ok
1.2 - UNARY OPERATORS,,,,,,=7+3^2,16,16,ok,,1.7 - CELL REFERENCE OPERATORS,,,,,,,Cell reference,=($V$26),9,9,ok
Token,Formula,Is,Must,Ok?,,=7+(3^2),16,16,ok,,Token,Formula,Is,Must,Ok?,1,,Intersection,=(($V$27) ($V$27)),10,10,ok
tParen,=(1),1,1,ok,,=(7+3)^2,100,100,ok,,tList,"=SUM((Q27:Q29,Q28:Q30))",6,6,ok,1,,Repeated,=((((11)))),11,11,ok
tUPlus,=+(2),2,2,ok,,=2^3*4+5,37,37,ok,,tIsect,=SUM(Q27:Q29 Q28:Q30),2,2,ok,1,,,,,,
tUMinus,=-(3),-3,-3,ok,,=2^3*(4+5),72,72,ok,,tRange,=SUM(Q27:Q29:Q28:Q30),4,4,ok,1,,1.11 - SPACES,,,,
tPercent,=4%,0.04,0.04,ok,,=2^(3*4)+5,4101,4101,ok,,,,,,,,,Token,Formula,Is,Must,Ok?
,,,,,,=(2^3)*4+5,37,37,ok,,1.8 - CELL REFERENCE OPERATOR PRECEDENCE,,,,,,,Constant value,=  1,1,1,ok
