FORMULA TEST DOCUMENT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6 - SHARED FORMULAS,,,,,,,,,,,,,Test cell,,,
,,,,,,,,,,,,,0,,,
6.1 - COMPLETE AREA,,,,,,,,,,,,,,,,
Formula,Is,,,,Must,,,,Ok?,,,,Test values,,,
=N7/2*(N7+1),0,1,3,6,0,1,3,6,ok,ok,ok,ok,0,1,2,3
"area = B7:E10, base = B7",10,15,21,28,10,15,21,28,ok,ok,ok,ok,4,5,6,7
,36,45,55,66,36,45,55,66,ok,ok,ok,ok,8,9,10,11
,78,91,105,120,78,91,105,120,ok,ok,ok,ok,12,13,14,15
,,,,,,,,,,,,,,,,
6.2 - INCOMPLETE AREA,,,,,,,,,,,,,,,,
Formula,Is,,,,Must,,,,Ok?,,,,Test values,,,
=N14/2*(N14+1),,,,6,,,,6,ok,ok,ok,ok,0,1,2,3
"area = B14:E17, base = E14",10,15,,28,10,15,,28,ok,ok,ok,ok,4,5,6,7
red cells: not part of shared formula,36,text1,text2,66,36,text1,text2,66,ok,ok,ok,ok,8,9,10,11
,78,text3,105,120,78,text3,105,120,ok,ok,ok,ok,12,13,14,15
,,,,,,,,,,,,,,,,
6.3 - TWO MERGED AREAS,,,,,,,,,,,,,,,,
Formula,Is,,,,Must,,,,Ok?,,,,Test values,,,
=N21/2*(N21+1),text1,1,4,6,text1,1,4,6,ok,ok,ok,ok,0,1,2,3
"area = B21:E24, base = E21",16,25,36,28,16,25,36,28,ok,ok,ok,ok,4,5,6,7
=(N21+MIN($N$21:$Q$24))^2,36,45,55,66,36,45,55,66,ok,ok,ok,ok,8,9,10,11
"area = B21:D22, base = C21",78,91,105,120,78,91,105,120,ok,ok,ok,ok,12,13,14,15
red cells: not part of shared formula,,,,,,,,,,,,,,,,
