FORMULA TEST DOCUMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,
7 - TABLE OPERATIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
7.1 - INPUT VALUES IN COLUMN,,,,,,,,,,,,,
Is,,Formulas,,,,Must,,,,Ok?,,,
,,3,1,2,0.5,,,,,,,,
Input values,1,3,1,2,0.5,3,1,2,0.5,ok,ok,ok,ok
Ref cell,2,4,0,4,1,4,0,4,1,ok,ok,ok,ok
1,3,5,-1,6,1.5,5,-1,6,1.5,ok,ok,ok,ok
,4,6,-2,8,2,6,-2,8,2,ok,ok,ok,ok
,,,,,,,,,,,,,
7.2 - INPUT VALUES IN ROW,,,,,,,,,,,,,
Is,,Input values,,,,Must,,,,Ok?,,,
,,1,2,3,4,,,,,,,,
Formulas,3,3,4,5,6,3,4,5,6,ok,ok,ok,ok
Ref cell,1,1,0,-1,-2,1,0,-1,-2,ok,ok,ok,ok
1,2,2,4,6,8,2,4,6,8,ok,ok,ok,ok
,0.5,0.5,1,1.5,2,0.5,1,1.5,2,ok,ok,ok,ok
,,,,,,,,,,,,,
7.3 - INPUT VALUES IN ROW AND COLUMN,,,,,,,,,,,,,
Is,Formula,Input values,,,,Must,,,,Ok?,,,
,1,1,2,3,4,,,,,,,,
Input values,1,1,2,3,4,1,2,3,4,ok,ok,ok,ok
Ref cells,2,1,4,9,16,1,4,9,16,ok,ok,ok,ok
1,3,1,8,27,64,1,8,27,64,ok,ok,ok,ok
1,4,1,16,81,256,1,16,81,256,ok,ok,ok,ok
,,,,,,,,,,,,,
"7.4 - INPUT VALUES IN COLUMN, REFERENCE CELL DELETED",,,,,,,,,,,,,
Is,,Formulas,,,,Must,,,,Ok?,,,
,,#REF!,#REF!,#REF!,#REF!,,,,,,,,
Input values,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,,,,,,,,,,,,,
"7.5 - INPUT VALUES IN ROW, REFERENCE CELL DELETED",,,,,,,,,,,,,
Is,,Input values,,,,Must,,,,Ok?,,,
,,1,2,3,4,,,,,,,,
Formulas,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,,,,,,,,,,,,,
"7.6 - INPUT VALUES IN ROW AND COLUMN, REFERENCE CELLS DELETED",,,,,,,,,,,,,
Is,Formula,Input values,,,,Must,,,,Ok?,,,
,#REF!,1,2,3,4,,,,,,,,
Input values,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,ok,ok,ok,ok
