PAGE SETTINGS TEST DOCUMENT,,,,,,,,,,
,,,,,,,,,,
2 - MANUAL PAGE SETTINGS #1,,,,,,,,,,
,,,,,,,,,,
2.1 - PAGE MARGINS,,,2.2 - PAGE SETUP,,,2.3 - PRINT OPTIONS,,,2.4 - HEADERS AND FOOTERS,
,Inch,,,,,,,,,
Left,1,,Paper size,A3,,Horizontally centered,on,,Header,Header <page>
Right,1,,Copies,1,,Vertically centered,on,,Footer,Footer <pages>
Top,2,,Scale,60%,,Print gridlines,on,,,
Bottom,2,,First page,2,,Print headings,on,,,
Header,0.5,,Fit to width,1,,,,,,
Footer,0.5,,Fit to height,1,,,,,,
,,,Fit to pages,off,,,,,,
,,,Orientation,landscape,,,,,,
,,,Page order,over,,,,,,
,,,Print comments,displayed,,,,,,
,,,Print errors,blank,,,,,,
,,,Black and white,on,,,,,,
,,,Draft quality,on,,,,,,
,,,Background bmp,off,,,,,,
