PIVOT TABLES TEST DOCUMENT,,,,,,,,,,,
,,,,,,,,,,,
5 - INTERNAL SOURCE DATA,,,,,,,,,,,
Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12
Item 1.A,Item 2.A,31,Item 4.A,Item 5.A,61,Item 7.A,Item 8.A,91,Item 10.A,Item 11.A,121
Item 1.A,Item 2.A,32,Item 4.A,Item 5.A,62,Item 7.A,Item 8.A,92,Item 10.A,Item 11.A,122
Item 1.A,Item 2.B,33,Item 4.A,Item 5.B,63,Item 7.A,Item 8.B,93,Item 10.A,Item 11.B,123
Item 1.A,Item 2.B,34,Item 4.A,Item 5.B,64,Item 7.A,Item 8.B,94,Item 10.A,Item 11.B,124
Item 1.B,Item 2.A,35,Item 4.B,Item 5.A,65,Item 7.B,Item 8.A,95,Item 10.B,Item 11.A,125
Item 1.B,Item 2.A,36,Item 4.B,Item 5.A,66,Item 7.B,Item 8.A,96,Item 10.B,Item 11.A,126
Item 1.B,Item 2.B,37,Item 4.B,Item 5.B,67,Item 7.B,Item 8.B,97,Item 10.B,Item 11.B,127
Item 1.B,Item 2.B,38,Item 4.B,Item 5.B,68,Item 7.B,Item 8.B,98,Item 10.B,Item 11.B,128
,,,,,,,,,,,
Empty,String,Integer,Number,Date,Boolean,Error,,,,,
,Text,1,1.5,1/1/08,TRUE,#VALUE!,,,,,
,Text,1,1.5,1/1/08,TRUE,#VALUE!,,,,,
,Text,1,1.5,1/1/08,TRUE,#VALUE!,,,,,
,Text,1,1.5,1/1/08,TRUE,#VALUE!,,,,,
,,,,,,,,,,,
String,Integer,Number,Date,Boolean,Error,,Time,Date,DateTime,,
Text 1,1,1.5,1/1/08,TRUE,#VALUE!,,00:00:00,1/1/00,01/01/1900 00:00:00,,
Text 2,2,2.5,1/2/08,FALSE,#NAME?,,11:11:11,2/28/00,28/02/1900 11:11:11,,
Text 3,3,3.5,1/3/08,TRUE,#NUM!,,12:00:00,2/29/00,29/02/1900 12:00:00,,
Text 4,4,4.5,1/4/08,FALSE,#N/A,,22:22:22,3/1/00,01/03/1900 22:22:22,,
Text 1,1,1.5,1/1/08,TRUE,#VALUE!,,23:59:59,1/1/08,01/01/2008 23:59:59,,
Text 2,2,2.5,1/2/08,FALSE,#NAME?,,,,,,
Text 3,3,3.5,1/3/08,TRUE,#NUM!,,,,,,
Text 4,4,4.5,1/4/08,FALSE,#N/A,,,,,,
,,,,,,,,,,,
SemiMixed,NonDate,Date,String,Blank,Mixed,Numeric,Integer,,,,
,1,1,,,1,1,1,,,,
Text,1.5,1.5,Text,Text,1.5,1.5,2,,,,
TRUE,Text,Text,TRUE,TRUE,Text,Text,Text,,,,
#VALUE!,#VALUE!,1/1/08,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,
,,,,,,,,,,,
Empty,String,Integer,Number,Date,,Empty,String,Integer,Number,Date,
,Text 1,1,1.5,1/1/08,,,Text 1,1,1.5,1/1/08,
,Text 2,2,2.5,1/2/08,,,Text 2,2,2.5,1/2/08,
,Text 3,3,3.5,1/3/08,,,Text 3,3,3.5,1/3/08,
,Text 4,4,4.5,1/4/08,,,Text 4,4,4.5,1/4/08,
,Text 5,5,5.5,1/5/08,,,Text 5,5,5.5,1/5/08,
,Text 6,6,6.5,1/6/08,,,Text 6,6,6.5,1/6/08,
,Text 7,7,7.5,1/7/08,,,Text 7,7,7.5,1/7/08,
,Text 8,8,8.5,1/8/08,,,Text 8,8,8.5,1/8/08,
,Text 9,9,9.5,1/9/08,,,Text 9,9,9.5,1/9/08,
,Text 10,10,10.5,1/10/08,,,Text 10,10,10.5,1/10/08,
,Text 11,11,11.5,1/11/08,,,Text 11,11,11.5,1/11/08,
,Text 12,12,12.5,1/12/08,,,Text 12,12,12.5,1/12/08,
,Text 13,13,13.5,1/13/08,,,Text 13,13,13.5,1/13/08,
,Text 14,14,14.5,1/14/08,,,Text 14,14,14.5,1/14/08,
,Text 15,15,15.5,1/15/08,,,Text 15,15,15.5,1/15/08,
,Text 16,16,16.5,1/16/08,,,Text 16,16,16.5,1/16/08,
,Text 17,17,17.5,1/17/08,,,Text 17,17,17.5,1/17/08,
,Text 18,18,18.5,1/18/08,,,Text 18,18,18.5,1/18/08,
,Text 19,19,19.5,1/19/08,,,Text 19,19,19.5,1/19/08,
,Text 20,20,20.5,1/20/08,,,Text 20,20,20.5,1/20/08,
,Text 21,21,21.5,1/21/08,,,Text 21,21,21.5,1/21/08,
,Text 22,22,22.5,1/22/08,,,Text 22,22,22.5,1/22/08,
,Text 23,23,23.5,1/23/08,,,Text 23,23,23.5,1/23/08,
,Text 24,24,24.5,1/24/08,,,Text 24,24,24.5,1/24/08,
,Text 25,25,25.5,1/25/08,,,Text 25,25,25.5,1/25/08,
,Text 26,26,26.5,1/26/08,,,Text 26,26,26.5,1/26/08,
,Text 27,27,27.5,1/27/08,,,Text 27,27,27.5,1/27/08,
,Text 28,28,28.5,1/28/08,,,Text 28,28,28.5,1/28/08,
,Text 29,29,29.5,1/29/08,,,Text 29,29,29.5,1/29/08,
,Text 30,30,30.5,1/30/08,,,Text 30,30,30.5,1/30/08,
,Text 31,31,31.5,1/31/08,,,Text 31,31,31.5,1/31/08,
,Text 32,32,32.5,2/1/08,,,32,32.5,2/1/08,Text 32,
