PIVOT TABLES GROUPING TEST DOCUMENT,,,,,,,,,,,
,,,,,,,,,,,
4 - SOURCE DATA,,,,,,,,,,,
Field 1,Field 2,Field 3,,Field 1,Field 2,,Field 1,Field 2,,Field 1,Field 2
Item 1.A,Item 2.A,1,,Item 1.A,1,,Item 1.A,1,,Item 1.A,1
Item 1.B,Item 2.A,2,,Item 1.B,2,,Item 1.B,2,,Item 1.B,2
Item 1.C,Item 2.A,3,,Item 1.A,3,,Item 1.A,3,,Item 1.A,3
Item 1.D,Item 2.A,4,,Item 1.B,4,,Item 1.B,4,,Item 1.B,4
Item 1.E,Item 2.A,5,,Item 1.A,5,,Item 1.A,5,,Item 1.A,5
Item 1.F,Item 2.A,6,,Item 1.B,6,,Item 1.B,6,,Item 1.B,6
Item 1.G,Item 2.A,7,,Item 1.A,7,,Item 1.A,7,,Item 1.A,7
Item 1.H,Item 2.A,8,,Item 1.B,8,,Item 1.B,8,,Item 1.B,8
Item 1.I,Item 2.A,9,,Item 1.A,9,,Item 1.A,9,,Item 1.A,9
Item 1.J,Item 2.A,10,,Item 1.B,10,,Item 1.B,10,,Item 1.B,10
Item 1.K,Item 2.A,11,,Item 1.A,11,,Item 1.A,11,,Item 1.A,11
Item 1.L,Item 2.A,12,,Item 1.B,12,,Item 1.B,12,,Item 1.B,12
Item 1.A,Item 2.B,13,,,,,,,,,
Item 1.B,Item 2.B,14,,Field 1,Field 2,,Field 1,Field 2,,Field 1,Field 2
Item 1.C,Item 2.B,15,,1/1/01 01:01,1,,1/1/01 01:01,1,,1/1/01 01:01,1
Item 1.D,Item 2.B,16,,2/2/02 02:02,2,,2/2/02 02:02,2,,2/2/02 02:02,2
Item 1.E,Item 2.B,17,,3/3/03 03:03,3,,3/3/03 03:03,3,,3/3/03 03:03,3
Item 1.F,Item 2.B,18,,4/4/04 04:04,4,,4/4/04 04:04,4,,4/4/04 04:04,4
Item 1.G,Item 2.B,19,,5/5/05 05:05,5,,5/5/05 05:05,5,,5/5/05 05:05,5
Item 1.H,Item 2.B,20,,6/6/06 06:06,6,,6/6/06 06:06,6,,6/6/06 06:06,6
Item 1.I,Item 2.B,21,,,,,,,,,
Item 1.J,Item 2.B,22,,Field 1,Field 2,,Field 1,Field 2,,Field 1,Field 2
Item 1.K,Item 2.B,23,,1/1/01 01:01,1,,1/1/01 01:01,1,,1/1/01 01:01,1
Item 1.L,Item 2.B,24,,2/2/02 02:02,2,,2/2/02 02:02,2,,2/2/02 02:02,2
,,,,3/3/03 03:03,3,,3/3/03 03:03,3,,3/3/03 03:03,3
,,,,4/4/04 04:04,4,,4/4/04 04:04,4,,4/4/04 04:04,4
,,,,5/5/05 05:05,5,,5/5/05 05:05,5,,5/5/05 05:05,5
,,,,6/6/06 06:06,6,,6/6/06 06:06,6,,6/6/06 06:06,6
,,,,,,,,,,,
,,,,Field 1,Field 2,,Field 1,Field 2,,Field 1,Field 2
,,,,1/1/01,1,,1/1/01,1,,1/1/01 01:01,1
,,,,1/2/01,2,,1/2/01,2,,2/2/02 02:02,2
,,,,1/3/01,3,,1/3/01,3,,3/3/02 03:03,3
,,,,1/4/01,4,,1/4/01,4,,4/4/03 04:04,4
,,,,1/5/01,5,,1/5/01,5,,5/5/03 05:05,5
,,,,1/6/01,6,,1/6/01,6,,6/6/04 06:06,6
