PIVOT TABLES LAYOUT TEST DOCUMENT,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2 - PIVOT FIELD SETTINGS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2.1 - FIELD SUBTOTAL (Field 1),,,,,,,,,,,,,,,,,,,,,,
"Automatic (6, 0)",,,,"Sum (6, 0)",,,,"Count all (2, 2)",,,,"Average (3, #DIV/0!)",,,,"Max (4, 0)",,,,"Min (2, 0)",,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,
Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total
Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2
,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4
Item 1.A Total,,6,,Item 1.A Sum,,6,,Item 1.A Count,,2,,Item 1.A Average,,3,,Item 1.A Max,,4,,Item 1.A Min,,2
Item 1.B,Item 2.A,0,,Item 1.B,Item 2.A,0,,Item 1.B,Item 2.A,0,,Item 1.B,Item 2.A,0,,Item 1.B,Item 2.A,0,,Item 1.B,Item 2.A,0
,Item 2.B,0,,,Item 2.B,0,,,Item 2.B,0,,,Item 2.B,0,,,Item 2.B,0,,,Item 2.B,0
Item 1.B Total,,0,,Item 1.B Sum,,0,,Item 1.B Count,,2,,Item 1.B Average,,#DIV/0!,,Item 1.B Max,,0,,Item 1.B Min,,0
Grand Total,,6,,Grand Total,,6,,Grand Total,,6,,Grand Total,,6,,Grand Total,,6,,Grand Total,,6
,,,,,,,,,,,,,,,,,,,,,,
"Product (8, 0)",,,,"Count numbers (2, 0)",,,,"Std Dev (1.4142, #DIV/0!)",,,,"Std Dev Pop (1, #DIV/0!)",,,,"Variance (2, #DIV/0!)",,,,"Variance Pop (1, #DIV/0!)",,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,,,Sum of Field 3,,
Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total,,Field 1,Field 2,Total
Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2,,Item 1.A,Item 2.A,2
,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4,,,Item 2.B,4
