,Position/Dept,,,
,WINDOWS LOGIN,,,
,AD/Windows Account,TRUE,,
,Email ,TRUE,AD account required,
,Proxy Internet,TRUE,AD account required - internet access,
,VPN Access,FALSE,AD account and VPN Access form required for new hire,
,Communicator/Instant messaging,TRUE,Email account req'd - remedy ticket to ME-EXCH,
,F drive,TRUE,AD account required - personal storage space,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Legend,,,
,"Orange boxes denote an additional actions that must be performed: e.g.  selecting a UNIX server, choosing an additional required account type, filling out an additional form",Dark green boxes are instruction/description fields,Aqua is a section break or notes for what the account process is after a user is created,Light Blue are DSG names/Group owners to be copied to the DSGroups tabs if you select that application.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
