,If the profile group as a whole uses ADP ( perhaps just to clock in/out if nothing else) list the common roles here,,,
,"2030360, 2030361, 2030362",,,
,ADP,FALSE,"Request to CL-ADP, Marcie Young/Kevin Zimmeran",
,Security Roles ,,,
,2 Help Desk Hourly,FALSE,Reset Passwords/timestamp/view own timecard,
,3 Help Desk Exempt,FALSE,Reset Passwords,
,5 Hourly Supervisor,TRUE,Edit Timecards/view attendance - no wages,
,6 Senior Supervisor Clock,FALSE,Edit Timecards/scheduling/view attendance - no wages,
,7 Senior Supervisor Web,FALSE,Edit Timecards/scheduling/view attendance - no wages,
,8 Manager,FALSE,Edit Timecards/scheduling/view attendance - no wages,
,9 View Only,FALSE,View only/approve timecards/view attendance,
,10 Timekeepers Web,FALSE,Edit Timecards/scheduling/view attendance - wages,
,11 Timekeepers Clock,FALSE,Edit Timecards/scheduling/view attendance - wages,
,18 Manager with Wages,FALSE,Edit Timecards/scheduling/view attendance - wages,
,20 View Only Hourly,FALSE,View only/ability to view own timecard,
,21 Senior Timekeepers Web,FALSE,Ability to update approved timecards/view attendance,
,22 Senior Supervisor Web Query,FALSE,Edit Timecards/scheduling/view attendance/queries - no wages,
,23 ER Rep,FALSE,View only access/update attendance,
,Roles bolded above require detailed explanation on what this additional access will be used for. ,,,
,,,,
,Reserved Roles ,,,
,12 Payroll,FALSE,Payroll Staff only,
,24 Payroll Hourly,FALSE,Payroll Staff only,
,14 Super User,FALSE,Provide detailed justification,
,15 HRIS,FALSE,HRIS Staff Only,
,16 DCM,FALSE,Clock configuration access - IT Role,
,,,,
,,,,
,Web Access to ADP,FALSE,Email sent to Marcie Young/Kevin Zimmerman,
