Text Control,,,,,,,,,,,,,Column Width,,Normal,Double
Wrap Text Cell,,,,,,,,,,,,,,,,
Shrink To Fit Cell,,,,,,,,,,,,,,,,
Merge Cell,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Borders,,,,,,,,,Image,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Colors,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Formats,,,,,,,,,,,,,,,,
Label,,1,,,,,,,,,,,,,,
Number,,1.00,,,,,,,,,,,,,,
Currency,,$1.00,,,,,,,,,,,,,,
Short Date,,01/01/00,,,,,,,,,,Forms,,,One,
Long Date,,"January 1, 1900",,,,,,,,,,,,,Two,
Percentage,,100.00%,,,,,Fonts,,Font Style,,Alignment,,,,Three,
,,,,,,,SimSum,,BOLD,,Left,,,,Four,
Formulas,,,,,,,ADMUI3Lg,,ITALIC,,Right,,,,Five,
1,,2,,4,,,Courier,,UNDERLINE,,Centre,,,,,
2,,3,,,,,Times New Roman,,,,Justify,,,,,
3,,5,,,,,Arial,,,,Fill,,,,,
abc,,abc,,,,,,,,,htfuyt,,,,,
def,,abcdef,,,,,,,,,,,,,,
,,One,,,,,,,,,,,,,,
