Month,Total DR's Productive & Non-Productive,Total Non-Productive DR's,Non-Productive %,Productive DR's,Productive %,Design Review,Marketing Requirement Change,Documentation,Initial Release,Obsolete Part,Cost Reduction,Fix Supplier Problem,DFM Improvement,DQT,Reliability,Secondary DR,Logic / Concept Error,Certifications,Mfg Process Mismatch,Planned Process Change Notice,Mfg Process Failure,ACT,FBOM Error,Spare Part Req,Tolerance Analysis,Service Other,Requirement Error,Process Escape Other,Technology Upgrade,Mfg Process Change Notice,Signal Quality Verification,Tool Failure,Month,Total Activity,Marketing Requirements Change %,Initial Release %
Jul-01,71,39,55%,32,45%,1,3,17,3,1,1,5,8,,5,,2,5,2,0,,0,2,2,,0,,0,,22,0,0,Jul-01,79,4%,4%
Aug-01,58,34,59%,24,41%,2,6,8,5,6,4,6,5,,2,2,1,1,4,,,1,2,1,1,3,,1,3,6,,,Aug-01,70,9%,7%
Sep-01,35,29,83%,6,17%,,6,10,6,3,1,6,,,1,3,2,,3,,,,1,1,1,,2,,,2,,,Sep-01,48,13%,13%
Oct-01,45,34,76%,11,24%,2,8,12,10,1,2,4,4,1,1,1,5,2,1,,1,,4,1,,,,,3,1,,,Oct-01,64,13%,16%
Nov-01,73,54,74%,19,26%,1,20,15,11,7,3,10,3,1,5,3,3,,1,,,2,3,1,1,4,1,4,4,2,,,Nov-01,105,19%,10%
Dec-01,49,34,69%,15,31%,,6,13,9,4,4,8,4,,4,1,1,,1,1,,1,2,,1,1,,,2,1,,,Dec-01,64,9%,14%
Jan-02,51,37,73%,14,27%,2,7,16,2,4,1,2,6,,1,1,1,2,2,1,,2,2,,3,1,,1,1,2,,,Jan-02,60,12%,3%
Feb-02,38,24,63%,14,37%,3,6,6,7,5,2,4,7,,1,3,1,,,,,3,2,1,,1,,,,,,,Feb-02,52,12%,13%
Mar-02,70,52,74%,18,26%,9,17,17,17,6,6,7,5,,3,1,2,3,,,,3,3,2,2,,1,1,1,,,,Mar-02,106,16%,16%
Apr-02,45,30,67%,15,33%,4,8,7,5,3,8,1,4,1,7,5,3,,,,,1,,1,,,,1,,,,,Apr-02,59,14%,8%
May-02,73,52,71%,21,29%,12,11,11,10,9,8,5,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,May-02,95,12%,11%
,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,0,,,0,0,,,,
Grand Total,608,419,69%,189,31%,30,49,57,41,27,25,19,26,5,15,12,9,7,4,3,2,10,8,5,6,3,2,3,2,2,0,0,Grand Total,802,6%,5%
Previous 3 months,,,,,,5,10,10,10,5,5,4,5,0,4,3,2,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
