BATTERY BACKUP DATA SHEET,,,,,,
Common Name:,,,,,,
Location Name:,,,,,,
,,,,,,
Battery Disconnect Information,,,* Battery Type,=,Gell,
Manufacturer:,{BatteryBackup/DisconnectInformation/@Manufacturer},,Circuit Breaker,,Flooded,
Model No.:,{BatteryBackup/DisconnectInformation/@ModelNo},,Throw Switch,,VRLA,
Disconnect Type:,{BatteryBackup/DisconnectInformation/@DisconnectType},=,Fuse,,Lead Acid,
"Fuse Rating, AMPS:",{BatteryBackup/DisconnectInformation/@FuseRatingAmps},,Other,,Other,
Battery String Information,,,,,,
# Strings in station:,{BatteryBackup/Strings/@NumberOfStrings},,,,,
,,,,,,
Battery String #,1,,2,,3,
Manufacturer:,{BatteryBackup/Strings/String[1]/@Manufacturer},,{BatteryBackup/Strings/String[2]/@Manufacturer},,{BatteryBackup/Strings/String[3]/@Manufacturer},
Model No.:,{BatteryBackup/Strings/String[1]/@ModelNo},,{BatteryBackup/Strings/String[2]/@ModelNo},,{BatteryBackup/Strings/String[3]/@ModelNo},
"Total Input Voltage, VDC:",{BatteryBackup/Strings/String[1]/@InputVoltage},,{BatteryBackup/Strings/String[2]/@InputVoltage},,{BatteryBackup/Strings/String[3]/@InputVoltage},
"Capacity, AMP-hr:",{BatteryBackup/Strings/String[1]/@Capacity},,{BatteryBackup/Strings/String[2]/@Capacity},,{BatteryBackup/Strings/String[3]/@Capacity},
Battery type *:,{BatteryBackup/Strings/String[1]/@BatteryType},,{BatteryBackup/Strings/String[2]/@BatteryType},,{BatteryBackup/Strings/String[3]/@BatteryType},
Date of Mfr:,{BatteryBackup/Strings/String[1]/@DateOfManufacture},,{BatteryBackup/Strings/String[2]/@DateOfManufacture},,{BatteryBackup/Strings/String[3]/@DateOfManufacture},
Cell #,Voltage Readings,,Voltage Readings,,Voltage Readings,
