,Explicaciones de Uso de esta planilla,,,,,,,,,,
,,,,,,,,,,,
"ADVERTENCIA: ESTA PLANILLA AUTOMATIZA ALGUNOS CÁLCULOS (llenándose algunos campos con ellos) Y PARTE DEL TRABAJO MANUAL. ESTOS CÁLCULOS PODRÍAN NO APLICARSE A SU CURSO, POR LO QUE ES RESPONSABILIDAD DEL INSTRUCTOR VERIFICAR QUE LOS MISMOS SEAN CORRECTOS O MODIFICARLOS EN CASO CONTRARIO.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Las celdas que deben ser llenadas son las que están en color celeste, verde o rojo. Las que están en anaranjado claro (columnas ""Asistencia"", ""Calificación"" y ""Aprueba Si/No"") se llenan automáticamente, pero para algunos cursos y tipos de calificación hay que verificar el resultado (especialmente en la columna ""Aprueba Si/No"") . En color rojo están los valores que debe verificar muy especialmente y llenarlos correctamente. La planilla esta protegida, por lo que no se pueden hacer algunas operaciones pero si se puede copiar información entre celdas o desde otra aplicación a esta planilla (siempre a celdas de destino que estén en color celeste, verde o rojo, las demás están protegidas). Las celdas en verde señalan la zona donde debe copiar los datos de las calificaciones bajadas de la plataforma. Recuerde hacer la copia de los valores desde ese archivo sin traer los títulos pero si todos los demás datos. Las celdas en color celeste también se deben llenar, aunque no toda esa información se obtiene de la plataforma educativa. Las columnas están ordenadas de tal forma que coinciden con las que vienen de la planilla de la plataforma educativa, a partir del campo “NOMBRE”.",,,,,,,,,,
,,,,,,,,,,,
,"La macro que convierte los nombres de usuario en números de cedula (transformando el primer carácter del nombre de usuario en el numero correspondiente), funciona presionando las teclas Control y l (""ele"" minúscula). La macro para calcular los índices del curso funciona presionando Control y z (Ctrl. - z). Recuerde habilitar las macros para poder usarlas (bajando el nivel de seguridad de Excel a Medio o Bajo).",,,,,,,,,,
,,,,,,,,,,,
,"En ""CALIFICACIÓN MÁXIMA (en puntos)"" se ingresa el puntaje máximo que corresponda (en puntos, no en porcentaje). Normalmente es 100 puntos (el numero 100, no ponga la palabras “100 puntos”) pero puede poner otro valor si corresponde.",,,,,,,,,,
,,,,,,,,,,,
,En “ASISTENCIA TOTAL” hay que ingresar la asistencia total del curso (la cantidad de actividades consideradas como asistencia). ,,,,,,,,,,
,,,,,,,,,,,
,En “ASISTENCIA MÍNIMA CURSO” hay que ingresar la asistencia mínima obligatoria para aprobar el curso.,,,,,,,,,,
,,,,,,,,,,,
,"En “Porcentaje mínimo requerido” hay que ingresar el porcentaje mínimo necesario en la prueba para aprobar. Para la gran mayoría de los cursos es 66%, por lo que esa celda tiene ese valor pero deberá ingresar otro si corresponde. Si el curso solo se aprueba por asistencia, este valor deberá ser cero o estar vacío.",,,,,,,,,,
,,,,,,,,,,,
,"En la columna ""Asistencia"" se calcula automáticamente cual es la asistencia del participante. En esa columna hay formulas que hacen los cálculos pero para algunos cursos, el resultado podía ser incorrecto. En caso de error, edite a mano la celda e ingrese el valor que corresponda. En ese caso, deberá escribir SI o No y el número de actividades realizadas y el total de actividades a realizar, separadas por ""/"". Por ejemplo: ""NO 3/10"" significa que no se aprueba la asistencia y se tienen 3 actividades hechas en un total de 10 del curso (no ingrese las comillas). ",,,,,,,,,,
,,,,,,,,,,,
,"En la columna “Calificación (Ptos)” se debe ingresar el puntaje del participante en puntos, no en porcentaje. Si no hay puntos definidos (porque el curso se aprueba solo con asistencia), deje esta columna vacía.",,,,,,,,,,
,,,,,,,,,,,
,"En la columna ""Calificación (en %)"" se calcula automáticamente el % del total que ha alcanzado el participante. No hay que llenar esta columna.",,,,,,,,,,
,,,,,,,,,,,
,"En la columna ""Observaciones"" se ingresan las observaciones relativas al participante que se estimen convenientes. Si la asistencia del participante ha sido nula (no ha hecho ninguna actividad evaluable del curso), la línea correspondiente a ese alumno debería eliminarse. En caso que la asistencia será 0 (por ejemplo, ""NO 0/10""), este campo quedará en color rojo y desplegará un mensaje ""Este alumno no debería figurar en esta planilla"" (y si no hay errores, deberá eliminar o borrar la línea completa como se mencionó anteriormente). En caso de un curso donde la asistencia no tenga mayor significado, deberá eliminar este mensaje y hacer las correcciones manuales que correspondan (sin borrar la línea).",,,,,,,,,,
,,,,,,,,,,,
,"En la columna ""Aprueba (SI/No)"" se indica si el estudiante ha aprobado el curso (si reprueba por asistencia, se despliega ""No, por asistencia""). En esa columna hay formulas que calculan si el estudiante ha aprobado tomando en cuenta la asistencia y el porcentaje suficiente de la prueba (por defecto se toma 66% pero puede poner el porcentaje que desee en la celda correspondiente a ""Porcentaje mínimo requerido""). Para algunos cursos el resultado podía ser incorrecto si el tipo de aprobación sigue otras reglas. En caso que así sea, edite a mano la celda correspondiente e ingrese el valor correcto (SI o NO). Si se dejan las formulas automáticas, se pone el color del fondo en rojo automáticamente si el alumno reprueba por asistencia pero ha tenido suficiente en la prueba del curso. Como es un hecho anómalo (y probablemente muy molesto para el participante), se resalta en rojo para que el facilitador verifique si no hay un error en la contabilidad de la asistencia. En caso que no existan errores, ignore el color rojo.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
