The University of Chicago Graduate School of Business,,
Employment Statistics:  2005-2006,,
,,
Top Six Functions - Intern,,
"September 11, 2006",,
Function,Percent of Hires,Number of Hires(1)
Top Six Functions,78.1%,424
Finance - Investment Banking,21.7%,118
Consulting,16.4%,89
Finance - Investment Management/ Research,11.8%,64
Marketing,10.1%,55
Finance - Company Finance (Analysis/ Treasury),9.0%,49
Finance - Sales and Trading,9.0%,49
All Others,21.9%,119
Total,100.0%,543
(1)   Eleven students in the Class of 2007 reported having 2 internships; one student had 3 internships.,,
,,
