,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auction Summary (Public Issues Only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auction date range: 12/16/2009 - 12/16/2009 Deadline All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Name,,,, CUSIP,,"WinningRate",,"BenchmarkCode",,,"BaseRate",,,"PercentBase",,,"NextAuction",,,Period,,,,Status,,,"Div PerShare",,,Lead Manager,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wednesday, December 16, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazos Higher Ed Auth 1998A-3      ,,,106238EU8,,0.420%,,BMA       ,,0.240%,,,,175.000%,,,1/20/2010,,,,,35,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Brazos Higher Ed Auth 1999A-12     ,,,106238FV5,,1.440%,,1MOLIBOR  ,,0.233%,,,,618.026%,,,12/23/2009,,,,,7,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Brazos Higher Ed Auth 2003A-10     ,,,106238JN9,,1.440%,,1MOLIBOR  ,,0.233%,,,,618.026%,,,12/23/2009,,,,,7,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Brazos Higher Ed Auth 2003A-13     ,,,106238JS8,,1.440%,,1MOLIBOR  ,,0.233%,,,,618.026%,,,12/23/2009,,,,,7,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Brazos Higher Ed Tax Srs 2006 A-11 ,,,10620NBJ6,,1.440%,,1MOLIBOR  ,,0.233%,,,,618.026%,,,12/23/2009,,,,,7,Failed,,,,,,,,,Banc of America Securities LLC,,,
Brazos Student Finance Corp 07 A-2 ,,,10623PDM9,,1.733%,,1MOLIBOR  ,,0.233%,,,,743.777%,,,12/23/2009,,,,,7,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Brazos Student Finance Corp 07A-5  ,,,10623PDQ0,,1.733%,,1MOLIBOR  ,,0.233%,,,,743.777%,,,1/13/2010,,,,,,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Brazos Student Finance Corp 2001B-1,,,10623PBY5,,3.110%,,1MOLIBOR  ,,0.233%,,,,1334.764%,,,1/13/2010,,,,,28,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Edinvest Company Series 2003B-1    ,,,280850AB4,,2.110%,,1MOLIBOR  ,,0.233%,,,,905.579%,,,1/13/2010,,,,,28,Failed,,,,,,,,,"Citigroup Global Markets, Inc.",,,
Higher Ed Loan Auth St of MO 99LL  ,,,606072FN1,,0.770%,,KNYINT    ,,0.440%,,,,175.000%,,,1/20/2010,,,,,35,Failed,,,,,,,,,UBS Securities LLC            ,,,
Higher Ed Loan Auth State of MO 02H,,,606072GU4,,2.493%,,1MOLIBOR  ,,0.233%,,,,1069.957%,,,1/13/2010,,,,,28,Failed,,,,,,,,,Banc of America Securities LLC,,,
Higher Ed Loan Auth State of MO 02L,,,606072GY6,,2.108%,,1MOLIBOR  ,,0.233%,,,,904.721%,,,1/13/2010,,,,,28,Failed,,,,,,,,,UBS Securities LLC            ,,,
Higher Ed Loan Auth State of MO 07G,,,606072JR8,,0.508%,,KNYHIGH   ,,0.290%,,,,175.172%,,,12/23/2009,,,,,7,Failed,,,,,,,,,Banc of America Securities LLC,,,
Higher Ed Loan Auth State of MO 98Z,,,606072EX0,,0.770%,,KNYINT    ,,0.440%,,,,175.000%,,,1/20/2010,,,,,35,Failed,,,,,,,,,UBS Securities LLC            ,,,
Minnesota Office of Higher Ed 1999A,,,604152AA6,,1.233%,,1MOLIBOR  ,,0.233%,,,,529.185%,,,12/23/2009,,,,,7,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Minnesota Office of Higher Ed 2002A,,,604152AB4,,1.233%,,1MOLIBOR  ,,0.233%,,,,529.185%,,,12/23/2009,,,,,7,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Minnesota Office of Higher Ed 2002B,,,604152AC2,,0.508%,,KNY       ,,0.290%,,,,175.172%,,,1/20/2010,,,,,35,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Minnesota Office of Higher Ed 2003A,,,604152AD0,,1.233%,,1MOLIBOR  ,,0.233%,,,,529.185%,,,1/13/2010,,,,,28,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Minnesota Office of Higher Ed 2003B,,,604152AE8,,0.508%,,KNY       ,,0.290%,,,,175.172%,,,1/20/2010,,,,,35,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
Panhandle-Plains Higher Ed 2007 A-4,,,698476EF1,,1.733%,,1MOLIBOR  ,,0.233%,,,,743.777%,,,12/23/2009,,,,,7,Failed,,,,,,,,,Banc of America Securities LLC,,,
SSSC I AELMAC Series 2003 B        ,,,040504FG2,,0.660%,,KNYINT    ,,0.440%,,,,150.000%,,,1/20/2010,,,,,35,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
SSSC IV FELMAC Series 2003 D-1     ,,,340640AY7,,0.660%,,KNYINT    ,,0.440%,,,,150.000%,,,1/20/2010,,,,,35,Failed,,,,,,,,,RBC Dain Rauscher Inc.        ,,,
