AAAAAAAAAA AAAAAAA AAAAA AAAAAAAA,,,,,,,,,,,,,,,,,,,,
AAAAAAA:,AAAAAA AAAAAAA,,,,,,,,,,,,,,,,,,,
AAAA:,AAAAAA AAAAAAAA AA,,,,,,,,,,,,,,,,,,,
AAAAAAAA AAAA:,"AAA AA, AAAA",,,,,,,,,,,,,,,,,,,
AAA AAAA:,"AAA A, AAAA AA:AA AA AAA",,,,,,,,,,,,,,,,,,,
AAAAAA AAAA:,AA=AAAAAA.A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AAAAA AAAA,AAAA,AAAAA AAAAAAAA,AAAAAAA AAAAAAAAAAA,AAAAA,AAAA,AAAAA,AAAAAA,AAAAAAA AA AAAAA,AAAAAAA AAA,AAAAAAA AAAAAAAA,AAAAAAA AAAAA,AAAA, ,AAAAAA AAAAA AA AAAAAAA AAA,AA AAAA,AA AAAAA,AAAAAAA AAAA,AAAAAAA AAAA,AAAAAAA,AAAA
AAAAAA AAAAAAAA AA,AAA,AAA,AAA AAAAA AAA AAAAAAAA AAAAA AAAA AAAAAAAA AAAAA AAAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,*AAA,AAAAAAAAA,AAA,"(142,975)",45.21 ,45.21 ,,"(6,463,728.18)","(6,463,728.18)","(6,970,031.25)",(0.40),1 ,(71.82),(71.82)
AAAAAA AAAAAAAA AA,AAA,AAA,AAAAA AAA AAA  AAAAA ..,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,*AAAAA,AAAAAAA,AAA,"(53,200)",30.18 ,30.18 ,,"(1,605,700.47)","(1,605,700.47)","(1,165,612.00)",(0.40),1 ,(17.84),(17.84)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAA AAAAAAA AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAA,AAAAAA AAAAAA,AAA,"(59,850)",99.06 ,99.06 ,,"(5,928,741.00)","(5,928,741.00)","(5,928,741.00)",(0.31),1 ,(51.05),(51.05)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAAA AAAAAA AAAAA AAA AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAAA,AAAAAA AAAAAA,AAA,"(190,575)",17.04 ,17.04 ,,"(3,247,398.00)","(3,247,398.00)","(3,247,398.00)",(7.27),1 ,(655.97),(655.97)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAAAAA AAAA.AAAA.AAA. AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAA,AAAAAA AAAAAA,AAA,"(138,600)",50.67 ,50.67 ,,"(7,022,862.00)","(7,022,862.00)","(7,022,862.00)",(0.31),1 ,(60.47),(60.47)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAAAA AAAAAAAAAAA AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAAA,AAAAAA AAAAAA,AAA,"(319,200)",27.31 ,27.31 ,,"(8,717,352.00)","(8,717,352.00)","(8,717,352.00)",(0.31),1 ,(75.07),(75.07)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAAAAAAAA AAA AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAAA,AAAAAA AAAAAA,AAA,"(45,450)",15.83 ,15.83 ,,"(719,473.50)","(719,473.50)","(719,473.50)",(13.60),1 ,(271.76),(271.76)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAAAAAAA AAAAAAAA AAAAAA AAA AAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAAA,AAAAAA AAAAAA,AAA,"(282,625)",57.86 ,57.86 ,,"(16,352,682.50)","(16,352,682.50)","(16,352,682.50)",(0.31),1 ,(140.81),(140.81)
AAAAAA AAAAAAAA AA,AAAAAA,AAA,AAAA AAAAAAAAAA AAA AAA AAAAA A,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,AAAAA,AAAAAA AAAAAA,AAA,"(330,990)",32.48 ,32.48 ,,"(10,750,555.20)","(10,750,555.20)","(10,750,555.20)",(0.31),1 ,(92.57),(92.57)
AAAAAA AAAAAAAA AA,AAAAA AAAAAAAA,AAA,AAA AAAAA AAA AAAAAAAA AAAAA AAAA AAAAAAAA AAAAA AAAA,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,*AAA,AAAAAAAAA,AAA,"(142,975)",45.21 ,45.21 ,,"(6,463,728.18)","(6,463,728.18)","(6,970,031.25)",0.04 ,1 ,7.18 ,7.18 
AAAAAA AAAAAAAA AA,AAAAA AAAAAAAA,AAA,AAAAA AAA AAA  AAAAA ..,AAAAAAAAA,AAAAAAAAAAAA,AAAAAAA,*AAAAA,AAAAAAA,AAA,"(53,200)",30.18 ,30.18 ,,"(1,605,700.47)","(1,605,700.47)","(1,165,612.00)",0.04 ,1 ,1.78 ,1.78 
