Angle,Sine,Cosine
0.000,0.000,1.000
1.000,0.017,1.000
2.000,0.035,0.999
3.000,0.052,0.999
4.000,0.070,0.998
5.000,0.087,0.996
6.000,0.105,0.995
7.000,0.122,0.993
8.000,0.139,0.990
9.000,0.156,0.988
10.000,0.174,0.985
11.000,0.191,0.982
12.000,0.208,0.978
13.000,0.225,0.974
14.000,0.242,0.970
15.000,0.259,0.966
16.000,0.276,0.961
17.000,0.292,0.956
18.000,0.309,0.951
19.000,0.326,0.946
20.000,0.342,0.940
21.000,0.358,0.934
22.000,0.375,0.927
23.000,0.391,0.921
24.000,0.407,0.914
25.000,0.423,0.906
26.000,0.438,0.899
27.000,0.454,0.891
28.000,0.469,0.883
29.000,0.485,0.875
30.000,0.500,0.866
31.000,0.515,0.857
32.000,0.530,0.848
33.000,0.545,0.839
34.000,0.559,0.829
35.000,0.574,0.819
36.000,0.588,0.809
37.000,0.602,0.799
38.000,0.616,0.788
39.000,0.629,0.777
40.000,0.643,0.766
41.000,0.656,0.755
42.000,0.669,0.743
43.000,0.682,0.731
44.000,0.695,0.719
45.000,0.707,0.707
46.000,0.719,0.695
47.000,0.731,0.682
48.000,0.743,0.669
49.000,0.755,0.656
50.000,0.766,0.643
51.000,0.777,0.629
52.000,0.788,0.616
53.000,0.799,0.602
54.000,0.809,0.588
55.000,0.819,0.574
56.000,0.829,0.559
57.000,0.839,0.545
58.000,0.848,0.530
59.000,0.857,0.515
60.000,0.866,0.500
61.000,0.875,0.485
62.000,0.883,0.469
63.000,0.891,0.454
64.000,0.899,0.438
65.000,0.906,0.423
66.000,0.914,0.407
67.000,0.921,0.391
68.000,0.927,0.375
69.000,0.934,0.358
70.000,0.940,0.342
71.000,0.946,0.326
72.000,0.951,0.309
73.000,0.956,0.292
74.000,0.961,0.276
75.000,0.966,0.259
76.000,0.970,0.242
77.000,0.974,0.225
78.000,0.978,0.208
79.000,0.982,0.191
80.000,0.985,0.174
81.000,0.988,0.156
82.000,0.990,0.139
83.000,0.993,0.122
84.000,0.995,0.105
85.000,0.996,0.087
86.000,0.998,0.070
87.000,0.999,0.052
88.000,0.999,0.035
89.000,1.000,0.017
90.000,1.000,0.000
91.000,1.000,-0.017
92.000,0.999,-0.035
93.000,0.999,-0.052
